stage,scenario,model,representation,seed,vae_kl_unnormalized_per_observation,vae_kl_normalized,vae_mean_kl_per_latent_dimension,vae_median_kl_per_latent_dimension,vae_max_kl_per_latent_dimension,vae_active_units_var_mu_gt_0_01,vae_dimensions_mean_kl_gt_0_01,vae_posterior_mean_absolute_mu,vae_posterior_mean_log_variance,vae_posterior_sample_reconstruction_variability
outer,nato_outer_o0__train_quality_pass__test_field_quality_stress,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,2718,6.4326095942622095,0.0045914415376603,0.100509524910347,0.0079007137928166,1.1770471913138534,28,26,0.1544740165211957,-0.2912865578685644,0.0546095110476017
outer,nato_outer_o0__train_quality_pass__test_field_quality_stress,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,3141,6.39335838092838,0.0045634249685427,0.0998962247020059,0.0100078100900507,1.190633075547886,24,32,0.1580273489425356,-0.2875251018755686,0.0543619692325592
outer,nato_outer_o1__train_strict_core__test_strict_core,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,6.331394688810226,0.0045191967800215,0.0989280420126597,0.0114364959772422,1.6137161129346198,53,35,0.1840206910595066,-0.2035653906241474,0.0342763289809227
outer,nato_outer_o1__train_strict_core__test_strict_core,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,7.329894315994,0.0052319017244782,0.1145295986874062,0.012301051575815,1.6893213249371564,53,39,0.195885534052045,-0.2179724341049566,0.0374334007501602
outer,nato_outer_o1__train_strict_core__test_strict_core,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,6.528050590789117,0.0046595650184076,0.1020007904810799,0.0042515650932332,1.5110959388166314,21,16,0.1526745006330555,-0.2022307728503111,0.0372373200953006
outer,nato_outer_o1__train_strict_core__test_strict_core,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,1729,8.169044863641412,0.0058308671403578,0.1276413259943971,0.0069200452141532,1.7000764722924089,34,19,0.1667262652865644,-0.2530229495503308,0.039833515882492
outer,nato_outer_o1__train_strict_core__test_strict_core,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,2718,8.027349632459478,0.0057297285028261,0.1254273380071793,0.0096858765802697,1.7575465510508474,43,32,0.1717779593708495,-0.2424601978004438,0.0396708622574806
outer,nato_outer_o1__train_strict_core__test_strict_core,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,3141,8.211402667014127,0.0058611011184968,0.1283031666720957,0.0071321109661485,1.814116543771272,35,25,0.1721943234890592,-0.2570575034126742,0.0402482450008392
outer,nato_outer_o1__train_quality_pass__test_quality_pass,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,7.668343763668142,0.0054734787749237,0.1198178713073147,0.0180810721986931,1.325387721555419,60,52,0.2180637137503232,-0.2477432887547124,0.0360241867601871
outer,nato_outer_o1__train_quality_pass__test_quality_pass,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,7.46341473195552,0.0053272053761281,0.1166158551868049,0.0147525839864995,1.609062297990019,46,43,0.1987021556621353,-0.2315551557157315,0.0394645072519779
outer,nato_outer_o1__train_quality_pass__test_quality_pass,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,7.9936823260808145,0.0057056975917778,0.1249012863450127,0.013789946482161,1.2963031158687284,55,44,0.223373205805776,-0.2560865111236169,0.0396776646375656
outer,nato_outer_o1__train_quality_pass__test_quality_pass,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,1729,8.745329348404876,0.0062422051023589,0.1366457710688261,0.0155791479098646,1.843016571919198,61,52,0.2211749387534474,-0.2745311762705394,0.040848609060049
outer,nato_outer_o1__train_quality_pass__test_quality_pass,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,2718,8.090385074351014,0.0057747216804789,0.1264122667867346,0.0128440387885667,1.6396215836048174,56,44,0.2121873442731694,-0.2429971728365409,0.0445593632757663
outer,nato_outer_o1__train_quality_pass__test_quality_pass,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,3141,8.0982148413506,0.0057803103792652,0.1265346068961031,0.0171270740428062,1.467681222945039,58,48,0.2199440703240699,-0.2609277926641742,0.0447380505502224
outer,nato_outer_o1__train_quality_pass__test_field_quality_stress,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,5.471566612915461,0.0039054722433372,0.085493228326804,0.0118853270058744,1.462828469871763,25,40,0.1602367023645039,-0.2609630753628152,0.0542570799589157
outer,nato_outer_o1__train_quality_pass__test_field_quality_stress,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,4.8938394711494935,0.0034931045475728,0.0764662417367108,0.0087527470482085,1.315518397402013,20,30,0.1256815250002546,-0.2488083178031956,0.0631616115570068
outer,nato_outer_o1__train_quality_pass__test_field_quality_stress,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,6.215199854622459,0.0044362597106512,0.0971124977284759,0.0132323483451294,1.144613701982616,21,39,0.182242443806308,-0.2885285744646884,0.0538350231945514
outer,nato_outer_o1__train_quality_pass__test_field_quality_stress,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,1729,6.332491000075341,0.0045199793005534,0.0989451718761772,0.0115215406965883,1.4906014619051058,32,34,0.1611277299964664,-0.3099979840190523,0.0543746426701545
outer,nato_outer_o1__train_quality_pass__test_field_quality_stress,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,2718,5.035258110881704,0.0035940457608006,0.0786759079825266,0.0102027563172408,0.9287764392178194,28,32,0.1435485092707192,-0.2534900114811534,0.0649259090423584
outer,nato_outer_o1__train_quality_pass__test_field_quality_stress,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,3141,5.516060347639807,0.0039372307977443,0.0861884429318719,0.0144323613157735,1.001429639839342,33,36,0.1461300654592757,-0.2894122483893928,0.0601252913475036
outer,nato_outer_o2__train_strict_core__test_strict_core,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,7.301875431725397,0.0052119025208603,0.1140918036207093,0.009202284851831,1.4391852786444082,43,30,0.175958524568855,-0.2345944122914158,0.038292109966278
outer,nato_outer_o2__train_strict_core__test_strict_core,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,7.107971739369875,0.0050734987433046,0.1110620584276543,0.010726282799971,1.144292264256746,47,33,0.1951763594599123,-0.2276259797715719,0.0450000092387199
outer,nato_outer_o2__train_strict_core__test_strict_core,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,6.494108916694143,0.0046353382703027,0.1014704518233459,0.0104204262808017,1.7126677984710292,43,33,0.1767474542533282,-0.2100840571484005,0.036867219954729
outer,nato_outer_o2__train_strict_core__test_strict_core,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,1729,8.368149690428705,0.0059729833621903,0.1307523389129485,0.007019003806773,1.8016275069927548,29,22,0.1778148905703455,-0.270548697623943,0.0473126769065856
outer,nato_outer_o2__train_strict_core__test_strict_core,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,2718,7.835338413931157,0.0055926755274312,0.1224271627176743,0.0100721381184283,1.784523765631534,47,32,0.1743629294893471,-0.2497070585410245,0.0443031191825866
outer,nato_outer_o2__train_strict_core__test_strict_core,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,3141,7.758195977298678,0.0055376131172724,0.1212218121452918,0.0085806727873997,1.463605164204851,43,30,0.1727278270423123,-0.2430065260576946,0.0448527261614799
outer,nato_outer_o2__train_quality_pass__test_quality_pass,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,7.437552069813082,0.0053087452318437,0.1162117510908293,0.0262713520145002,1.6049261493524014,58,51,0.2238740032170641,-0.245622049958383,0.0421513058245182
outer,nato_outer_o2__train_quality_pass__test_quality_pass,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,8.449832989649556,0.0060312869305136,0.1320286404632742,0.0157219496898756,1.2561607528508076,57,55,0.2129628054681904,-0.283680891205417,0.0454765632748603
outer,nato_outer_o2__train_quality_pass__test_quality_pass,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,7.332180689816517,0.0052335336829525,0.1145653232783831,0.013895885914703,1.482376434416782,54,41,0.191226842114557,-0.2350079722671845,0.0400282256305217
outer,nato_outer_o2__train_quality_pass__test_quality_pass,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,1729,8.115371362218712,0.0057925562899491,0.1268026775346673,0.0117991155402272,1.8826334775952935,52,40,0.1937589715254872,-0.2548605485406705,0.0455318167805671
outer,nato_outer_o2__train_quality_pass__test_quality_pass,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,2718,8.616585304607309,0.0061503107099267,0.1346341453844891,0.0115953890222224,1.7105301877078876,46,35,0.1879584179723679,-0.2806713536085214,0.0428877733647823
outer,nato_outer_o2__train_quality_pass__test_quality_pass,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,3141,8.95275191866478,0.0063902583288114,0.1398867487291372,0.0164245357851685,1.7480057138568426,58,42,0.2122790199029048,-0.2855532432303765,0.0441476553678512
outer,nato_outer_o2__train_quality_pass__test_field_quality_stress,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,6.388378991636236,0.0045598708005968,0.0998184217443161,0.0141054219139806,2.2880912106523668,29,45,0.1801138868813723,-0.2966886956110102,0.0658202320337295
outer,nato_outer_o2__train_quality_pass__test_field_quality_stress,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,8.123094146865846,0.0057980686273132,0.1269233460447788,0.0223625443061166,2.194341931006936,18,52,0.209391287753285,-0.360315207903444,0.0691141709685325
outer,nato_outer_o2__train_quality_pass__test_field_quality_stress,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,6.990849850459378,0.004989899964639,0.1092320289134278,0.0124039956127579,2.798296272884353,27,34,0.1618204636422846,-0.2866145105733308,0.0608299635350704
outer,nato_outer_o2__train_quality_pass__test_field_quality_stress,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,1729,6.28749097143779,0.0044878593657657,0.0982420464287154,0.0100452374847482,1.306860507664536,32,32,0.1527464190787048,-0.2812188636518675,0.0602314509451389
outer,nato_outer_o2__train_quality_pass__test_field_quality_stress,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,2718,6.760888056571685,0.0048257587841339,0.1056388758839325,0.0077620040829008,1.307678760610531,22,22,0.1415802874426659,-0.2986684848959943,0.0599690452218055
outer,nato_outer_o2__train_quality_pass__test_field_quality_stress,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,3141,6.982831156055557,0.0049841764140296,0.1091067368133681,0.0119474006024783,1.2133115317528296,35,36,0.1680821377780872,-0.3173267340559753,0.0613822937011718
outer,nato_outer_o3__train_strict_core__test_strict_core,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,7.260197030319921,0.0051821534834546,0.1134405785987487,0.0089358397885135,1.4508339161314532,43,30,0.170932799844392,-0.2166166327427665,0.0359942391514778
outer,nato_outer_o3__train_strict_core__test_strict_core,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,7.072906532124611,0.005048470044343,0.110514164564447,0.0093720024064297,1.4036354150216217,43,30,0.177998779371732,-0.2132988061365656,0.0383117273449897
outer,nato_outer_o3__train_strict_core__test_strict_core,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,7.05263904885637,0.0050340036037518,0.1101974851383807,0.0070031134271695,1.5379925293424614,34,20,0.1653876901204313,-0.2215783773380877,0.0368825793266296
outer,nato_outer_o3__train_strict_core__test_strict_core,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,1729,8.131517584202872,0.0058040810736637,0.1270549622531698,0.0071707495699822,1.4096051205896216,35,22,0.1757371001083176,-0.2584546630581513,0.0448594242334365
outer,nato_outer_o3__train_strict_core__test_strict_core,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,2718,8.25546069050756,0.0058925486727391,0.1289915732891806,0.0097425282263869,1.6419066803545594,43,31,0.1878987179733068,-0.2558658376258932,0.0445776917040348
outer,nato_outer_o3__train_strict_core__test_strict_core,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,3141,7.47953628812024,0.0053387125539759,0.1168677545018787,0.0080156766400935,1.823405980114736,41,27,0.1652087948528446,-0.2330572256084186,0.035487450659275
outer,nato_outer_o3__train_quality_pass__test_quality_pass,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,8.175360550480201,0.0058353751252535,0.1277400086012531,0.0228623800890296,1.450340790941136,63,56,0.233249865612102,-0.2583291039129315,0.0375191159546375
outer,nato_outer_o3__train_quality_pass__test_quality_pass,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,7.171095657717847,0.0051185550733175,0.1120483696518413,0.017407671433212,1.7785660675468928,57,53,0.2164485665598009,-0.2224297583694162,0.0398756638169288
outer,nato_outer_o3__train_quality_pass__test_quality_pass,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,7.752751958590014,0.0055337273080585,0.121136749352969,0.0202202870561358,1.2413103838690212,62,53,0.2303461771411907,-0.2291653969989477,0.0380169861018657
outer,nato_outer_o3__train_quality_pass__test_quality_pass,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,1729,8.647263163826095,0.0061722078257145,0.1351134869347827,0.0094777830967755,1.4952117522372683,36,29,0.1819081438113316,-0.272983096431087,0.0439832098782062
outer,nato_outer_o3__train_quality_pass__test_quality_pass,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,2718,8.29890648760517,0.0059235592345504,0.1296704138688307,0.0074859716337713,1.596804929439486,43,26,0.1883484849309586,-0.2638925980367065,0.0440739765763282
outer,nato_outer_o3__train_quality_pass__test_quality_pass,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,3141,8.565631567203678,0.0061139411614587,0.1338379932375574,0.0219820229561294,1.581260838667764,61,46,0.2380314445057399,-0.2615514852828279,0.0457319915294647
outer,nato_outer_o3__train_quality_pass__test_field_quality_stress,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,7.02592806236797,0.0050149379460156,0.1097801259744995,0.0193046135842321,1.6631402068878371,47,50,0.2063670996337206,-0.2859042873087195,0.0540765561163425
outer,nato_outer_o3__train_quality_pass__test_field_quality_stress,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,5.453783613933204,0.0038927791676896,0.0852153689677063,0.0126890523557911,1.5496893809780663,33,39,0.1680176975320902,-0.2491006649391142,0.0594397000968456
outer,nato_outer_o3__train_quality_pass__test_field_quality_stress,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,5.763942525330045,0.0041141631158672,0.0900616019582819,0.0147686801689348,1.217393343579196,35,42,0.177977320422925,-0.2476357080413795,0.0577620863914489
outer,nato_outer_o3__train_quality_pass__test_field_quality_stress,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,1729,5.987007696199751,0.0042733816532475,0.0935469952531211,0.0083961761048034,0.9106798040801056,31,28,0.1403650084357171,-0.2638856667874854,0.0681766122579574
outer,nato_outer_o3__train_quality_pass__test_field_quality_stress,c8x16_z64_spectral_composite_beta1_cyclical_4,minimal_minmax,2718,5.535443370583445,0.0039510659318939,0.0864913026653663,0.0096816044179796,1.1433513802663111,29,30,0.1525399518189882,-0.2713885168966858,0.058627501130104
