stage,scenario,model,representation,seed,class_label,support,predicted_count,true_positive,recall,precision
domain,domain__quality_pass__domain_and_sample__instrument__Mira-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,4_ANPP,3,10,3,1.0,0.3
domain,domain__quality_pass__domain_and_sample__instrument__Mira-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,4_nitrophenol,0,1,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,acetaminophen,7,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-1,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,benzyl_fentanyl,11,10,10,0.9090909090909091,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,4_ANPP,0,2,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,4_nitrophenol,28,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,acetaminophen,2,19,0,0.0,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,benzyl_fentanyl,1,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,blank,0,53,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,ethanol,23,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,ethyl_paraoxon,20,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,4_ANPP,0,1,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,4_nitrophenol,28,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,acetaminophen,2,18,0,0.0,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,benzyl_fentanyl,1,1,0,0.0,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,blank,0,54,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,ethanol,23,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,2718,ethyl_paraoxon,20,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,4_nitrophenol,28,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,acetaminophen,2,23,0,0.0,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,benzyl_fentanyl,1,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,blank,0,51,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,ethanol,23,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-2,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,3141,ethyl_paraoxon,20,0,0,0.0,
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,4_ANPP,25,5,5,0.2,1.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,4_nitrophenol,0,2,0,,0.0
domain,domain__quality_pass__domain_and_sample__instrument__Mira-3,c8x16_z64_spectral_composite_beta1_cyclical_4,arpls_minmax,1729,acetaminophen,0,17,0,,0.0
