target_analyte,instrument,observations,supported
4_ANPP,Agilent-1,11,True
4_ANPP,Agilent-3,16,True
4_ANPP,Mira-1,3,True
4_ANPP,Mira-2,0,False
4_ANPP,Mira-3,25,True
4_ANPP,Pendar-1,16,True
4_ANPP,Pendar-2,4,True
4_ANPP,Pendar-3,15,True
4_ANPP,RMX-1,0,False
4_ANPP,RMX-2,12,True
4_nitrophenol,Agilent-1,0,False
4_nitrophenol,Agilent-3,9,True
4_nitrophenol,Mira-1,0,False
4_nitrophenol,Mira-2,28,True
4_nitrophenol,Mira-3,0,False
4_nitrophenol,Pendar-1,0,False
4_nitrophenol,Pendar-2,25,True
4_nitrophenol,Pendar-3,5,True
4_nitrophenol,RMX-1,25,True
4_nitrophenol,RMX-2,0,False
acetaminophen,Agilent-1,0,False
acetaminophen,Agilent-3,7,True
acetaminophen,Mira-1,9,True
acetaminophen,Mira-2,2,True
acetaminophen,Mira-3,0,False
acetaminophen,Pendar-1,0,False
acetaminophen,Pendar-2,20,True
acetaminophen,Pendar-3,14,True
acetaminophen,RMX-1,0,False
acetaminophen,RMX-2,29,True
benzyl_fentanyl,Agilent-1,8,True
benzyl_fentanyl,Agilent-3,20,True
benzyl_fentanyl,Mira-1,11,True
benzyl_fentanyl,Mira-2,1,True
benzyl_fentanyl,Mira-3,16,True
benzyl_fentanyl,Pendar-1,9,True
benzyl_fentanyl,Pendar-2,12,True
benzyl_fentanyl,Pendar-3,19,True
benzyl_fentanyl,RMX-1,0,False
benzyl_fentanyl,RMX-2,24,True
blank,Agilent-1,10,True
blank,Agilent-3,11,True
blank,Mira-1,0,False
blank,Mira-2,0,False
blank,Mira-3,31,True
blank,Pendar-1,21,True
blank,Pendar-2,5,True
blank,Pendar-3,9,True
blank,RMX-1,0,False
blank,RMX-2,0,False
ethanol,Agilent-1,0,False
ethanol,Agilent-3,5,True
ethanol,Mira-1,0,False
ethanol,Mira-2,24,True
ethanol,Mira-3,0,False
ethanol,Pendar-1,0,False
ethanol,Pendar-2,18,True
ethanol,Pendar-3,4,True
ethanol,RMX-1,11,True
ethanol,RMX-2,0,False
ethyl_paraoxon,Agilent-1,0,False
ethyl_paraoxon,Agilent-3,5,True
ethyl_paraoxon,Mira-1,0,False
ethyl_paraoxon,Mira-2,20,True
ethyl_paraoxon,Mira-3,0,False
ethyl_paraoxon,Pendar-1,0,False
ethyl_paraoxon,Pendar-2,14,True
ethyl_paraoxon,Pendar-3,4,True
ethyl_paraoxon,RMX-1,11,True
ethyl_paraoxon,RMX-2,0,False
