scenario,outer_fold,declared_seed,evaluation_subset,representation,confidence_kind,n_test,n_supported,accuracy,predicted_class_count,encoder_parameters,same_analyte_distance,different_analyte_distance,different_minus_same_margin,same_master_cross_instrument_distance,embedding_effective_rank,analyte_heldout_master_probe_balanced_accuracy,analyte_heldout_master_probe_n_supported,analyte_heldout_master_probe_supported_fraction,instrument_heldout_master_probe_balanced_accuracy,instrument_heldout_master_probe_n_supported,instrument_heldout_master_probe_supported_fraction,sensor_heldout_master_probe_balanced_accuracy,sensor_heldout_master_probe_n_supported,sensor_heldout_master_probe_supported_fraction,correctness_negative_log_likelihood,correctness_brier,correctness_ece_10
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,15,15,0.4,6,719584,0.4173608717570923,0.5711727832947069,0.1538119115376146,,2.0468741910214256,0.0,9,0.6,0.23076923076923078,15,1.0,0.2222222222222222,13,0.8666666666666667,0.6685885685290213,0.23788793838311603,0.06906278251232936
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,15,15,0.4666666666666667,7,719584,0.7377918774199411,0.75027232422009,0.012480446800148925,,3.5255091329965706,0.25,9,0.6,0.34615384615384615,15,1.0,0.7083333333333333,13,0.8666666666666667,0.7273099722581816,0.2659473494637507,0.13943671122662615
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,15,15,0.4,7,719584,0.5648268790187463,0.7498858279290365,0.18505894891029018,,3.767715023918285,0.16666666666666666,9,0.6,0.6730769230769231,15,1.0,0.4861111111111111,13,0.8666666666666667,0.6840893828057465,0.24505439738399729,0.07187156226173153
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,103,103,0.6796116504854369,7,719584,0.3892070270870011,0.7605507944769682,0.37134376738996705,0.3784775109153707,2.222222284581799,0.6044312169312169,87,0.8446601941747572,0.16236263736263737,103,1.0,0.5552001895285477,99,0.9611650485436893,0.6085776794278387,0.21111456261756562,0.14759784253839991
nato_outer_o0__train_quality_pass__test_quality_pass,0,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,103,103,0.6990291262135923,7,719584,0.4782561720547259,1.0038772639542572,0.5256210918995313,0.4758805387967287,3.383501133728033,0.6980820105820106,87,0.8446601941747572,0.2421245421245421,103,1.0,0.6952144041696281,99,0.9611650485436893,0.566437529733059,0.19021479397977198,0.11268530882490611
nato_outer_o0__train_quality_pass__test_quality_pass,0,3141,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,103,103,0.7669902912621359,7,719584,0.4992309188660316,0.9860003769484724,0.4867694580824408,0.490202715827564,3.883398817791497,0.7335978835978837,87,0.8446601941747572,0.1958791208791209,103,1.0,0.7258943378346364,99,0.9611650485436893,0.5315173571561254,0.17313910981764796,0.14340579717738594
nato_outer_o0__train_strict_core__test_strict_core,0,1729,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,118,118,0.7796610169491526,7,719584,0.5543581549130189,1.0761004439895843,0.5217422890765654,0.5636541187628952,4.876838408691994,0.6627777777777777,98,0.8305084745762712,0.2204899267399268,118,1.0,0.5615917728593786,112,0.9491525423728814,0.5483547919062591,0.18056107666425658,0.24668604172296402
nato_outer_o0__train_strict_core__test_strict_core,0,2718,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,118,118,0.6949152542372882,7,719584,0.32400404930421456,0.697589390885383,0.3735853415811684,0.32897178887484924,2.024364693515607,0.5716666666666667,98,0.8305084745762712,0.1279532967032967,118,1.0,0.6582581911220409,112,0.9491525423728814,0.6073187973419991,0.208463663470435,0.14909195176296772
nato_outer_o0__train_strict_core__test_strict_core,0,3141,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,118,118,0.7627118644067796,7,719584,0.5496682295481019,1.0764284642836104,0.5267602347355085,0.5359620650478755,4.286899119501118,0.6705555555555556,98,0.8305084745762712,0.23169566544566544,118,1.0,0.6130238219440097,112,0.9491525423728814,0.5328531650652135,0.17343724413421166,0.1978014806739823
nato_outer_o1__train_quality_pass__test_field_quality_stress,1,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,15,15,0.4,6,719584,0.5419438721642535,0.6217368449098204,0.07979297274556685,0.6259809923761174,3.331592322259615,,0,0.0,0.7592592592592592,15,1.0,0.5,15,1.0,0.6834661297678792,0.24482780268256837,0.03572342820688856
nato_outer_o1__train_quality_pass__test_field_quality_stress,1,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,15,15,0.4,5,719584,0.3512174377866158,0.4354164552267574,0.08419901744014163,0.3620385293312349,2.239707697803539,,0,0.0,0.3796296296296296,15,1.0,0.5,15,1.0,0.6914385672107326,0.2483478715964384,0.04735312362608918
nato_outer_o1__train_quality_pass__test_field_quality_stress,1,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,15,15,0.4,4,719584,0.48840044390311826,0.5755591619510662,0.08715871804794789,0.6328166941839444,2.458576491090042,,0,0.0,0.6666666666666666,15,1.0,0.6666666666666666,15,1.0,0.6852126054850428,0.24553949985225207,0.07634146562202737
nato_outer_o1__train_quality_pass__test_quality_pass,1,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,104,104,0.7307692307692307,7,719584,0.4305967027518778,0.9239561909755685,0.4933594882236907,0.4177868768579299,3.352220121001317,0.7136752136752137,54,0.5192307692307693,0.15561125034809245,103,0.9903846153846154,0.5409090909090909,97,0.9326923076923077,0.5836296408174076,0.1977185577359265,0.06725370217214803
nato_outer_o1__train_quality_pass__test_quality_pass,1,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,104,104,0.6634615384615384,7,719584,0.349123448264278,0.8350941167612643,0.48597066849698634,0.3152679684927578,2.6843335199844085,0.7319459928155579,54,0.5192307692307693,0.21041144527986633,103,0.9903846153846154,0.48939393939393944,97,0.9326923076923077,0.6672744900137302,0.23505381041145634,0.09948326352303866
nato_outer_o1__train_quality_pass__test_quality_pass,1,3141,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,104,104,0.6153846153846154,7,719584,0.4289479636385732,0.8959396787346334,0.46699171509606024,0.38345183993851406,3.0110164931667756,0.5497956150130063,54,0.5192307692307693,0.2103035366193261,103,0.9903846153846154,0.5545454545454546,97,0.9326923076923077,0.6694069398886179,0.23835809932524496,0.10419740985551643
nato_outer_o1__train_strict_core__test_strict_core,1,1729,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,119,119,0.6974789915966386,7,719584,0.44706008236080497,0.8323783444100464,0.38531826204924147,0.4333582409304889,3.5564339945552716,0.6920289855072465,59,0.4957983193277311,0.212437343358396,118,0.9915966386554622,0.4307351593524081,112,0.9411764705882353,0.5763210308731221,0.19418066347565513,0.11020850580818695
nato_outer_o1__train_strict_core__test_strict_core,1,2718,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,119,119,0.6218487394957983,7,719584,0.3313789448897684,0.7431187679397822,0.4117398230500138,0.3085643167224278,2.0215198847435962,0.681340579710145,59,0.4957983193277311,0.19875034809245337,118,0.9915966386554622,0.5008994331873876,112,0.9411764705882353,0.678096540802674,0.2420139548894387,0.04643892970921794
nato_outer_o1__train_strict_core__test_strict_core,1,3141,strict_core,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,119,119,0.6470588235294118,7,719584,0.5705469666258537,1.0616620679452387,0.49111510131938496,0.5801807885263311,4.833015500910216,0.6730072463768115,59,0.4957983193277311,0.2243339148524907,118,0.9915966386554622,0.646344567762957,112,0.9411764705882353,0.5783995710204728,0.19554578545532061,0.09511044641394714
nato_outer_o2__train_quality_pass__test_field_quality_stress,2,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,22,22,0.3181818181818182,6,719584,0.4857892776431824,0.5606362178004994,0.07484694015731702,0.526800639592013,3.6025110388526382,0.3888888888888889,11,0.5,0.045454545454545456,18,0.8181818181818182,0.3131313131313131,20,0.9090909090909091,0.6307841834826089,0.2193324748496797,0.09844740377947292
nato_outer_o2__train_quality_pass__test_field_quality_stress,2,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,22,22,0.2727272727272727,4,719584,0.3899328760279505,0.40307372989340345,0.01314085386545294,0.38022574504705764,2.7401553497627162,0.05555555555555555,11,0.5,0.14285714285714285,18,0.8181818181818182,0.5353535353535354,20,0.9090909090909091,0.6157169375250853,0.21183769883789905,0.10199303856473399
nato_outer_o2__train_quality_pass__test_field_quality_stress,2,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,22,22,0.2727272727272727,7,719584,0.4360081591156857,0.4419320066171678,0.005923847501482116,0.4296496506392127,2.158246054394203,0.2222222222222222,11,0.5,0.14285714285714285,18,0.8181818181818182,0.5303030303030303,20,0.9090909090909091,0.607302847425506,0.20788427708745524,0.09378933924912147
nato_outer_o2__train_quality_pass__test_quality_pass,2,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,95,95,0.6736842105263158,7,719584,0.5620703770977472,0.8862351777036604,0.32416480060591324,0.5784892446635678,4.26309098149191,0.8104084321475625,81,0.8526315789473684,0.23166666666666663,95,1.0,0.5791933760683761,95,1.0,0.5875811665293226,0.20064549047765853,0.07538693432508088
nato_outer_o2__train_quality_pass__test_quality_pass,2,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,95,95,0.6,7,719584,0.4005360457265211,0.7096909064001428,0.3091548606736217,0.40823937328295923,3.0036472967134085,0.7065436978480456,81,0.8526315789473684,0.175,95,1.0,0.5143785612535613,95,1.0,0.6675969215338882,0.237766790392153,0.10511811030335592
nato_outer_o2__train_quality_pass__test_quality_pass,2,3141,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,95,95,0.6210526315789474,7,719584,0.3298675770092958,0.6636185019337952,0.3337509249244994,0.3503611685774142,2.2169188148398122,0.7275874688918167,81,0.8526315789473684,0.15833333333333335,95,1.0,0.5508368945868946,95,1.0,0.6790412403456539,0.2419360728359413,0.14268462006165486
