stage,scope,outer_fold,inner_validation_fold,candidate_id,name,representation,architecture,embedding_dimension,classification_weight,supervised_contrastive_weight,pair_margin_weight,contrastive_temperature,pair_margin,domain_aware_positives,hard_negative_mining,domain_balanced_batches,seed,best_epoch,epochs_run,state_sha256,encoder_parameters,classifier_parameters,total_parameters,n_train,n_validation,n_train_groups,n_validation_groups,balanced_accuracy,macro_f1,predicted_class_count,same_analyte_distance,different_analyte_distance,different_minus_same_margin,same_master_cross_instrument_distance,embedding_effective_rank,gate_positive_margin,gate_effective_rank,gate_predicted_classes,eligible
stage2,outer_0,0,1,domain_aware_stage2_legacy_32__arpls_minmax__legacy32__a14f43bc17e3,domain_aware_stage2_legacy_32,arpls_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,True,1118491668,50,75,91b41c8b70e6f8a094092a1f34910c256dd8e5f95654d46275dbe10288384017,361152,231,361383,293,104,43,12,0.6877204920683182,0.6777066838410348,7,0.640177309513092,1.2179832458496094,0.5778059363365173,0.6513682007789612,6.037990093231201,True,True,True,True
stage2,outer_0,0,1,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,domain_aware_stage2_legacy_64,arpls_minmax,legacy,64,1.0,0.5,0.1,0.1,0.2,True,True,True,589767661,75,100,ae39788e8b8dc744420e67ccc272b78298fe42d4d4cf2cb52e8f94310f8c295e,719584,455,720039,293,104,43,12,0.6690121472730169,0.6598456288416482,7,0.6538749933242798,1.2305870056152344,0.5767120122909546,0.6775760054588318,6.769750595092773,True,True,True,True
stage2,outer_0,0,1,domain_aware_stage2_compact_32__arpls_minmax__compact32__78e11bebc084,domain_aware_stage2_compact_32,arpls_minmax,compact,32,1.0,0.5,0.1,0.1,0.2,True,True,True,334810461,140,165,360194440a6c18a2282cfec88a02dd4e83f0075a8b395bd131a2e93ff135bce4,59936,231,60167,293,104,43,12,0.5723551810508332,0.5481637099284159,7,0.735399067401886,0.9827523827552795,0.24735331535339355,0.7318701148033142,5.829718589782715,True,True,True,True
stage2,outer_0,0,1,domain_aware_stage2_compact_64__arpls_minmax__compact64__2327502e58f5,domain_aware_stage2_compact_64,arpls_minmax,compact,64,1.0,0.5,0.1,0.1,0.2,True,True,True,1717297476,120,145,18f395e4b0410238b33a5de5c69599b616fd9262d2262610e423682c0db96701,64064,455,64519,293,104,43,12,0.5782659369615891,0.5393801965230537,7,0.7096745371818542,0.9538135528564453,0.24413901567459106,0.7233585119247437,7.289407730102539,True,True,True,True
stage2,outer_0,0,2,domain_aware_stage2_legacy_32__arpls_minmax__legacy32__a14f43bc17e3,domain_aware_stage2_legacy_32,arpls_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,True,1810812126,50,75,77320877195f82b11cd76f3198cb14d41e5c25c490dd1ebfff2196ae38004263,361152,231,361383,302,95,40,15,0.8224776603658591,0.7792068600489841,7,0.7068911790847778,1.2095178365707397,0.5026266574859619,0.762302577495575,7.152135372161865,True,True,True,True
stage2,outer_0,0,2,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,domain_aware_stage2_legacy_64,arpls_minmax,legacy,64,1.0,0.5,0.1,0.1,0.2,True,True,True,1537551261,90,115,d3ea448aeefde280e67f8bb5cba1b0ba21565d74ba8ab0356bf6baebd4bcfe0b,719584,455,720039,302,95,40,15,0.7893957319423157,0.762083864368144,7,0.698037326335907,1.2294100522994995,0.5313727259635925,0.7637642621994019,6.682326316833496,True,True,True,True
stage2,outer_0,0,2,domain_aware_stage2_compact_32__arpls_minmax__compact32__78e11bebc084,domain_aware_stage2_compact_32,arpls_minmax,compact,32,1.0,0.5,0.1,0.1,0.2,True,True,True,957604049,145,170,eea93d1bcd71ea76d9d6877c4190809908928bae074e980daba406d586a28276,59936,231,60167,302,95,40,15,0.6275918008837263,0.5676831446432172,7,0.7513434290885925,1.0150951147079468,0.26375168561935425,0.7873591780662537,6.162619113922119,True,True,True,True
stage2,outer_0,0,2,domain_aware_stage2_compact_64__arpls_minmax__compact64__2327502e58f5,domain_aware_stage2_compact_64,arpls_minmax,compact,64,1.0,0.5,0.1,0.1,0.2,True,True,True,1205735365,85,110,9090c5233c41f18013490d99d196491ec9cd66b7079c8d7e268b12592404e5a9,64064,455,64519,302,95,40,15,0.6451341274322642,0.571723548319293,7,0.6937787532806396,0.854737401008606,0.1609586477279663,0.724950909614563,8.556394577026367,True,True,True,True
stage2,outer_0,0,3,domain_aware_stage2_legacy_32__arpls_minmax__legacy32__a14f43bc17e3,domain_aware_stage2_legacy_32,arpls_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,True,2062323031,105,130,3893de5a7a3480fb19adbf7601d040161927168f5354c057e2b1ad0d8c82125e,361152,231,361383,296,101,43,12,0.7026572842362315,0.705568332376843,7,0.5503518581390381,1.1986278295516968,0.6482759714126587,0.5850290060043335,5.948646068572998,True,True,True,True
stage2,outer_0,0,3,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,domain_aware_stage2_legacy_64,arpls_minmax,legacy,64,1.0,0.5,0.1,0.1,0.2,True,True,True,1086676540,70,95,4bcd12176258a2b56160a093014717d2cc213f165ade5f0d40efd4830e6bd58d,719584,455,720039,296,101,43,12,0.7115317431106905,0.7152098392491099,7,0.5852788090705872,1.2377188205718994,0.6524400115013123,0.6155982613563538,7.380836486816406,True,True,True,True
stage2,outer_0,0,3,domain_aware_stage2_compact_32__arpls_minmax__compact32__78e11bebc084,domain_aware_stage2_compact_32,arpls_minmax,compact,32,1.0,0.5,0.1,0.1,0.2,True,True,True,1091709857,120,145,f0a2d235be759f3b99fe12916ce3bcf71416010417087c5e2afd474bb47e94fc,59936,231,60167,296,101,43,12,0.610722902828166,0.5989544269256154,7,0.6167421340942383,0.9851187467575073,0.36837661266326904,0.6508668065071106,5.344539165496826,True,True,True,True
stage2,outer_0,0,3,domain_aware_stage2_compact_64__arpls_minmax__compact64__2327502e58f5,domain_aware_stage2_compact_64,arpls_minmax,compact,64,1.0,0.5,0.1,0.1,0.2,True,True,True,1088674870,85,110,b19b4341103d01d97c9bdddf15c3fcbee50bc13eba709f8f82a603452547910a,64064,455,64519,296,101,43,12,0.616706977233293,0.6082078057661252,7,0.5873239040374756,0.9219475388526917,0.33462363481521606,0.6362640261650085,5.296718597412109,True,True,True,True
stage2,outer_0,0,4,domain_aware_stage2_legacy_32__arpls_minmax__legacy32__a14f43bc17e3,domain_aware_stage2_legacy_32,arpls_minmax,legacy,32,1.0,0.5,0.1,0.1,0.2,True,True,True,1382721,75,100,db7525de6b2cb2c2178dacceb25545da9178beccb649ae35d1dae06317d8fb54,361152,231,361383,300,97,39,16,0.7783313994494119,0.7577686288866412,7,0.5681287050247192,1.2384865283966064,0.6703578233718872,0.5768826603889465,6.390832424163818,True,True,True,True
stage2,outer_0,0,4,domain_aware_stage2_legacy_64__arpls_minmax__legacy64__ed0a712ca783,domain_aware_stage2_legacy_64,arpls_minmax,legacy,64,1.0,0.5,0.1,0.1,0.2,True,True,True,87534916,85,110,e8083c4ec39baf908ed2ac3b8b0ccf2130d0a3b5945ad775f4d318923a4183b6,719584,455,720039,300,97,39,16,0.7757149682615522,0.7450707671368019,7,0.5764985084533691,1.2059608697891235,0.6294623613357544,0.559087872505188,6.275812149047852,True,True,True,True
stage2,outer_0,0,4,domain_aware_stage2_compact_32__arpls_minmax__compact32__78e11bebc084,domain_aware_stage2_compact_32,arpls_minmax,compact,32,1.0,0.5,0.1,0.1,0.2,True,True,True,1413546806,150,175,967d224ca784771d1953bc5d652c2968a03142a02f9f2648ca09c114bf5279e6,59936,231,60167,300,97,39,16,0.5841978932041043,0.582213248935938,7,0.6073496341705322,1.0107475519180298,0.40339791774749756,0.6397438049316406,5.21163272857666,True,True,True,True
stage2,outer_0,0,4,domain_aware_stage2_compact_64__arpls_minmax__compact64__2327502e58f5,domain_aware_stage2_compact_64,arpls_minmax,compact,64,1.0,0.5,0.1,0.1,0.2,True,True,True,842530741,85,110,cdd0aec6ef119c5841774891914bf81e79304e549fd8d96e8c58f70e53221508,64064,455,64519,300,97,39,16,0.6333811116419811,0.6387570382363952,7,0.5446071624755859,0.8720705509185791,0.32746338844299316,0.569682240486145,6.228610515594482,True,True,True,True
stage2,outer_1,1,0,domain_aware_stage2_legacy_32__minimal_minmax__legacy32__fe09b44bbbad,domain_aware_stage2_legacy_32,minimal_minmax,legacy,32,1.0,0.5,0.25,0.1,0.2,True,True,True,1293354156,70,95,b09329b41b036f4cf2c680f09f92be0797780ad4eab665f5c4890f75dc900d21,361152,231,361383,293,103,43,14,0.7775510204081633,0.7866565037760899,7,0.6321627497673035,1.2086212635040283,0.5764585137367249,0.6456692218780518,6.3218255043029785,True,True,True,True
stage2,outer_1,1,0,domain_aware_stage2_legacy_64__minimal_minmax__legacy64__d4af836e233a,domain_aware_stage2_legacy_64,minimal_minmax,legacy,64,1.0,0.5,0.25,0.1,0.2,True,True,True,371771144,55,80,75442dc1793df9eed01e7449d581fbe98aae6b20f64731ee8ab18a2268f13fd2,719584,455,720039,293,103,43,14,0.8095804988662131,0.7898723112018017,7,0.6315963268280029,1.2132072448730469,0.581610918045044,0.6537440419197083,7.62807559967041,True,True,True,True
stage2,outer_1,1,0,domain_aware_stage2_compact_32__minimal_minmax__compact32__0c850f86c6b8,domain_aware_stage2_compact_32,minimal_minmax,compact,32,1.0,0.5,0.25,0.1,0.2,True,True,True,1202043330,160,185,679dac5a905a8e1cbee1f534d7c7e5669bd8d2a28791a431e1045406770466c6,59936,231,60167,293,103,43,14,0.6539399092970521,0.6065498725236188,7,0.724774956703186,1.0200895071029663,0.2953145503997803,0.715904951095581,6.332250595092773,True,True,True,True
