epoch,train_loss,train_cross_entropy,train_supervised_contrastive,train_pair_margin,scenario,variant,candidate_id,run_seed,representation,architecture
1,4.005651615585483,1.9362433139781496,4.105805718858088,0.1650550419483779,calibration_quality_pass_o0_i1,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,221905568,arpls_minmax,legacy
2,3.862320154600176,1.9076615193598097,3.879071064776528,0.1512311207251337,calibration_quality_pass_o0_i1,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,221905568,arpls_minmax,legacy
3,3.7881758790781066,1.8811458507902383,3.781568790051717,0.1624560081511227,calibration_quality_pass_o0_i1,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,221905568,arpls_minmax,legacy
4,3.594258524045196,1.8312131923213344,3.5061269917178888,0.0998180480642123,calibration_quality_pass_o0_i1,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,221905568,arpls_minmax,legacy
5,3.440179727183267,1.7835341643147908,3.2954742896272053,0.0890840903280538,calibration_quality_pass_o0_i1,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,221905568,arpls_minmax,legacy
6,3.3146053475324613,1.7440348489292652,3.1279172557612736,0.0661188430143297,calibration_quality_pass_o0_i1,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,221905568,arpls_minmax,legacy
7,3.244273683723736,1.7119386122902098,3.0544318188579416,0.0511918367004282,calibration_quality_pass_o0_i1,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,221905568,arpls_minmax,legacy
8,3.1765750032236144,1.689626022817332,2.9654753785898254,0.042113042579576,calibration_quality_pass_o0_i1,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,221905568,arpls_minmax,legacy
9,3.080767113194124,1.65432844837371,2.8473477908775666,0.0276474633441646,calibration_quality_pass_o0_i1,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,221905568,arpls_minmax,legacy
10,2.951324215521178,1.6218190933657182,2.655741723731109,0.0163427776507651,calibration_quality_pass_o0_i1,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,221905568,arpls_minmax,legacy
