stage,subset,protocol,domain_type,heldout_domain,variant,candidate_id,representation,architecture,embedding_dimension,declared_seed,run_seed,epochs,temperature,name,classification_weight,supervised_contrastive_weight,pair_margin_weight,contrastive_temperature,pair_margin,domain_aware_positives,hard_negative_mining,domain_balanced_batches,encoder_parameters,classifier_parameters,total_parameters,state_sha256
domain,strict_core,domain_and_sample,instrument,Mira-2,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,1666572516,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,260,719844,127c68b8b42b17d1c7454357716447d357a618930b57b4065e891fb18dd1a520
domain,strict_core,domain_and_sample,instrument,Mira-2,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,381673941,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,260,719844,e4e24b596bb9eef1fd493bd8014e179dd6fdc76cbeb2fe28dcd921798ab99ddc
domain,strict_core,domain_and_sample,instrument,Mira-3,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,1737451974,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,390,719974,2000e27375c66191fde245ae9d26bd7fadf891589227e26c540692bd052813e3
domain,strict_core,domain_and_sample,instrument,Mira-3,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,1841440753,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,390,719974,e90375a5d3c60b2447369733c369a68b3f2fc8dc52f583d2db760ebbda842e3e
domain,strict_core,domain_and_sample,instrument,Mira-3,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,1421647414,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,390,719974,68d8582064f836f019582105535a0ba25bcaeca54bcc17c957991c0445401883
domain,strict_core,domain_and_sample,instrument,Pendar-1,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,2098045778,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,390,719974,a51136eb81eaebe7b74ea35083dda8528557047c2ad5744fbacdf0bc89bc1019
domain,strict_core,domain_and_sample,instrument,Pendar-1,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,132098104,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,390,719974,55a0445bc9d58f72c1fdeb396a2877548a5b0de5a72d7494bc70148a025743cd
domain,strict_core,domain_and_sample,instrument,Pendar-1,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,3141,1384734339,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,390,719974,b44027d5f45ba16bb25cd3fe33c8e1689b52191407eb619304641fdcd6dc725b
domain,strict_core,domain_and_sample,instrument,Pendar-2,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,1729,1411088687,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,195,719779,4f47528ccd6ddfe512b17ae0218c7dbfefa52119d6c383b8ff1a1be2bcfa3270
domain,strict_core,domain_and_sample,instrument,Pendar-2,full_domain_aware,full_domain_aware__derivative_1__legacy64__ea0223d19cfe,derivative_1,legacy,64,2718,653023594,61,0.7849390324234737,full_domain_aware,1.0,0.5,0.25,0.1,0.2,True,True,True,719584,195,719779,46ac726a1b4f4802f6b63e90d0a99e8ca2b8efa682a8fa256bcfba20f00702c7
