scenario,outer_fold,declared_seed,evaluation_subset,representation,confidence_kind,observation_uid,true_label,predicted_label,raw_prototype_confidence,calibrated_correctness_probability,instrument,sensor_family
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session1_row177,4_nitrophenol,ethanol,-0.1638938188552856,0.3961919720753082,Pendar-2,H_SERS_H_Kit
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session1_row202,4_nitrophenol,acetaminophen,-0.1007235050201416,0.40577827876190176,Pendar-2,GaN_polymer
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session1_row261,ethyl_paraoxon,ethanol,-0.2256972193717956,0.3868896015927693,Pendar-2,H_SERS_H_Kit
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session2_row42,blank,acetaminophen,-0.2744165658950805,0.3796139467942026,Pendar-3,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row11,ethanol,4_ANPP,-0.318730354309082,0.3730427880972851,Pendar-2,H_SERS_H_Kit
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row15,ethanol,acetaminophen,-0.2110849469900131,0.3890818142799111,Pendar-2,H_SERS_H_Kit
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row74,ethyl_paraoxon,ethanol,-0.0433828309178352,0.41454275532350277,Pendar-2,H_SERS_H_Kit
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row84,ethyl_paraoxon,acetaminophen,-0.068452276289463,0.4107039044345708,Pendar-2,H_SERS_H_Kit
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,1729,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row93,ethanol,acetaminophen,-0.1890669167041778,0.3923935418115857,Pendar-2,H_SERS_H_Kit
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session1_row177,4_nitrophenol,acetaminophen,-0.3410084843635559,0.32183510207644256,Pendar-2,H_SERS_H_Kit
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session1_row202,4_nitrophenol,acetaminophen,-0.395864188671112,0.3184818419763737,Pendar-2,GaN_polymer
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session1_row204,4_nitrophenol,ethyl_paraoxon,-0.2546393275260925,0.3271520537777392,Pendar-2,GaN_polymer
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session2_row42,blank,acetaminophen,-0.1813437938690185,0.33169934174752774,Pendar-3,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row11,ethanol,4_ANPP,-0.3276579678058624,0.32265400464762845,Pendar-2,H_SERS_H_Kit
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row74,ethyl_paraoxon,ethanol,-0.1457414627075195,0.33391957451082177,Pendar-2,H_SERS_H_Kit
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row84,ethyl_paraoxon,acetaminophen,-0.2773869931697845,0.32574730596096685,Pendar-2,H_SERS_H_Kit
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,2718,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row93,ethanol,acetaminophen,-0.4008846879005432,0.3181758757157178,Pendar-2,H_SERS_H_Kit
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session1_row177,4_nitrophenol,ethanol,-0.1371727883815765,0.33138302541646936,Pendar-2,H_SERS_H_Kit
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session1_row181,ethanol,acetaminophen,-0.07533610612154,0.33441330248161333,Pendar-2,H_SERS_H_Kit
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session1_row202,4_nitrophenol,acetaminophen,-0.3718626201152801,0.3200102974803365,Pendar-2,GaN_polymer
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session2_row42,blank,acetaminophen,-0.4504817426204681,0.3162470351117085,Pendar-3,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row11,ethanol,4_ANPP,-0.1156959906220436,0.3324339182483585,Pendar-2,H_SERS_H_Kit
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row15,ethanol,acetaminophen,-0.0762135684490203,0.33437020641791104,Pendar-2,H_SERS_H_Kit
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row74,ethyl_paraoxon,ethanol,-0.3137089610099792,0.3228091273084701,Pendar-2,H_SERS_H_Kit
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row84,ethyl_paraoxon,acetaminophen,-0.1269319206476211,0.33188391801775824,Pendar-2,H_SERS_H_Kit
nato_outer_o0__train_quality_pass__test_field_quality_stress,0,3141,field_quality_stress,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row93,ethanol,acetaminophen,-0.1954044848680496,0.3285421247572479,Pendar-2,H_SERS_H_Kit
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session1_row31,blank,4_ANPP,-0.4624031484127044,0.583835161673704,Mira-3,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session1_row33,4_ANPP,acetaminophen,-0.4113475382328033,0.6171921577993168,Mira-3,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session1_row36,blank,acetaminophen,-0.1580860614776611,0.762729536915161,Agilent-3,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session1_row37,4_ANPP,acetaminophen,-0.1982742995023727,0.7423469618292412,Agilent-3,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session1_row38,4_ANPP,acetaminophen,-0.381842702627182,0.635998541278451,Agilent-3,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session1_row65,benzyl_fentanyl,4_ANPP,-0.2373529374599456,0.7214622047659401,Pendar-2,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session1_row227,ethanol,blank,-0.3293077647686004,0.6684491407144227,Mira-2,H_SERS_H_Kit
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session1_row242,4_nitrophenol,acetaminophen,-0.1810693889856338,0.751210861572317,Agilent-3,GaN_polymer
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session2_row41,blank,acetaminophen,-0.2041539400815963,0.7392709502297015,Mira-3,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session2_row218,acetaminophen,blank,-0.0756765007972717,0.800949954230837,RMX-2,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session2_row308,4_nitrophenol,blank,-0.1763181984424591,0.7536224019569147,RMX-1,NRC_Canadian_SERS
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session2_row333,ethanol,blank,-0.1787201762199401,0.7524052106860003,RMX-1,H_SERS_H_Kit
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session2_row347,ethanol,ethyl_paraoxon,-0.1996005475521087,0.7416551915501948,Mira-2,NRC_Canadian_SERS
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session2_row355,ethanol,ethyl_paraoxon,-0.1343101561069488,0.7742531163386828,Pendar-3,NRC_Canadian_SERS
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row211,4_ANPP,benzyl_fentanyl,-0.2124839872121811,0.7348724803603698,Mira-3,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row224,benzyl_fentanyl,acetaminophen,-0.1139737665653228,0.7837906040943549,Pendar-1,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row263,blank,acetaminophen,-0.2586961686611175,0.7096269299210997,Pendar-1,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row277,blank,4_ANPP,-0.1686222851276397,0.7574950741215576,Pendar-1,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row286,blank,acetaminophen,-0.2097381502389907,0.7363275774058762,Agilent-1,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row289,blank,ethanol,-0.1714930236339569,0.7560553400110342,Mira-3,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row296,blank,acetaminophen,-0.2186843007802963,0.7315679354799742,Pendar-1,NRC_Canadian_SERS
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row297,4_ANPP,acetaminophen,-0.187055304646492,0.7481502222890556,Pendar-1,NRC_Canadian_SERS
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row298,blank,acetaminophen,-0.1565504968166351,0.7634858811499877,Pendar-1,NRC_Canadian_SERS
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row306,benzyl_fentanyl,blank,-0.2879300117492676,0.6929442192969668,Pendar-1,NRC_Canadian_SERS
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row312,blank,acetaminophen,-0.2660678029060364,0.7054708596787366,Pendar-1,NRC_Canadian_SERS
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row315,benzyl_fentanyl,blank,-0.141593649983406,0.770765608331277,Mira-3,NRC_Canadian_SERS
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row322,blank,4_nitrophenol,-0.269907683134079,0.7032922943437961,Mira-3,NRC_Canadian_SERS
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row323,4_ANPP,acetaminophen,-0.0811525508761406,0.7985605127248312,Mira-3,NRC_Canadian_SERS
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row331,blank,acetaminophen,-0.0683121308684349,0.8041296750665909,Pendar-1,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row347,blank,ethanol,-0.1653743386268615,0.7591170067712855,Pendar-1,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row480,acetaminophen,4_ANPP,-0.1436387151479721,0.7697796041069532,Agilent-3,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row484,acetaminophen,4_ANPP,-0.2407794296741485,0.719582203715762,RMX-2,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,1729,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row498,acetaminophen,benzyl_fentanyl,-0.4106310904026031,0.6176532642844684,Mira-1,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session1_row31,blank,benzyl_fentanyl,-0.4414462745189667,0.5736483936519811,Mira-3,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session1_row33,4_ANPP,acetaminophen,-0.4145848453044891,0.5870379927957604,Mira-3,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session1_row36,blank,acetaminophen,-0.3016161322593689,0.6417494627224376,Agilent-3,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session1_row37,4_ANPP,acetaminophen,-0.3444623649120331,0.6213459570472885,Agilent-3,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session1_row65,benzyl_fentanyl,4_ANPP,-0.5171223282814026,0.5354040946536318,Pendar-2,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session1_row227,ethanol,blank,-0.4568237364292145,0.5659329822688077,Mira-2,H_SERS_H_Kit
nato_outer_o0__train_quality_pass__test_quality_pass,0,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session1_row242,4_nitrophenol,acetaminophen,-0.6259392499923706,0.47979112728394513,Agilent-3,GaN_polymer
nato_outer_o0__train_quality_pass__test_quality_pass,0,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session2_row90,blank,ethanol,-0.2099291980266571,0.6836584579229635,Mira-3,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session2_row218,acetaminophen,blank,-0.2964603900909424,0.6441720482453853,RMX-2,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session2_row223,acetaminophen,blank,-0.1478648483753204,0.7104711139887132,Pendar-2,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session2_row308,4_nitrophenol,ethanol,-0.356394350528717,0.6155830062226818,RMX-1,NRC_Canadian_SERS
nato_outer_o0__train_quality_pass__test_quality_pass,0,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session2_row347,ethanol,ethyl_paraoxon,-0.2881582975387573,0.6480575324190904,Mira-2,NRC_Canadian_SERS
nato_outer_o0__train_quality_pass__test_quality_pass,0,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row211,4_ANPP,benzyl_fentanyl,-0.0552354119718074,0.747867858139298,Mira-3,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row224,benzyl_fentanyl,blank,-0.2890493273735046,0.6476414461230284,Pendar-1,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row263,blank,acetaminophen,-0.4434647262096405,0.5726376236264261,Pendar-1,pSERS_Metrohm_silver
nato_outer_o0__train_quality_pass__test_quality_pass,0,2718,quality_pass,derivative_1,cross_fitted_correctness_platt_from_negative_prototype_distance,session3_row277,blank,4_ANPP,-0.078760452568531,0.7386802599008166,Pendar-1,pSERS_Metrohm_silver
