evaluation_subset,domain_protocol,domain_type,heldout_domain,n_train,n_test_partition,stage,scenario,outer_fold,model_family,model,representation,curriculum,seed,balanced_accuracy_supported,macro_f1_supported,macro_f1_union,n_test,n_test_supported,n_test_unsupported,unsupported_classes,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.7556818181818181,0.8555555555555556,0.5703703703703704,29,19,10,blank,,,,,,,,,
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.5909090909090909,0.5982905982905983,0.3988603988603988,29,19,10,blank,,,,,,,,,
strict_core,domain_and_sample,instrument,Agilent-1,397,29,domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,0.6477272727272727,0.7529411764705882,0.5019607843137255,29,19,10,blank,,,,,,,,,
strict_core,domain_and_sample,instrument,Agilent-3,111,73,domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.703207671957672,0.6468070852620937,0.6468070852620937,73,62,11,blank,,,,,,,,,
strict_core,domain_and_sample,instrument,Agilent-3,111,73,domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.6455357142857143,0.637271756021756,0.637271756021756,73,62,11,blank,,,,,,,,,
strict_core,domain_and_sample,instrument,Agilent-3,111,73,domain,domain__strict_core__domain_and_sample__instrument__Agilent-3,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,0.6767857142857143,0.671329574817947,0.671329574817947,73,62,11,blank,,,,,,,,,
strict_core,domain_and_sample,instrument,Mira-1,433,23,domain,domain__strict_core__domain_and_sample__instrument__Mira-1,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.7407407407407408,0.6218708827404479,0.4664031620553359,23,23,0,,,,,,,,,,
strict_core,domain_and_sample,instrument,Mira-1,433,23,domain,domain__strict_core__domain_and_sample__instrument__Mira-1,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.8148148148148149,0.72396878483835,0.72396878483835,23,23,0,,,,,,,,,,
strict_core,domain_and_sample,instrument,Mira-1,433,23,domain,domain__strict_core__domain_and_sample__instrument__Mira-1,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,0.7542087542087542,0.6575091575091575,0.6575091575091575,23,23,0,,,,,,,,,,
strict_core,domain_and_sample,instrument,Mira-2,363,75,domain,domain__strict_core__domain_and_sample__instrument__Mira-2,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.25,0.3333333333333333,0.2222222222222222,75,3,72,4_nitrophenol|ethanol|ethyl_paraoxon,,,,,,,,,
strict_core,domain_and_sample,instrument,Mira-2,363,75,domain,domain__strict_core__domain_and_sample__instrument__Mira-2,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.0,0.0,0.0,75,3,72,4_nitrophenol|ethanol|ethyl_paraoxon,,,,,,,,,
strict_core,domain_and_sample,instrument,Mira-2,363,75,domain,domain__strict_core__domain_and_sample__instrument__Mira-2,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,0.0,0.0,0.0,75,3,72,4_nitrophenol|ethanol|ethyl_paraoxon,,,,,,,,,
strict_core,domain_and_sample,instrument,Mira-3,394,72,domain,domain__strict_core__domain_and_sample__instrument__Mira-3,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.70625,0.7943548387096775,0.5295698924731184,72,41,31,blank,,,,,,,,,
strict_core,domain_and_sample,instrument,Mira-3,394,72,domain,domain__strict_core__domain_and_sample__instrument__Mira-3,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.51,0.638401559454191,0.3192007797270955,72,41,31,blank,,,,,,,,,
strict_core,domain_and_sample,instrument,Mira-3,394,72,domain,domain__strict_core__domain_and_sample__instrument__Mira-3,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,0.74875,0.7666666666666666,0.3066666666666666,72,41,31,blank,,,,,,,,,
strict_core,domain_and_sample,instrument,Pendar-1,390,46,domain,domain__strict_core__domain_and_sample__instrument__Pendar-1,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.5729166666666666,0.6833333333333333,0.2733333333333333,46,25,21,blank,,,,,,,,,
strict_core,domain_and_sample,instrument,Pendar-1,390,46,domain,domain__strict_core__domain_and_sample__instrument__Pendar-1,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.5416666666666666,0.6637931034482758,0.3318965517241379,46,25,21,blank,,,,,,,,,
strict_core,domain_and_sample,instrument,Pendar-1,390,46,domain,domain__strict_core__domain_and_sample__instrument__Pendar-1,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,0.7395833333333333,0.8232758620689655,0.4116379310344827,46,25,21,blank,,,,,,,,,
strict_core,domain_and_sample,instrument,Pendar-2,158,98,domain,domain__strict_core__domain_and_sample__instrument__Pendar-2,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.8777777777777779,0.8528180354267311,0.8528180354267311,98,21,77,4_nitrophenol|acetaminophen|ethanol|ethyl_paraoxon,,,,,,,,,
strict_core,domain_and_sample,instrument,Pendar-2,158,98,domain,domain__strict_core__domain_and_sample__instrument__Pendar-2,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.9444444444444444,0.903030303030303,0.903030303030303,98,21,77,4_nitrophenol|acetaminophen|ethanol|ethyl_paraoxon,,,,,,,,,
strict_core,domain_and_sample,instrument,Pendar-2,158,98,domain,domain__strict_core__domain_and_sample__instrument__Pendar-2,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,0.9722222222222222,0.9484702093397748,0.9484702093397748,98,21,77,4_nitrophenol|acetaminophen|ethanol|ethyl_paraoxon,,,,,,,,,
strict_core,domain_and_sample,instrument,Pendar-3,124,70,domain,domain__strict_core__domain_and_sample__instrument__Pendar-3,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.3962197159565581,0.3798941798941799,0.3798941798941799,70,61,9,blank,,,,,,,,,
strict_core,domain_and_sample,instrument,Pendar-3,124,70,domain,domain__strict_core__domain_and_sample__instrument__Pendar-3,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.4762949039264829,0.4405829626417861,0.4405829626417861,70,61,9,blank,,,,,,,,,
strict_core,domain_and_sample,instrument,Pendar-3,124,70,domain,domain__strict_core__domain_and_sample__instrument__Pendar-3,,siamese,deterministic_edge_triplet,derivative_1,triplet,3141,0.3687552213868003,0.3951079622132253,0.3951079622132253,70,61,9,blank,,,,,,,,,
strict_core,domain_and_sample,instrument,RMX-1,409,47,domain,domain__strict_core__domain_and_sample__instrument__RMX-1,,siamese,deterministic_edge_triplet,derivative_1,triplet,1729,0.5909090909090908,0.7418300653594772,0.247276688453159,47,22,25,4_nitrophenol,,,,,,,,,
strict_core,domain_and_sample,instrument,RMX-1,409,47,domain,domain__strict_core__domain_and_sample__instrument__RMX-1,,siamese,deterministic_edge_triplet,derivative_1,triplet,2718,0.6818181818181819,0.788888888888889,0.3944444444444445,47,22,25,4_nitrophenol,,,,,,,,,
