stage,training_subset,evaluation_subset,outer_fold,variant,candidate_id,representation,architecture,embedding_dimension,declared_seed,run_seed,epochs,temperature,observation_uid,master_sample_id,target_analyte,predicted_analyte,correct,supported,rejection_score,selection_source,requested_coverage,acceptance_confidence,accepted,decision,instrument,sensor_family
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row31,8.0,blank,benzyl_fentanyl,False,True,calibrated_max_probability,cross_fitted_development,0.8,0.8437029250549165,True,accept,Mira-3,pSERS_Metrohm_silver
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row33,7.0,4_ANPP,blank,False,True,calibrated_max_probability,cross_fitted_development,0.8,0.8041287136704571,True,accept,Mira-3,pSERS_Metrohm_silver
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row36,8.0,blank,blank,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.8100209691547557,True,accept,Agilent-3,pSERS_Metrohm_silver
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row37,7.0,4_ANPP,blank,False,True,calibrated_max_probability,cross_fitted_development,0.8,0.7169226173134327,True,accept,Agilent-3,pSERS_Metrohm_silver
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row38,7.0,4_ANPP,4_ANPP,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.7939539856293483,True,accept,Agilent-3,pSERS_Metrohm_silver
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row50,11.0,benzyl_fentanyl,blank,False,True,calibrated_max_probability,cross_fitted_development,0.8,0.38706852469390707,False,reject_low_confidence,Agilent-3,pSERS_Metrohm_silver
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row54,11.0,benzyl_fentanyl,blank,False,True,calibrated_max_probability,cross_fitted_development,0.8,0.615163053089369,False,reject_low_confidence,Mira-3,pSERS_Metrohm_silver
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row64,11.0,benzyl_fentanyl,benzyl_fentanyl,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.9141360032675878,True,accept,Mira-3,pSERS_Metrohm_silver
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row65,11.0,benzyl_fentanyl,benzyl_fentanyl,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.873848212335725,True,accept,Pendar-2,pSERS_Metrohm_silver
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row177,51.0,4_nitrophenol,ethanol,False,True,calibrated_max_probability,cross_fitted_development,0.8,0.8530938647211013,True,accept,Pendar-2,H_SERS_H_Kit
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row181,55.0,ethanol,acetaminophen,False,True,calibrated_max_probability,cross_fitted_development,0.8,0.3340667850400199,False,reject_low_confidence,Pendar-2,H_SERS_H_Kit
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row188,51.0,4_nitrophenol,4_nitrophenol,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.8856840009593658,True,accept,Pendar-2,H_SERS_H_Kit
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row191,51.0,4_nitrophenol,4_nitrophenol,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.8830855159322462,True,accept,RMX-1,H_SERS_H_Kit
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row202,51.0,4_nitrophenol,4_nitrophenol,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.767527320685675,True,accept,Pendar-2,GaN_polymer
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row204,51.0,4_nitrophenol,4_nitrophenol,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.8786347990292497,True,accept,Pendar-2,GaN_polymer
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row223,51.0,4_nitrophenol,4_nitrophenol,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.9009150677297277,True,accept,Mira-2,H_SERS_H_Kit
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row227,55.0,ethanol,4_nitrophenol,False,True,calibrated_max_probability,cross_fitted_development,0.8,0.7342124048705247,True,accept,Mira-2,H_SERS_H_Kit
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row230,51.0,4_nitrophenol,4_nitrophenol,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.8044558842944575,True,accept,Mira-2,GaN_polymer
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row231,51.0,4_nitrophenol,4_nitrophenol,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.7460903702489586,True,accept,Mira-2,GaN_polymer
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row239,51.0,4_nitrophenol,4_nitrophenol,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.8784100838109978,True,accept,Agilent-3,H_SERS_H_Kit
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row242,51.0,4_nitrophenol,acetaminophen,False,True,calibrated_max_probability,cross_fitted_development,0.8,0.8156805563253793,True,accept,Agilent-3,GaN_polymer
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row243,51.0,4_nitrophenol,4_nitrophenol,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.7287436844499667,True,accept,Agilent-3,GaN_polymer
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row257,65.0,ethyl_paraoxon,ethyl_paraoxon,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.8557789268534198,True,accept,Mira-2,H_SERS_H_Kit
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row261,65.0,ethyl_paraoxon,ethyl_paraoxon,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.8535915053569009,True,accept,Pendar-2,H_SERS_H_Kit
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session2_row39,7.0,4_ANPP,4_ANPP,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.8735121861446893,True,accept,Pendar-3,pSERS_Metrohm_silver
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session2_row40,7.0,4_ANPP,4_ANPP,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.8729954572812143,True,accept,Mira-3,pSERS_Metrohm_silver
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session2_row41,8.0,blank,blank,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.7998676098259927,True,accept,Mira-3,pSERS_Metrohm_silver
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session2_row42,8.0,blank,acetaminophen,False,True,calibrated_max_probability,cross_fitted_development,0.8,0.32664583641826384,False,reject_low_confidence,Pendar-3,pSERS_Metrohm_silver
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session2_row47,11.0,benzyl_fentanyl,benzyl_fentanyl,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.9104483071932447,True,accept,Pendar-3,pSERS_Metrohm_silver
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session2_row48,11.0,benzyl_fentanyl,benzyl_fentanyl,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.8916536174955972,True,accept,Mira-3,pSERS_Metrohm_silver
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session2_row90,16.0,blank,blank,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.732243638409476,True,accept,Mira-3,pSERS_Metrohm_silver
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session2_row91,16.0,blank,blank,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.7648412527510609,True,accept,Pendar-3,pSERS_Metrohm_silver
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session2_row111,7.0,4_ANPP,4_ANPP,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.8714824018493962,True,accept,Agilent-3,pSERS_Metrohm_silver
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session2_row112,8.0,blank,blank,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.8318814301189492,True,accept,Agilent-3,pSERS_Metrohm_silver
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session2_row115,11.0,benzyl_fentanyl,benzyl_fentanyl,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.9146672809439637,True,accept,Agilent-3,pSERS_Metrohm_silver
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session2_row120,16.0,blank,blank,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.8247106828421519,True,accept,Agilent-3,pSERS_Metrohm_silver
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session2_row190,35.0,benzyl_fentanyl,benzyl_fentanyl,True,True,calibrated_max_probability,cross_fitted_development,0.8,0.9121489931422492,True,accept,Pendar-2,pSERS_Metrohm_silver
