outer_fold,declared_seed,run_seed,score,selected_rejection_score,selected,n_quality,n_stress,ood_auroc,ood_auprc
0,1729,1718384154,one_minus_max_probability,calibrated_max_probability,True,103,15,0.7404530744336569,0.3835816463347782
0,1729,1718384154,energy,calibrated_max_probability,False,103,15,0.5592233009708738,0.17525827182871323
0,1729,1718384154,class_mahalanobis,calibrated_max_probability,False,103,15,0.655663430420712,0.21850222947351705
0,2718,469928559,one_minus_max_probability,calibrated_max_probability,True,103,15,0.7087378640776699,0.285588762943144
0,2718,469928559,energy,calibrated_max_probability,False,103,15,0.7559870550161812,0.2715876148465723
0,2718,469928559,class_mahalanobis,calibrated_max_probability,False,103,15,0.7411003236245954,0.26078710230163366
0,3141,1492909764,one_minus_max_probability,calibrated_max_probability,True,103,15,0.6485436893203883,0.25512374354531514
0,3141,1492909764,energy,calibrated_max_probability,False,103,15,0.6893203883495145,0.3513612588909906
0,3141,1492909764,class_mahalanobis,calibrated_max_probability,False,103,15,0.6893203883495145,0.2506991866411555
1,1729,711593015,one_minus_max_probability,calibrated_max_probability,True,104,15,0.8070512820512821,0.38315574463850327
1,1729,711593015,energy,calibrated_max_probability,False,104,15,0.8211538461538461,0.45939794298961356
1,1729,711593015,class_mahalanobis,calibrated_max_probability,False,104,15,0.8769230769230769,0.458770186764356
1,2718,1816969521,one_minus_max_probability,calibrated_max_probability,True,104,15,0.7749999999999999,0.3075793125291144
1,2718,1816969521,energy,calibrated_max_probability,False,104,15,0.7307692307692308,0.27518557966312174
1,2718,1816969521,class_mahalanobis,calibrated_max_probability,False,104,15,0.8416666666666666,0.36483254434813095
1,3141,64471475,one_minus_max_probability,calibrated_max_probability,True,104,15,0.732051282051282,0.34930058550709325
1,3141,64471475,energy,calibrated_max_probability,False,104,15,0.576923076923077,0.19462486903517942
1,3141,64471475,class_mahalanobis,calibrated_max_probability,False,104,15,0.8243589743589743,0.3805690799967847
2,1729,1198384017,one_minus_max_probability,calibrated_max_probability,True,95,22,0.6186602870813397,0.25569997045730963
2,1729,1198384017,energy,calibrated_max_probability,False,95,22,0.5641148325358852,0.282998793366809
2,1729,1198384017,class_mahalanobis,calibrated_max_probability,False,95,22,0.6923444976076556,0.32601829255457015
2,2718,1281085741,one_minus_max_probability,calibrated_max_probability,True,95,22,0.7464114832535886,0.45964533320806156
2,2718,1281085741,energy,calibrated_max_probability,False,95,22,0.7349282296650718,0.3777660678960697
2,2718,1281085741,class_mahalanobis,calibrated_max_probability,False,95,22,0.7818181818181817,0.3688247746767963
2,3141,908386544,one_minus_max_probability,calibrated_max_probability,True,95,22,0.7220095693779904,0.4246264953370445
2,3141,908386544,energy,calibrated_max_probability,False,95,22,0.6440191387559808,0.300709408527967
2,3141,908386544,class_mahalanobis,calibrated_max_probability,False,95,22,0.708133971291866,0.32113408226626783
3,1729,1701971168,one_minus_max_probability,calibrated_max_probability,True,101,19,0.7790515893694633,0.49723519750996537
3,1729,1701971168,energy,calibrated_max_probability,False,101,19,0.7529963522668056,0.46932702401750104
3,1729,1701971168,class_mahalanobis,calibrated_max_probability,False,101,19,0.7910369984366857,0.5335869129930944
3,2718,2087731486,one_minus_max_probability,calibrated_max_probability,True,101,19,0.6826472120896301,0.3150801465845731
3,2718,2087731486,energy,calibrated_max_probability,False,101,19,0.6503387180823346,0.24749164576823318
3,2718,2087731486,class_mahalanobis,calibrated_max_probability,False,101,19,0.7425742574257425,0.36829771304951575
3,3141,1228854486,one_minus_max_probability,calibrated_max_probability,True,101,19,0.6508598228243877,0.24854975000758706
3,3141,1228854486,energy,calibrated_max_probability,False,101,19,0.6414799374674309,0.21630636311220175
3,3141,1228854486,class_mahalanobis,calibrated_max_probability,False,101,19,0.7436164669098488,0.371531607761067
4,1729,1688324410,one_minus_max_probability,calibrated_max_probability,True,97,27,0.743795341733486,0.3780702141769625
4,1729,1688324410,energy,calibrated_max_probability,False,97,27,0.7613592974417717,0.3842198240176212
4,1729,1688324410,class_mahalanobis,calibrated_max_probability,False,97,27,0.8209240168003055,0.5285205515655367
4,2718,91830310,one_minus_max_probability,calibrated_max_probability,True,97,27,0.6563573883161512,0.3323401979636614
4,2718,91830310,energy,calibrated_max_probability,False,97,27,0.7056128293241695,0.3693364043696279
4,2718,91830310,class_mahalanobis,calibrated_max_probability,False,97,27,0.695303550973654,0.3710820845812662
4,3141,358912376,one_minus_max_probability,calibrated_max_probability,True,97,27,0.8029782359679267,0.5379850671707729
4,3141,358912376,energy,calibrated_max_probability,False,97,27,0.6815578465063001,0.5032476988576048
4,3141,358912376,class_mahalanobis,calibrated_max_probability,False,97,27,0.8373424971363116,0.6015344960855089
