stage,training_subset,evaluation_subset,outer_fold,variant,candidate_id,representation,architecture,embedding_dimension,declared_seed,run_seed,epochs,temperature,observation_uid,master_sample_id,target_analyte,predicted_analyte,correct,supported,confidence,instrument,sensor_family,probability_classes_json,probabilities_json
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row31,8.0,blank,benzyl_fentanyl,False,True,0.8437029250549165,Mira-3,pSERS_Metrohm_silver,"[""4_ANPP"", ""4_nitrophenol"", ""acetaminophen"", ""benzyl_fentanyl"", ""blank"", ""ethanol"", ""ethyl_paraoxon""]","[0.017542847049126977, 0.012307685648377637, 0.055440141185066724, 0.8437029250549165, 0.021799720165345985, 0.025825895254477992, 0.023380785642688365]"
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row33,7.0,4_ANPP,blank,False,True,0.8041287136704571,Mira-3,pSERS_Metrohm_silver,"[""4_ANPP"", ""4_nitrophenol"", ""acetaminophen"", ""benzyl_fentanyl"", ""blank"", ""ethanol"", ""ethyl_paraoxon""]","[0.07642312173542057, 0.028608408975381704, 0.03376513098393189, 0.028537631145097997, 0.8041287136704571, 0.014042133649944328, 0.014494859839766259]"
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row37,7.0,4_ANPP,blank,False,True,0.7169226173134327,Agilent-3,pSERS_Metrohm_silver,"[""4_ANPP"", ""4_nitrophenol"", ""acetaminophen"", ""benzyl_fentanyl"", ""blank"", ""ethanol"", ""ethyl_paraoxon""]","[0.15313724808325707, 0.02715710742056619, 0.025592052775084882, 0.04341038395793619, 0.7169226173134327, 0.012881427618010595, 0.020899162831712427]"
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row50,11.0,benzyl_fentanyl,blank,False,True,0.387068524693907,Agilent-3,pSERS_Metrohm_silver,"[""4_ANPP"", ""4_nitrophenol"", ""acetaminophen"", ""benzyl_fentanyl"", ""blank"", ""ethanol"", ""ethyl_paraoxon""]","[0.22785555937828772, 0.017224126386124188, 0.03867763032625359, 0.27848556385139445, 0.38706852469390707, 0.015130112964384919, 0.03555848239964792]"
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row54,11.0,benzyl_fentanyl,blank,False,True,0.615163053089369,Mira-3,pSERS_Metrohm_silver,"[""4_ANPP"", ""4_nitrophenol"", ""acetaminophen"", ""benzyl_fentanyl"", ""blank"", ""ethanol"", ""ethyl_paraoxon""]","[0.2231413665024593, 0.01335434606942856, 0.034016849402654106, 0.04449716072162324, 0.615163053089369, 0.04706601177519536, 0.022761212439270467]"
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row177,51.0,4_nitrophenol,ethanol,False,True,0.8530938647211013,Pendar-2,H_SERS_H_Kit,"[""4_ANPP"", ""4_nitrophenol"", ""acetaminophen"", ""benzyl_fentanyl"", ""blank"", ""ethanol"", ""ethyl_paraoxon""]","[0.027589848336194166, 0.026389913031791896, 0.013314924628944022, 0.036279395295737316, 0.020554848749404348, 0.8530938647211013, 0.022777205236827008]"
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row181,55.0,ethanol,acetaminophen,False,True,0.3340667850400199,Pendar-2,H_SERS_H_Kit,"[""4_ANPP"", ""4_nitrophenol"", ""acetaminophen"", ""benzyl_fentanyl"", ""blank"", ""ethanol"", ""ethyl_paraoxon""]","[0.010443716102226016, 0.0685269201651288, 0.3340667850400199, 0.08594228884900736, 0.1524603778272513, 0.30658757960982014, 0.04197233240654643]"
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row227,55.0,ethanol,4_nitrophenol,False,True,0.7342124048705247,Mira-2,H_SERS_H_Kit,"[""4_ANPP"", ""4_nitrophenol"", ""acetaminophen"", ""benzyl_fentanyl"", ""blank"", ""ethanol"", ""ethyl_paraoxon""]","[0.07378497595937374, 0.7342124048705247, 0.026462674353909612, 0.012082338214689091, 0.057598523609164044, 0.04722729012019118, 0.04863179287214754]"
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session1_row242,51.0,4_nitrophenol,acetaminophen,False,True,0.8156805563253793,Agilent-3,GaN_polymer,"[""4_ANPP"", ""4_nitrophenol"", ""acetaminophen"", ""benzyl_fentanyl"", ""blank"", ""ethanol"", ""ethyl_paraoxon""]","[0.07627549907511845, 0.019170523291670242, 0.8156805563253793, 0.026640892603188252, 0.03408103403377669, 0.015112855681556596, 0.013038638989310422]"
outer,strict_core,strict_core,0,full_domain_aware,full_domain_aware__arpls_minmax__legacy32__fac7242ef5c2,arpls_minmax,legacy,32,1729,839585427,70,0.8214659729062531,session2_row42,8.0,blank,acetaminophen,False,True,0.3266458364182638,Pendar-3,pSERS_Metrohm_silver,"[""4_ANPP"", ""4_nitrophenol"", ""acetaminophen"", ""benzyl_fentanyl"", ""blank"", ""ethanol"", ""ethyl_paraoxon""]","[0.24833864513728995, 0.06142558124280362, 0.32664583641826384, 0.01958271743564445, 0.28613726080842156, 0.04194135602602335, 0.015928602931553244]"
