subset,outer_fold,rejection_score,requested_coverage,n_retained,realized_coverage,accuracy,selective_risk,confidence_threshold,selection_utility,selected
strict_core,0,calibrated_max_probability,1.0,480,1.0,0.68125,0.31875,0.27113727614649863,0.7887628141534392,True
strict_core,0,calibrated_max_probability,0.9,432,0.9,0.7268518518518519,0.27314814814814814,0.44672471811428155,0.7887628141534392,True
strict_core,0,calibrated_max_probability,0.8,384,0.8,0.7734375,0.2265625,0.5516123014064732,0.7887628141534392,True
strict_core,0,calibrated_max_probability,0.7,336,0.7,0.8005952380952381,0.19940476190476186,0.6561355532596351,0.7887628141534392,True
strict_core,0,calibrated_max_probability,0.5,240,0.5,0.8541666666666666,0.14583333333333337,0.7541258356198669,0.7887628141534392,True
strict_core,0,energy,1.0,480,1.0,0.68125,0.31875,1.3301442088375146,0.7636491402116402,False
strict_core,0,energy,0.9,432,0.9,0.7245370370370371,0.2754629629629629,1.7272884567725675,0.7636491402116402,False
strict_core,0,energy,0.8,384,0.8,0.7395833333333334,0.26041666666666663,1.8589970787685615,0.7636491402116402,False
strict_core,0,energy,0.7,336,0.7,0.7529761904761905,0.24702380952380953,1.9416680181101809,0.7636491402116402,False
strict_core,0,energy,0.5,240,0.5,0.8375,0.16249999999999998,2.077487360724805,0.7636491402116402,False
strict_core,0,class_conditional_embedding_mahalanobis,1.0,480,1.0,0.68125,0.31875,-4834.4072265625,0.7662884424603175,False
strict_core,0,class_conditional_embedding_mahalanobis,0.9,432,0.9,0.7013888888888888,0.29861111111111116,-3160.530029296875,0.7662884424603175,False
strict_core,0,class_conditional_embedding_mahalanobis,0.8,384,0.8,0.7369791666666666,0.26302083333333337,-1858.72607421875,0.7662884424603175,False
strict_core,0,class_conditional_embedding_mahalanobis,0.7,336,0.7,0.7767857142857143,0.2232142857142857,-982.28466796875,0.7662884424603175,False
strict_core,0,class_conditional_embedding_mahalanobis,0.5,240,0.5,0.85,0.15000000000000002,-158.7563018798828,0.7662884424603175,False
quality_pass,0,calibrated_max_probability,1.0,397,1.0,0.7103274559193955,0.2896725440806045,0.16974203449964817,0.8024378675789003,True
quality_pass,0,calibrated_max_probability,0.9,358,0.9017632241813602,0.7569832402234636,0.24301675977653636,0.47268314630533054,0.8024378675789003,True
quality_pass,0,calibrated_max_probability,0.8,318,0.801007556675063,0.7955974842767296,0.2044025157232704,0.6030579187549919,0.8024378675789003,True
quality_pass,0,calibrated_max_probability,0.7,278,0.7002518891687658,0.8129496402877698,0.18705035971223016,0.6618534866109755,0.8024378675789003,True
quality_pass,0,calibrated_max_probability,0.5,199,0.5012594458438288,0.8442211055276382,0.15577889447236182,0.736773312650143,0.8024378675789003,True
quality_pass,0,energy,1.0,397,1.0,0.7103274559193955,0.2896725440806045,1.4194482543526494,0.7540383070735052,False
quality_pass,0,energy,0.9,358,0.9017632241813602,0.7318435754189944,0.26815642458100564,1.7451311463396464,0.7540383070735052,False
quality_pass,0,energy,0.8,318,0.801007556675063,0.7421383647798742,0.25786163522012584,1.8187810481676883,0.7540383070735052,False
quality_pass,0,energy,0.7,278,0.7002518891687658,0.7482014388489209,0.2517985611510791,1.860697001301421,0.7540383070735052,False
quality_pass,0,energy,0.5,199,0.5012594458438288,0.7939698492462312,0.20603015075376885,1.9740013685836968,0.7540383070735052,False
quality_pass,0,class_conditional_embedding_mahalanobis,1.0,397,1.0,0.7103274559193955,0.2896725440806045,-3206.560791015625,0.7575670629604078,False
quality_pass,0,class_conditional_embedding_mahalanobis,0.9,358,0.9017632241813602,0.7430167597765364,0.25698324022346364,-719.385009765625,0.7575670629604078,False
quality_pass,0,class_conditional_embedding_mahalanobis,0.8,318,0.801007556675063,0.7672955974842768,0.23270440251572322,-263.45294189453125,0.7575670629604078,False
quality_pass,0,class_conditional_embedding_mahalanobis,0.7,278,0.7002518891687658,0.7661870503597122,0.23381294964028776,-106.77227783203125,0.7575670629604078,False
quality_pass,0,class_conditional_embedding_mahalanobis,0.5,199,0.5012594458438288,0.7537688442211056,0.24623115577889443,-15.403902053833008,0.7575670629604078,False
strict_core,1,calibrated_max_probability,1.0,479,1.0,0.7265135699373695,0.2734864300626305,0.24255743569721575,0.8318535052910053,True
strict_core,1,calibrated_max_probability,0.9,432,0.9018789144050104,0.7592592592592593,0.2407407407407407,0.43837276048067647,0.8318535052910053,True
