model,exact_match,micro_precision,micro_recall,micro_f1,avg_predicted_chemicals,avg_true_chemicals
Best classical,0.9844827586206897,0.9922413793103448,0.9922413793103448,0.9922413793103448,2.0,2.0
Best deep,0.9517241379310345,0.9741379310344828,0.9741379310344828,0.9741379310344828,2.0,2.0
Calibrated Siamese+MLP 2-head,0.2827586206896552,0.5643004115226338,0.9456896551724138,0.7068298969072165,3.3517241379310345,2.0
