epoch,train_loss
1,0.17827035166625477
2,0.1174739796961691
3,0.1195074496235085
4,0.09242810746365913
5,0.08173549772731444
6,0.06964977274299877
7,0.08046787340629641
8,0.06277332145516229
9,0.07108642377830633
10,0.06193734723229966
11,0.06336964211628944
12,0.061775040512722264
13,0.05804675351606064
14,0.05670080499430154
15,0.0568645807929995
16,0.046313911320770555
17,0.04712437644494177
18,0.04747200730592368
19,0.04058827911470272
20,0.0307715804914017
21,0.042619076328516574
22,0.042841343582565576
23,0.04123554252497052
24,0.043560381436404866
25,0.0345255436824728
26,0.045524214787813246
27,0.04951806099716405
28,0.049267872065519094
29,0.045279170988852195
30,0.0413667795766225
31,0.03317447038709691
32,0.03183261733635513
33,0.029182582666879623
34,0.03326314004907176
35,0.03878088540848798
36,0.038813345332080966
37,0.04255697323200526
38,0.03645730701437429
39,0.03005328340575917
40,0.02788640919690485
41,0.033656429419369575
42,0.020484283530911283
43,0.02245702265555079
44,0.027987609190648525
45,0.029645378948111523
46,0.02815702180589298
47,0.0199002887440183
48,0.02241400204352181
49,0.019812530826839456
50,0.02157000866818613
51,0.03590538123342473
52,0.029897360020008177
53,0.028972075998711985
54,0.026931812235449833
55,0.022303868591927685
56,0.029655424464574007
57,0.02554026459452645
58,0.02195185707406383
59,0.02380128997891501
60,0.021405469262216748
61,0.02641836121713916
62,0.016807982418019334
63,0.017303295949193914
64,0.01850326078319322
65,0.012577980116614294
66,0.01862701873221659
67,0.02413039653159696
68,0.050409002349598594
69,0.02921870919855796
70,0.023083801059550237
71,0.023494055561347905
72,0.015448689114008997
73,0.015272101525190622
74,0.016396764639169333
75,0.008308921480520244
76,0.017165730562870143
77,0.0128439701826874
78,0.014004392633859183
79,0.02500670543718452
80,0.025360261341267953
81,0.020405435636817414
82,0.02909595634886075
83,0.033289322705143676
84,0.021687624918248032
85,0.017655200918420686
86,0.021369369189323844
87,0.009807451034680472
88,0.022543344051001463
89,0.015106529210803047
90,0.013356577382736387
91,0.01816867793374528
92,0.011061185868657005
93,0.013147396233315114
94,0.017909621566462915
95,0.009238436142413884
96,0.012665849170138558
97,0.010729519592549181
98,0.007618857312031748
99,0.01154702631556618
100,0.0145718839401846
