epoch,train_loss
1,0.06156036917183976
2,0.04759394572387406
3,0.041674182292593134
4,0.04026445350211232
5,0.03811145994657409
6,0.03643171358079374
7,0.033421824014492896
8,0.029411155224975862
9,0.027484629353312525
10,0.027759739978826425
11,0.02705685091193556
12,0.026529778637593125
13,0.025685599665806462
14,0.024720866005403196
15,0.023319266057939866
16,0.021835140756406527
17,0.020995424277078553
18,0.02001464879709526
19,0.019125571155642822
20,0.01838288942128784
21,0.017654772164769163
22,0.01680153352151509
23,0.016284498051355404
24,0.015826635896103013
25,0.015562343586482162
26,0.015163751838223275
27,0.014850951858721036
28,0.014849581819455752
29,0.014363100292265852
30,0.01415083558505861
31,0.013912538205407797
32,0.013641980590531034
33,0.013540149543407057
34,0.01351615171287491
35,0.013318622056713605
36,0.0133248544537205
37,0.01314689395243352
38,0.0129425146669368
39,0.012780021860157219
40,0.0127715973256379
41,0.012710574811693362
42,0.012506566868871815
43,0.012478887481491986
44,0.012460992391469427
45,0.012486590537035379
46,0.012134923478975565
47,0.012149286980132748
48,0.012120360590535737
49,0.011819316975972763
50,0.01200293165274092
51,0.011894073239402404
52,0.01163420102998505
53,0.011571238935449158
54,0.011681271154515463
55,0.011339387603668828
56,0.011331527411919498
57,0.011365930522475528
58,0.011319875648850918
59,0.011463679186544383
60,0.011099181037787849
61,0.011012882385903873
62,0.010919882583461502
63,0.011201971823071793
64,0.011117063476396656
65,0.01099845948276135
66,0.010885300205833755
67,0.010795007213895508
68,0.010764561101684944
69,0.010840271201103124
70,0.010617554818523688
71,0.010580622955409852
72,0.01061431695376967
73,0.010613980327338927
74,0.010546496600222326
75,0.01042418535070125
76,0.010659847572482303
77,0.010546777488477073
78,0.010376618567098178
79,0.010321406501830353
80,0.010587855262686395
81,0.010187715965990333
82,0.01034896136523386
83,0.0102975302783449
84,0.010369345334001013
85,0.010367223441892264
86,0.010485678266797643
87,0.010321501895220618
88,0.010725715129310608
89,0.010346004552683795
90,0.010421850511344255
91,0.010615823225717089
92,0.010330372319208381
93,0.010197687830347886
94,0.010078615536298467
95,0.00992717484608839
96,0.00981798676277504
97,0.009940744366287311
98,0.009861859586317556
