epoch,train_loss
1,0.19832341899775496
2,0.18625109544908158
3,0.12088093319625566
4,0.09361509000412141
5,0.06289362132248252
6,0.05738611722534353
7,0.04663420310526183
8,0.03890405527570031
9,0.03437040002094676
10,0.030846051119192683
11,0.03895326613476782
12,0.02972677493035191
13,0.02196041727908934
14,0.024503548638989226
15,0.024754126499773876
16,0.020902202455232843
17,0.026658177375793457
18,0.030393750021102454
19,0.018125032535707106
20,0.021197185070827754
21,0.021898152099715337
22,0.021068634898072543
23,0.015832941038439973
24,0.011280131084736286
25,0.022091504224021025
26,0.01614270310359772
27,0.01465252594965877
28,0.014924555791734784
29,0.016534476061210487
30,0.019591421189934316
31,0.014729580606776054
32,0.018479190164744252
33,0.011056360647533878
34,0.01591154270701938
35,0.012381023379287334
36,0.011646278545900125
37,0.014900645523360281
38,0.015701998194510288
39,0.010543464231445934
40,0.012514128697791485
41,0.015389221936765344
42,0.008112275239193079
43,0.01442868939854882
44,0.017533793067089236
45,0.019199776152769726
46,0.012660072194506425
47,0.020914565442562705
48,0.014946700497107073
49,0.01407097340702559
50,0.015226501933854036
51,0.015418668249339768
52,0.011800733648917892
53,0.01400698728934683
54,0.00914436023719985
55,0.011357770197921328
56,0.013473164440706523
57,0.013841377063231035
58,0.01818937413168676
59,0.00632459135970684
60,0.011322661030172097
61,0.005770617366928344
62,0.011931151245730092
63,0.008309420762640057
64,0.010271883146329359
65,0.012875613013301233
66,0.007857383200616547
67,0.00922014263242182
68,0.01515683660641162
69,0.011149455614463247
70,0.020820689472285183
71,0.013196066925019928
72,0.008257446570717024
73,0.012415052438625182
74,0.008418916828102536
75,0.008469558669009595
76,0.00785763772449108
77,0.013090713570515314
78,0.014275123600405877
79,0.0172447527975145
80,0.01205445494916704
81,0.008665255073345068
82,0.014297861944545399
83,0.013490632101140841
84,0.009281436263611822
85,0.007949473054120035
86,0.009032142734286762
87,0.007587727648441238
88,0.007385369804170396
89,0.007525457436162414
90,0.014063854579522151
91,0.008788260847631128
92,0.009274726394902576
93,0.009199890750225145
94,0.005083777019848125
95,0.009814099530981045
96,0.0077181830249651515
97,0.006555669687011025
98,0.0072936112380991075
99,0.010832373052835464
100,0.008884156818943794
