epoch,train_loss
1,0.07807902337574377
2,0.048814689785968965
3,0.04310301296049502
4,0.03721928114934665
5,0.032792951684536005
6,0.029015437086544384
7,0.027714116226245717
8,0.027498424098622506
9,0.027272301521606562
10,0.027276189225475964
11,0.026676728867176102
12,0.026006251028398188
13,0.025707993792687973
14,0.02533313323084901
15,0.02490485064321902
16,0.024247401780108126
17,0.023376323827883093
18,0.02188932114258045
19,0.020773755659053966
20,0.019798100585254226
21,0.018761010704244057
22,0.018104120543817194
23,0.01734589530927379
24,0.016554873118676792
25,0.015873584555598293
26,0.01569838099545095
27,0.015417485293455241
28,0.015069995211755357
29,0.014927371132482842
30,0.014475404807343715
31,0.014187669608651138
32,0.01394157911219248
33,0.013638224589025102
34,0.013420429171585455
35,0.013270879118907742
36,0.013357596017602013
37,0.012975912518435863
38,0.012648089198259318
39,0.012530541683479054
40,0.012364272777808875
41,0.012401030217183799
42,0.012401491494440451
43,0.01228172704577446
44,0.012426606311303814
45,0.01218493400913913
46,0.01221394847805907
47,0.012081363738128325
48,0.011836145005029877
49,0.012038266831418364
50,0.011742197499587768
51,0.011755477637052536
52,0.01176010499276766
53,0.011920053057554291
54,0.011688118596084235
55,0.01158984720979522
56,0.01151779016888723
57,0.011384733112120047
58,0.011469536915239765
59,0.01132162644459707
60,0.011241266753797123
61,0.010977407519864599
62,0.011052901833886054
63,0.010833267917538561
64,0.010957809846575668
65,0.011024077945366138
66,0.010857942173393762
67,0.010802587267102265
68,0.010696776665565445
69,0.010624792290533461
70,0.010730313932205119
71,0.010657622229035308
72,0.010353476376976908
73,0.010678179698382936
74,0.010513739024357097
75,0.010418442895681394
76,0.010342309365003573
77,0.010537265890800371
78,0.010462093621310665
79,0.01029966514921043
80,0.010200252324887893
81,0.010291704022121139
82,0.010136126699607546
83,0.010278679203332924
84,0.010561402750814833
85,0.01017858274281025
86,0.009945073051423562
87,0.010231869613252035
88,0.009858389975639379
89,0.010051077617922934
90,0.009969252797706826
91,0.009947441995325611
92,0.009766420190472429
93,0.009775873500762916
94,0.009569998921417609
95,0.009690049694987332
96,0.009607182679379858
97,0.009470601157262558
98,0.009453711417935244
