alpha,l1_ratio,share_threshold,exact_match,micro_precision,micro_recall,micro_f1,mean_true_labels,mean_predicted_labels,zero_prediction_rate,mean_residual_norm
0.1,0.8,0.2,0.5672413793103448,0.7808586762075134,0.7525862068965518,0.7664618086040387,2.0,1.9275862068965517,0.0,2025.3306196294116
0.1,0.95,0.2,0.5672413793103448,0.7808586762075134,0.7525862068965518,0.7664618086040387,2.0,1.9275862068965517,0.0,2025.3308373721072
0.1,1.0,0.2,0.5672413793103448,0.7808586762075134,0.7525862068965518,0.7664618086040387,2.0,1.9275862068965517,0.0,2025.3309014701815
0.1,0.5,0.2,0.5655172413793104,0.7804659498207885,0.7508620689655172,0.7653778558875219,2.0,1.9241379310344828,0.0,2025.329658465513
0.0001,0.2,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.328086336049
0.0001,0.5,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.328086331693
0.0001,0.8,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.32808632883
0.0001,0.95,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.328086327954
0.0001,1.0,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.3280863277437
0.0003,0.2,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.328086380537
0.0003,0.5,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.3280863780722
0.0003,0.8,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.3280863903235
0.0003,0.95,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.3280864008932
0.0003,1.0,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.3280864051142
0.001,0.2,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.3280862323852
0.001,0.5,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.3280871124973
0.001,0.8,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.3280873759738
0.001,0.95,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.328087562814
0.001,1.0,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.3280876336387
0.003,0.2,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.3280873784313
0.003,0.5,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.3280891040188
0.003,0.8,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.3280925947643
0.003,0.95,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.3280944442874
0.003,1.0,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.3280951371632
0.01,0.2,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.3280916218855
0.01,0.5,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.3281102675603
0.01,0.8,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.3281429619794
0.01,0.95,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.328164042096
0.01,1.0,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.3281720469151
0.03,0.2,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.3281239993269
0.03,0.5,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.3282765808651
0.03,0.8,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.3285192278558
0.03,0.95,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.32868331992
0.03,1.0,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.3287430551713
0.1,0.2,0.2,0.5655172413793104,0.7797672336615935,0.7508620689655172,0.7650417215634607,2.0,1.9258620689655173,0.0,2025.3284234954494
0.1,0.95,0.15,0.5637931034482758,0.7447698744769874,0.7672413793103449,0.7558386411889597,2.0,2.060344827586207,0.0,2025.3308373721072
0.1,1.0,0.15,0.5637931034482758,0.7447698744769874,0.7672413793103449,0.7558386411889597,2.0,2.060344827586207,0.0,2025.3309014701815
0.1,0.8,0.15,0.5637931034482758,0.7445561139028476,0.7663793103448275,0.7553101104502974,2.0,2.0586206896551724,0.0,2025.3306196294116
0.1,0.5,0.15,0.5637931034482758,0.7439330543933055,0.7663793103448275,0.7549893842887474,2.0,2.060344827586207,0.0,2025.329658465513
0.01,0.95,0.15,0.5637931034482758,0.7435037720033529,0.7646551724137931,0.753931151721207,2.0,2.056896551724138,0.0,2025.328164042096
0.01,1.0,0.15,0.5637931034482758,0.7435037720033529,0.7646551724137931,0.753931151721207,2.0,2.056896551724138,0.0,2025.3281720469151
0.03,0.5,0.15,0.5637931034482758,0.7435037720033529,0.7646551724137931,0.753931151721207,2.0,2.056896551724138,0.0,2025.3282765808651
0.03,0.8,0.15,0.5637931034482758,0.7435037720033529,0.7646551724137931,0.753931151721207,2.0,2.056896551724138,0.0,2025.3285192278558
0.03,0.95,0.15,0.5637931034482758,0.7435037720033529,0.7646551724137931,0.753931151721207,2.0,2.056896551724138,0.0,2025.32868331992
0.03,1.0,0.15,0.5637931034482758,0.7435037720033529,0.7646551724137931,0.753931151721207,2.0,2.056896551724138,0.0,2025.3287430551713
0.1,0.2,0.15,0.5637931034482758,0.7435037720033529,0.7646551724137931,0.753931151721207,2.0,2.056896551724138,0.0,2025.3284234954494
0.0001,0.2,0.15,0.5637931034482758,0.7432885906040269,0.7637931034482759,0.7534013605442177,2.0,2.0551724137931036,0.0,2025.328086336049
0.0001,0.5,0.15,0.5637931034482758,0.7432885906040269,0.7637931034482759,0.7534013605442177,2.0,2.0551724137931036,0.0,2025.328086331693
0.0001,0.8,0.15,0.5637931034482758,0.7432885906040269,0.7637931034482759,0.7534013605442177,2.0,2.0551724137931036,0.0,2025.32808632883
