held_out_substrate,feature,model,n_train,n_test,test_labels,accuracy,balanced_accuracy,macro_f1
Ag,snv_l2,nearest_centroid,250,25,benzenethiol,0.2,0.2,0.16666666666666666
Ag,snv_l2,cosine_knn_3,250,25,benzenethiol,0.28,0.28,0.14583333333333334
Ag,snv_l2,linear_svm,250,25,benzenethiol,0.32,0.32,0.16161616161616163
Ag,smooth_snv_l2,nearest_centroid,250,25,benzenethiol,0.16,0.16,0.13793103448275862
Ag,smooth_snv_l2,cosine_knn_3,250,25,benzenethiol,0.24,0.24,0.12903225806451613
Ag,smooth_snv_l2,linear_svm,250,25,benzenethiol,0.4,0.4,0.19047619047619047
Ag,derivative_1,nearest_centroid,250,25,benzenethiol,0.76,0.76,0.4318181818181818
Ag,derivative_1,cosine_knn_3,250,25,benzenethiol,0.68,0.68,0.2698412698412698
Ag,derivative_1,linear_svm,250,25,benzenethiol,0.4,0.4,0.19047619047619047
Ag,derivative_2,nearest_centroid,250,25,benzenethiol,0.76,0.76,0.4318181818181818
Ag,derivative_2,cosine_knn_3,250,25,benzenethiol,0.6,0.6,0.25
Ag,derivative_2,linear_svm,250,25,benzenethiol,0.64,0.64,0.2601626016260163
Ag,peak_emphasis,nearest_centroid,250,25,benzenethiol,0.76,0.76,0.4318181818181818
Ag,peak_emphasis,cosine_knn_3,250,25,benzenethiol,0.72,0.72,0.4186046511627907
Ag,peak_emphasis,linear_svm,250,25,benzenethiol,0.64,0.64,0.1951219512195122
AgNP,snv_l2,nearest_centroid,225,50,"4np,pyridine",0.5,0.5,0.42518205308902984
AgNP,snv_l2,cosine_knn_3,225,50,"4np,pyridine",0.18,0.18,0.18725718725718724
AgNP,snv_l2,linear_svm,225,50,"4np,pyridine",0.02,0.02,0.025641025641025644
AgNP,smooth_snv_l2,nearest_centroid,225,50,"4np,pyridine",0.48,0.48,0.41558441558441556
AgNP,smooth_snv_l2,cosine_knn_3,225,50,"4np,pyridine",0.12,0.12000000000000001,0.13675213675213674
AgNP,smooth_snv_l2,linear_svm,225,50,"4np,pyridine",0.04,0.04,0.04938271604938271
AgNP,derivative_1,nearest_centroid,225,50,"4np,pyridine",0.6,0.6,0.4444444444444444
AgNP,derivative_1,cosine_knn_3,225,50,"4np,pyridine",0.52,0.52,0.37591332829428065
AgNP,derivative_1,linear_svm,225,50,"4np,pyridine",0.42,0.42,0.2978723404255319
AgNP,derivative_2,nearest_centroid,225,50,"4np,pyridine",0.72,0.72,0.5370370370370371
AgNP,derivative_2,cosine_knn_3,225,50,"4np,pyridine",0.52,0.52,0.37591332829428065
AgNP,derivative_2,linear_svm,225,50,"4np,pyridine",0.5,0.5,0.32752781809385584
AgNP,peak_emphasis,nearest_centroid,225,50,"4np,pyridine",0.6,0.6,0.3552546744036106
AgNP,peak_emphasis,cosine_knn_3,225,50,"4np,pyridine",0.54,0.54,0.29357142857142854
AgNP,peak_emphasis,linear_svm,225,50,"4np,pyridine",0.52,0.52,0.31258234519104083
Au,snv_l2,nearest_centroid,250,25,benzenethiol,0.16,0.16,0.09195402298850575
Au,snv_l2,cosine_knn_3,250,25,benzenethiol,0.32,0.32,0.16161616161616163
Au,snv_l2,linear_svm,250,25,benzenethiol,0.72,0.72,0.4186046511627907
Au,smooth_snv_l2,nearest_centroid,250,25,benzenethiol,0.08,0.08,0.037037037037037035
Au,smooth_snv_l2,cosine_knn_3,250,25,benzenethiol,0.28,0.28,0.14583333333333334
Au,smooth_snv_l2,linear_svm,250,25,benzenethiol,0.48,0.48,0.32432432432432434
Au,derivative_1,nearest_centroid,250,25,benzenethiol,0.16,0.16,0.13793103448275862
Au,derivative_1,cosine_knn_3,250,25,benzenethiol,0.96,0.96,0.4897959183673469
Au,derivative_1,linear_svm,250,25,benzenethiol,0.96,0.96,0.4897959183673469
Au,derivative_2,nearest_centroid,250,25,benzenethiol,0.16,0.16,0.13793103448275862
Au,derivative_2,cosine_knn_3,250,25,benzenethiol,0.16,0.16,0.13793103448275862
Au,derivative_2,linear_svm,250,25,benzenethiol,0.76,0.76,0.4318181818181818
Au,peak_emphasis,nearest_centroid,250,25,benzenethiol,0.16,0.16,0.13793103448275862
Au,peak_emphasis,cosine_knn_3,250,25,benzenethiol,0.96,0.96,0.4897959183673469
Au,peak_emphasis,linear_svm,250,25,benzenethiol,0.96,0.96,0.4897959183673469
AuNP,snv_l2,nearest_centroid,250,25,pyridine,0.12,0.12,0.10714285714285714
AuNP,snv_l2,cosine_knn_3,250,25,pyridine,0.64,0.64,0.2601626016260163
AuNP,snv_l2,linear_svm,250,25,pyridine,0.92,0.92,0.4791666666666667
AuNP,smooth_snv_l2,nearest_centroid,250,25,pyridine,0.08,0.08,0.07407407407407407
AuNP,smooth_snv_l2,cosine_knn_3,250,25,pyridine,0.72,0.72,0.4186046511627907
AuNP,smooth_snv_l2,linear_svm,250,25,pyridine,0.88,0.88,0.3120567375886525
AuNP,derivative_1,nearest_centroid,250,25,pyridine,1.0,1.0,1.0
AuNP,derivative_1,cosine_knn_3,250,25,pyridine,1.0,1.0,1.0
AuNP,derivative_1,linear_svm,250,25,pyridine,1.0,1.0,1.0
AuNP,derivative_2,nearest_centroid,250,25,pyridine,1.0,1.0,1.0
AuNP,derivative_2,cosine_knn_3,250,25,pyridine,1.0,1.0,1.0
AuNP,derivative_2,linear_svm,250,25,pyridine,1.0,1.0,1.0
AuNP,peak_emphasis,nearest_centroid,250,25,pyridine,1.0,1.0,1.0
AuNP,peak_emphasis,cosine_knn_3,250,25,pyridine,1.0,1.0,1.0
AuNP,peak_emphasis,linear_svm,250,25,pyridine,1.0,1.0,1.0
PICO,snv_l2,nearest_centroid,200,75,"4np,bt,pyridine",0.3333333333333333,0.3333333333333333,0.16666666666666666
PICO,snv_l2,cosine_knn_3,200,75,"4np,bt,pyridine",0.37333333333333335,0.37333333333333335,0.30357142857142855
PICO,snv_l2,linear_svm,200,75,"4np,bt,pyridine",0.56,0.56,0.46492165242165245
PICO,smooth_snv_l2,nearest_centroid,200,75,"4np,bt,pyridine",0.3333333333333333,0.3333333333333333,0.16666666666666666
PICO,smooth_snv_l2,cosine_knn_3,200,75,"4np,bt,pyridine",0.52,0.52,0.4294871794871795
PICO,smooth_snv_l2,linear_svm,200,75,"4np,bt,pyridine",0.52,0.52,0.38440521227406477
PICO,derivative_1,nearest_centroid,200,75,"4np,bt,pyridine",0.7466666666666667,0.7466666666666667,0.5918722327640734
PICO,derivative_1,cosine_knn_3,200,75,"4np,bt,pyridine",0.7333333333333333,0.7333333333333334,0.5784313725490196
PICO,derivative_1,linear_svm,200,75,"4np,bt,pyridine",0.6933333333333334,0.6933333333333334,0.49890144381669804
PICO,derivative_2,nearest_centroid,200,75,"4np,bt,pyridine",0.7333333333333333,0.7333333333333334,0.5784313725490196
PICO,derivative_2,cosine_knn_3,200,75,"4np,bt,pyridine",0.68,0.68,0.5143288084464555
PICO,derivative_2,linear_svm,200,75,"4np,bt,pyridine",0.6666666666666666,0.6666666666666666,0.47464047960572286
PICO,peak_emphasis,nearest_centroid,200,75,"4np,bt,pyridine",0.7066666666666667,0.7066666666666667,0.5394204851752021
PICO,peak_emphasis,cosine_knn_3,200,75,"4np,bt,pyridine",0.68,0.68,0.5096153846153846
PICO,peak_emphasis,linear_svm,200,75,"4np,bt,pyridine",0.6933333333333334,0.6933333333333334,0.4976523176320336
pSERS,snv_l2,nearest_centroid,200,75,"4np,bt,pyridine",0.64,0.64,0.48489795918367345
pSERS,snv_l2,cosine_knn_3,200,75,"4np,bt,pyridine",0.6533333333333333,0.6533333333333333,0.4899959983993597
pSERS,snv_l2,linear_svm,200,75,"4np,bt,pyridine",0.6533333333333333,0.6533333333333333,0.49489795918367346
pSERS,smooth_snv_l2,nearest_centroid,200,75,"4np,bt,pyridine",0.64,0.64,0.48489795918367345
pSERS,smooth_snv_l2,cosine_knn_3,200,75,"4np,bt,pyridine",0.64,0.64,0.48489795918367345
pSERS,smooth_snv_l2,linear_svm,200,75,"4np,bt,pyridine",0.64,0.64,0.48958333333333337
pSERS,derivative_1,nearest_centroid,200,75,"4np,bt,pyridine",0.6666666666666666,0.6666666666666666,0.5
pSERS,derivative_1,cosine_knn_3,200,75,"4np,bt,pyridine",0.6666666666666666,0.6666666666666666,0.5
pSERS,derivative_1,linear_svm,200,75,"4np,bt,pyridine",0.6666666666666666,0.6666666666666666,0.5
pSERS,derivative_2,nearest_centroid,200,75,"4np,bt,pyridine",0.6666666666666666,0.6666666666666666,0.5
pSERS,derivative_2,cosine_knn_3,200,75,"4np,bt,pyridine",0.6533333333333333,0.6533333333333333,0.49489795918367346
pSERS,derivative_2,linear_svm,200,75,"4np,bt,pyridine",0.6666666666666666,0.6666666666666666,0.5
pSERS,peak_emphasis,nearest_centroid,200,75,"4np,bt,pyridine",0.6666666666666666,0.6666666666666666,0.5
pSERS,peak_emphasis,cosine_knn_3,200,75,"4np,bt,pyridine",0.6666666666666666,0.6666666666666666,0.5
pSERS,peak_emphasis,linear_svm,200,75,"4np,bt,pyridine",0.6533333333333333,0.6533333333333333,0.4899959983993597
