chemical,precision,recall,f1
1-dodecanethiol,1.0,0.9670781893004116,0.9832635983263598
6-mercapto-1-hexanol,1.0,0.6666666666666666,0.8
benzene,1.0,1.0,1.0
benzenethiol,0.6666666666666666,1.0,0.8
etoh,1.0,1.0,1.0
meoh,1.0,0.9588477366255144,0.9789915966386554
"n,n-dimethylformamide",1.0,1.0,1.0
pyridine,1.0,1.0,1.0
