chemical,precision,recall,f1
1-dodecanethiol,1.0,0.9506172839506173,0.9746835443037974
6-mercapto-1-hexanol,1.0,1.0,1.0
benzene,1.0,1.0,1.0
benzenethiol,1.0,1.0,1.0
etoh,1.0,1.0,1.0
meoh,1.0,0.9218106995884774,0.9593147751605996
"n,n-dimethylformamide",1.0,1.0,1.0
pyridine,1.0,1.0,1.0
