chemical,precision,recall,f1
1-dodecanethiol,1.0,0.9423868312757202,0.9703389830508474
6-mercapto-1-hexanol,1.0,1.0,1.0
benzene,1.0,1.0,1.0
benzenethiol,1.0,1.0,1.0
etoh,1.0,1.0,1.0
meoh,1.0,0.934156378600823,0.9659574468085106
"n,n-dimethylformamide",1.0,1.0,1.0
pyridine,1.0,1.0,1.0
