held_out_substrate,prototype_mode,n_train,n_test,test_labels,accuracy,balanced_accuracy,macro_f1,final_loss
Ag,substrate_balanced,250,25,benzenethiol,0.72,0.72,0.27906976744186046,0.00022148685960564764
AgNP,substrate_balanced,225,50,"4np,pyridine",0.46,0.46,0.3376977632296781,0.0008008059021085501
Au,substrate_balanced,250,25,benzenethiol,0.92,0.92,0.4791666666666667,0.00019311854126863182
AuNP,substrate_balanced,250,25,pyridine,1.0,1.0,1.0,0.0002939600353129208
PICO,substrate_balanced,200,75,"4np,bt,pyridine",0.6666666666666666,0.6666666666666666,0.5,0.0003893490950576961
pSERS,substrate_balanced,200,75,"4np,bt,pyridine",0.6533333333333333,0.6533333333333333,0.49489795918367346,0.0002727262442931533
