feature,loss,prototype_mode,seed,accuracy,balanced_accuracy,macro_f1,min_fold_accuracy,worst_fold,result_path
derivative_1,triplet,substrate_balanced,42,0.8288888888888889,0.8288888888888889,0.6690588473714767,0.4,AgNP,Workspace/siamese_sweep/derivative_1__triplet__substrate_balanced__seed42.csv
peak_emphasis,triplet,row_mean,42,0.7833333333333333,0.7833333333333333,0.6358925311515119,0.38,AgNP,Workspace/siamese_sweep/peak_emphasis__triplet__row_mean__seed42.csv
derivative_1,triplet,row_mean,42,0.7755555555555556,0.7755555555555556,0.5324678419916514,0.4,AgNP,Workspace/siamese_sweep/derivative_1__triplet__row_mean__seed42.csv
derivative_1,batch_hard_triplet,substrate_balanced,42,0.7677777777777778,0.7677777777777778,0.4800252469387196,0.46,AgNP,Workspace/siamese_sweep/derivative_1__batch_hard_triplet__substrate_balanced__seed42.csv
derivative_1,batch_hard_triplet,row_mean,42,0.7677777777777778,0.7677777777777778,0.4800252469387196,0.46,AgNP,Workspace/siamese_sweep/derivative_1__batch_hard_triplet__row_mean__seed42.csv
derivative_2,triplet,row_mean,42,0.7644444444444445,0.7644444444444445,0.5419589275972254,0.44,AgNP,Workspace/siamese_sweep/derivative_2__triplet__row_mean__seed42.csv
peak_emphasis,batch_hard_triplet,substrate_balanced,42,0.7622222222222222,0.7622222222222222,0.5173546068991203,0.44,AgNP,Workspace/siamese_sweep/peak_emphasis__batch_hard_triplet__substrate_balanced__seed42.csv
peak_emphasis,batch_hard_triplet,row_mean,42,0.7622222222222222,0.7622222222222222,0.5173546068991203,0.44,AgNP,Workspace/siamese_sweep/peak_emphasis__batch_hard_triplet__row_mean__seed42.csv
peak_emphasis,triplet,substrate_balanced,42,0.7600000000000001,0.7600000000000001,0.5362436109047546,0.36,AgNP,Workspace/siamese_sweep/peak_emphasis__triplet__substrate_balanced__seed42.csv
derivative_2,contrastive,row_mean,42,0.7433333333333333,0.7433333333333333,0.5169205020782068,0.46,AgNP,Workspace/siamese_sweep/derivative_2__contrastive__row_mean__seed42.csv
derivative_1,contrastive,substrate_balanced,42,0.7388888888888889,0.7388888888888889,0.536210289902692,0.42,AgNP,Workspace/siamese_sweep/derivative_1__contrastive__substrate_balanced__seed42.csv
derivative_1,contrastive,row_mean,42,0.7388888888888889,0.7388888888888889,0.5354543634392184,0.42,AgNP,Workspace/siamese_sweep/derivative_1__contrastive__row_mean__seed42.csv
peak_emphasis,contrastive,substrate_balanced,42,0.7388888888888889,0.7388888888888889,0.5353623249786981,0.38,AgNP,Workspace/siamese_sweep/peak_emphasis__contrastive__substrate_balanced__seed42.csv
peak_emphasis,contrastive,row_mean,42,0.7388888888888889,0.7388888888888889,0.5326038564804083,0.38,AgNP,Workspace/siamese_sweep/peak_emphasis__contrastive__row_mean__seed42.csv
derivative_2,contrastive,substrate_balanced,42,0.7366666666666667,0.7366666666666667,0.5151386927536464,0.46,AgNP,Workspace/siamese_sweep/derivative_2__contrastive__substrate_balanced__seed42.csv
derivative_2,batch_hard_triplet,substrate_balanced,42,0.71,0.71,0.44105544530427765,0.46,AgNP,Workspace/siamese_sweep/derivative_2__batch_hard_triplet__substrate_balanced__seed42.csv
derivative_2,batch_hard_triplet,row_mean,42,0.71,0.71,0.44105544530427765,0.46,AgNP,Workspace/siamese_sweep/derivative_2__batch_hard_triplet__row_mean__seed42.csv
derivative_2,triplet,substrate_balanced,42,0.6466666666666666,0.6466666666666666,0.504236503617609,0.4,Au,Workspace/siamese_sweep/derivative_2__triplet__substrate_balanced__seed42.csv
