tsne1,tsne2,label,substrate
-22.768814,7.2764344,pyridine,AuNP
-24.499521,4.2851443,pyridine,AuNP
-22.348488,-0.924878,pyridine,AuNP
-24.90768,3.138299,pyridine,AuNP
-23.174734,5.9091043,pyridine,AuNP
-20.116959,5.973985,pyridine,AuNP
-24.601696,4.5145555,pyridine,AuNP
-24.951332,1.121146,pyridine,AuNP
-24.994467,2.8358862,pyridine,AuNP
-24.305773,-0.521907,pyridine,AuNP
-23.585356,-0.77244776,pyridine,AuNP
-23.58521,3.95574,pyridine,AuNP
-22.466778,-1.3275045,pyridine,AuNP
-23.248224,-1.0654516,pyridine,AuNP
-25.95811,1.9691808,pyridine,AuNP
-19.919344,4.065258,pyridine,AuNP
4.131634,-13.667751,benzenethiol,Ag
5.4620667,-11.556992,benzenethiol,Ag
6.944954,-8.903272,benzenethiol,Ag
-2.4256065,-30.100458,benzenethiol,Ag
1.0233777,-18.992336,benzenethiol,Ag
-0.567464,-22.634916,benzenethiol,Ag
-1.45501,-29.109678,benzenethiol,Ag
3.8185647,-17.93332,benzenethiol,Ag
-1.1652986,-23.591276,benzenethiol,Ag
4.4888225,-15.287604,benzenethiol,Ag
6.055243,-12.666756,benzenethiol,Ag
-3.6882274,-31.681711,benzenethiol,Ag
2.0445945,-20.830853,benzenethiol,Ag
-3.5224183,-31.233425,benzenethiol,Ag
-1.2873375,-29.032536,benzenethiol,Ag
4.1953874,-17.680468,benzenethiol,Ag
-1.571174,-25.03418,benzenethiol,Ag
-3.4933136,-29.848665,benzenethiol,Ag
-3.1838923,-30.411327,benzenethiol,Ag
0.61219686,-19.98035,benzenethiol,Ag
-1.3808997,-24.835608,benzenethiol,Ag
2.207736,-17.331076,benzenethiol,Ag
5.722691,-11.101532,benzenethiol,Ag
-1.5289245,-24.061605,benzenethiol,Ag
-3.6261778,-31.505644,benzenethiol,Ag
1.1827706,-19.35524,benzenethiol,Au
3.3170981,-17.52037,benzenethiol,Au
-0.8016183,-23.031096,benzenethiol,Au
-1.1757445,-28.79811,benzenethiol,Au
6.7716365,-8.218832,benzenethiol,Au
2.4008136,-18.096798,benzenethiol,Au
6.3254285,-11.118831,benzenethiol,Au
1.3584092,-20.966173,benzenethiol,Au
4.5379214,-13.986235,benzenethiol,Au
4.8279934,-13.045104,benzenethiol,Au
2.1154213,-20.264248,benzenethiol,Au
2.5718496,-19.236044,benzenethiol,Au
2.2938213,-18.141466,benzenethiol,Au
2.443832,-16.907394,benzenethiol,Au
2.7372372,-17.68349,benzenethiol,Au
4.534331,-13.837396,benzenethiol,Au
5.240737,-12.370648,benzenethiol,Au
5.877907,-12.612996,benzenethiol,Au
2.41689,-20.91467,benzenethiol,Au
0.61429477,-19.968819,benzenethiol,Au
0.037974294,-21.503387,benzenethiol,Au
5.2374487,-13.283441,benzenethiol,Au
-0.24535312,-24.71972,benzenethiol,Au
2.788298,-17.503983,benzenethiol,Au
1.9201372,-17.032955,benzenethiol,Au
