tsne1,tsne2,label,substrate
32.276382,9.488029,4np,pSERS
33.529892,10.402813,4np,pSERS
34.246727,7.5649996,4np,pSERS
40.209263,1.3505262,4np,pSERS
35.08857,7.9303255,4np,pSERS
32.278885,9.955563,4np,pSERS
33.353874,9.387589,4np,pSERS
33.51677,10.822695,4np,pSERS
35.70062,4.5373154,4np,pSERS
34.39933,8.80607,4np,pSERS
34.34407,8.889875,4np,pSERS
34.530426,10.663954,4np,pSERS
35.837013,6.3913155,4np,pSERS
40.805897,2.138624,4np,pSERS
34.612186,11.023186,4np,pSERS
35.97659,6.2672057,4np,pSERS
33.97543,9.970004,4np,pSERS
32.83314,9.074159,4np,pSERS
34.646446,9.77756,4np,pSERS
34.766186,10.486221,4np,pSERS
38.22979,3.2218156,4np,pSERS
33.702747,10.392398,4np,pSERS
33.892693,11.056251,4np,pSERS
33.441147,9.091287,4np,pSERS
32.780514,10.1824875,4np,pSERS
-3.842007,-23.282764,benzenethiol,pSERS
-2.84427,-23.138277,benzenethiol,pSERS
3.1548014,-22.29475,benzenethiol,pSERS
-0.93613446,-22.76831,benzenethiol,pSERS
-4.911236,-24.480913,benzenethiol,pSERS
-0.6179521,-23.184975,benzenethiol,pSERS
3.0411448,-23.030447,benzenethiol,pSERS
0.050594315,-23.200745,benzenethiol,pSERS
-1.1310276,-23.445442,benzenethiol,pSERS
1.5185907,-23.367064,benzenethiol,pSERS
0.64164,-23.994352,benzenethiol,pSERS
-1.0627298,-24.164816,benzenethiol,pSERS
2.391199,-22.082891,benzenethiol,pSERS
-2.2292678,-23.756157,benzenethiol,pSERS
0.18036641,-23.732758,benzenethiol,pSERS
-2.4111106,-24.299616,benzenethiol,pSERS
-2.0582778,-22.978546,benzenethiol,pSERS
-0.9315339,-23.247305,benzenethiol,pSERS
-3.092992,-22.38169,benzenethiol,pSERS
-1.9299781,-22.637518,benzenethiol,pSERS
5.184217,-21.47858,benzenethiol,pSERS
-3.4422393,-23.588827,benzenethiol,pSERS
1.9878032,-22.866835,benzenethiol,pSERS
0.6829059,-23.02602,benzenethiol,pSERS
2.207318,-22.654009,benzenethiol,pSERS
-21.899729,17.977201,pyridine,pSERS
-22.284199,15.235699,pyridine,pSERS
-21.860418,17.501623,pyridine,pSERS
-22.56182,15.681283,pyridine,pSERS
