row_index,true_label,pred_label,distance_to_4np,distance_to_benzenethiol,distance_to_pyridine
150,4np,benzenethiol,0.71063334,0.15579875,0.7366028
151,4np,benzenethiol,0.6844423,0.18198678,0.7408945
152,4np,benzenethiol,0.7171406,0.20713988,0.63713086
153,4np,benzenethiol,0.6990543,0.16510478,0.74525374
154,4np,benzenethiol,0.7516914,0.13413434,0.8352528
155,4np,benzenethiol,0.6735108,0.207947,0.69755715
156,4np,benzenethiol,0.66666627,0.23013565,0.671317
157,4np,benzenethiol,0.61076117,0.29700258,0.6550984
158,4np,benzenethiol,0.5171722,0.48928085,0.56812024
159,4np,benzenethiol,0.6263428,0.26305023,0.6856756
160,4np,benzenethiol,0.65484875,0.23360728,0.6876166
161,4np,benzenethiol,0.68714595,0.20194526,0.68308586
162,4np,benzenethiol,0.63238,0.3096179,0.608197
163,4np,benzenethiol,0.55446774,0.35124254,0.6662401
164,4np,benzenethiol,0.57311,0.3260206,0.6742589
165,4np,benzenethiol,0.60262585,0.3140007,0.6426543
166,4np,benzenethiol,0.5821877,0.3006903,0.7057132
167,4np,benzenethiol,0.6355212,0.27395964,0.650703
168,4np,benzenethiol,0.68191177,0.22436388,0.655893
169,4np,benzenethiol,0.56987995,0.31037247,0.7149675
170,4np,benzenethiol,0.5857778,0.33678606,0.6367885
171,4np,benzenethiol,0.5357517,0.3389816,0.7435447
172,4np,benzenethiol,0.55037934,0.34811008,0.67928445
173,4np,benzenethiol,0.7299449,0.26230013,0.56608784
174,4np,benzenethiol,0.64401484,0.23311359,0.713157
175,pyridine,pyridine,0.8952804,0.568774,0.21834609
176,pyridine,benzenethiol,0.8883267,0.35079712,0.4425416
177,pyridine,pyridine,0.93561345,0.60177195,0.1851594
178,pyridine,pyridine,0.9154586,0.6329677,0.15145682
179,pyridine,pyridine,0.81819385,0.46474847,0.33556756
180,pyridine,pyridine,0.9301269,0.6375242,0.1466782
181,pyridine,pyridine,0.9221348,0.5686738,0.21888846
182,pyridine,pyridine,0.93331987,0.61826736,0.16920045
183,pyridine,pyridine,0.92986804,0.50672466,0.28829873
184,pyridine,pyridine,0.8493997,0.45104522,0.34047118
185,pyridine,pyridine,0.9070327,0.5447954,0.24268827
186,pyridine,pyridine,0.9506437,0.5922446,0.1997884
187,pyridine,pyridine,0.9643336,0.7077227,0.07288981
188,pyridine,pyridine,0.9498075,0.6696525,0.11271763
189,pyridine,pyridine,0.9025762,0.53751117,0.25006986
190,pyridine,pyridine,0.8214067,0.48309636,0.31817776
191,pyridine,pyridine,0.8733779,0.50912017,0.2799811
192,pyridine,pyridine,0.8466248,0.43773562,0.35447133
193,pyridine,benzenethiol,0.88459206,0.3713224,0.420964
194,pyridine,pyridine,1.0018967,0.6812568,0.12568058
195,pyridine,pyridine,0.8447052,0.4744394,0.3185598
196,pyridine,pyridine,0.9012325,0.5286916,0.26012218
197,pyridine,pyridine,0.94339055,0.6342898,0.15102986
198,pyridine,pyridine,0.8719973,0.5843841,0.2081325
199,pyridine,benzenethiol,0.8610921,0.3221734,0.4671332
