wavenumber,mean,std
330.9061584,654.126678552,237.7008937527592
333.1221896,654.335002888,237.4794808545799
335.3382209,649.7925714039999,235.39687391493848
337.5542522,649.285071924,234.7942370137633
339.7702835,650.084823808,235.99560226323337
341.9863148,652.20814528,236.0113507530619
344.202346,656.014330608,234.88339451656054
346.4183773,659.993674588,235.85045668987956
348.6344086,661.308619052,238.2585216342905
350.8504399,663.227728264,236.90549551816105
353.0664712,662.788874568,234.49558474445442
355.2825024,662.043448028,235.62716917361317
357.4985337,660.72817786,237.6145473376778
359.714565,661.4679913479999,239.59513317487588
361.9305963,664.2228816600001,240.8720188143576
364.1466276,665.1350836639999,239.3309479025614
366.3626588,666.530250528,234.3080752582344
368.5786901,664.257103424,237.92912980195945
370.7947214,665.4588092199999,238.37093136335673
373.0107527,668.1835795000001,237.15191069103903
375.226784,675.740488568,236.7089984520004
377.4428152,687.4355872160002,239.3778632506614
379.6588465,697.6533449760001,243.4065140294151
381.8748778,699.4388915959998,242.69112571424654
384.0909091,690.042952532,236.4866146043863
386.3069404,678.1994944959999,233.9654354661307
388.5229717,669.773064832,236.28892864757754
390.7390029,662.067154248,235.86329055493846
392.9550342,656.8913316759999,235.81213628548488
395.1710655,654.4840247640001,237.31695694026416
397.3870968,654.1417808719999,238.95132113639892
399.6031281,655.760085332,239.97553583271596
401.8191593,657.4995494320001,240.4534060720076
404.0351906,659.4094579639999,242.1902965697846
406.2512219,661.49663346,239.97897134435186
408.4672532,662.605451156,238.95308144340905
410.6832845,665.6896489119999,239.84338175661364
412.8993157,668.7059642400001,241.5964000647147
415.115347,669.5947654639999,241.27248713023693
417.3313783,669.78612904,236.61997730277537
419.5474096,668.056692188,234.87854744911496
421.7634409,669.7611368199999,236.90541294275297
423.9794721,669.6191245279999,234.79369669297137
426.1955034,671.0251648519999,237.35094673960603
428.4115347,673.7465943920001,239.25868752754172
430.627566,676.2054621880001,238.45234841501997
432.8435973,678.7286403640001,236.27879825243176
435.0596285,683.4132285640001,234.70632082767875
437.2756598,689.7319425680001,234.95591771642455
439.4916911,687.4765778119998,235.18238591037803
441.7077224,682.8417876960001,235.28075226183708
443.9237537,680.0613981879999,232.24707903891473
446.1397849,679.4433010759999,233.14881935043317
448.3558162,681.0443154680001,234.91403057340355
450.5718475,683.5432226600001,236.292773681611
452.7878788,685.0686631519999,237.19598397593901
455.0039101,685.7989812559999,235.2913706725369
457.2199413,690.5085928479999,238.6509852544922
459.4359726,691.2546066720001,237.94557067700353
461.6520039,686.887347264,240.4622583069081
