row_index,true_label,pred_label,distance_to_4np,distance_to_benzenethiol,distance_to_pyridine
0,4np,4np,0.18482944,1.1075023,1.2812448
1,4np,4np,0.17395523,1.0817343,1.2763795
2,4np,4np,0.21007656,1.1466166,1.2060483
3,4np,4np,0.1779292,1.119412,1.247886
4,4np,4np,0.1945533,1.1390251,1.2516598
5,4np,4np,0.17812027,1.0783911,1.2830193
6,4np,4np,0.19971174,1.1440891,1.252255
7,4np,4np,0.1749616,1.0922351,1.2755302
8,4np,4np,0.16971715,1.0794061,1.2673515
9,4np,4np,0.20702603,1.1526581,1.2411473
10,4np,4np,0.18297108,1.1167638,1.2695174
11,4np,4np,0.18872495,1.074372,1.2959876
12,4np,4np,0.20312062,1.1467888,1.2222841
13,4np,4np,0.24210869,0.9132493,1.1448951
14,4np,4np,0.1787121,1.0906895,1.2818094
15,4np,4np,0.22431105,1.1540791,1.1939901
16,4np,4np,0.19127871,1.1364027,1.2334907
17,4np,4np,0.176463,1.091434,1.2782558
18,4np,4np,0.1872004,1.0903834,1.2923416
19,4np,4np,0.17208762,1.0903708,1.2710081
20,4np,4np,0.20266,1.1468141,1.2240222
21,4np,4np,0.17298317,1.1002755,1.2668902
22,4np,4np,0.1728655,1.0860109,1.2738237
23,4np,4np,0.1816351,1.1156402,1.2683775
24,4np,4np,0.18140061,1.0931811,1.2845405
25,benzenethiol,benzenethiol,1.0835642,0.08930801,1.0179294
26,benzenethiol,benzenethiol,1.0858678,0.09551646,1.0154996
27,benzenethiol,benzenethiol,1.0822959,0.08588141,1.0192766
28,benzenethiol,benzenethiol,1.0854076,0.09427776,1.0159832
29,benzenethiol,benzenethiol,1.0766435,0.0705404,1.0253648
30,benzenethiol,benzenethiol,1.0856034,0.09480472,1.0157775
31,benzenethiol,benzenethiol,1.0823704,0.086082816,1.0191973
32,benzenethiol,benzenethiol,1.0829217,0.087572984,1.0186111
33,benzenethiol,benzenethiol,1.0852813,0.09393747,1.0161163
34,benzenethiol,benzenethiol,1.0848317,0.09272646,1.0165898
35,benzenethiol,benzenethiol,1.0844507,0.09169989,1.0169915
36,benzenethiol,benzenethiol,1.0858018,0.0953389,1.015569
37,benzenethiol,benzenethiol,1.0808129,0.08186709,1.0208608
38,benzenethiol,benzenethiol,1.087685,0.10039953,1.0135986
39,benzenethiol,benzenethiol,1.0867026,0.09776101,1.0146247
40,benzenethiol,benzenethiol,1.0876032,0.10017986,1.013684
41,benzenethiol,benzenethiol,1.0846207,0.09215789,1.0168122
42,benzenethiol,benzenethiol,1.0820583,0.08523884,1.0195297
43,benzenethiol,benzenethiol,1.0844542,0.091708824,1.0169882
44,benzenethiol,benzenethiol,1.0830842,0.08801189,1.0184385
45,benzenethiol,benzenethiol,1.0701466,0.05279916,1.0325354
46,benzenethiol,benzenethiol,1.085708,0.095086336,1.0156674
47,benzenethiol,benzenethiol,1.083711,0.08970434,1.0177739
48,benzenethiol,benzenethiol,1.0819613,0.08497619,1.0196333
49,benzenethiol,benzenethiol,1.0826411,0.086814724,1.0189092
50,pyridine,pyridine,1.2539755,0.96331435,0.20538495
51,pyridine,pyridine,1.256867,0.952135,0.22557321
52,pyridine,pyridine,1.2557248,0.9677324,0.20811103
53,pyridine,pyridine,1.2485718,0.9705497,0.18106174
54,pyridine,pyridine,1.2554637,0.96332514,0.21050526
55,pyridine,pyridine,1.2509005,0.9663837,0.19250366
56,pyridine,pyridine,1.2549912,0.9674481,0.20555757
57,pyridine,pyridine,1.2594985,0.9495405,0.23647091
58,pyridine,pyridine,1.2568316,0.9655681,0.21383949
59,pyridine,pyridine,1.2520605,0.9562825,0.20729563
60,pyridine,pyridine,1.250515,0.9764082,0.18216735
61,pyridine,pyridine,1.2540207,0.9639377,0.20497212
62,pyridine,pyridine,1.2574465,0.94328636,0.2372648
63,pyridine,pyridine,1.261308,0.94771594,0.24414983
64,pyridine,pyridine,1.2526227,0.9537811,0.21186224
65,pyridine,pyridine,1.2637316,0.9506769,0.2503762
66,pyridine,pyridine,1.2592055,0.95236707,0.23288758
67,pyridine,pyridine,1.2586269,0.94832736,0.23491181
68,pyridine,pyridine,1.2551397,0.96270216,0.20989569
69,pyridine,pyridine,1.2408154,0.98399204,0.14432155
70,pyridine,pyridine,1.2551987,0.96479934,0.2083589
71,pyridine,pyridine,1.25984,0.93383044,0.2553273
72,pyridine,pyridine,1.2676154,0.9026934,0.31760943
73,pyridine,pyridine,1.2555361,0.9600248,0.21361955
74,pyridine,pyridine,1.2597929,0.95255655,0.23472595
