pc1,pc2,label,substrate
0.7027122,0.38701367,4np,pSERS
0.70215446,0.35858816,4np,pSERS
0.6168909,0.4840963,4np,pSERS
0.66740257,0.42530078,4np,pSERS
0.66650456,0.44671422,4np,pSERS
0.7090005,0.349474,4np,pSERS
0.6657092,0.45242426,4np,pSERS
0.6998771,0.37236115,4np,pSERS
0.69350886,0.36210904,4np,pSERS
0.652065,0.47018912,4np,pSERS
0.68950266,0.4070561,4np,pSERS
0.7217873,0.3344615,4np,pSERS
0.6342391,0.4749512,4np,pSERS
0.5679122,0.2360472,4np,pSERS
0.70618093,0.3657804,4np,pSERS
0.60164267,0.49970108,4np,pSERS
0.6486801,0.4554182,4np,pSERS
0.70264316,0.36935657,4np,pSERS
0.7162169,0.35732841,4np,pSERS
0.69572884,0.37330934,4np,pSERS
0.6360622,0.47393498,4np,pSERS
0.6901117,0.38859755,4np,pSERS
0.6991018,0.36581817,4np,pSERS
0.6886324,0.40650254,4np,pSERS
0.7084053,0.36681816,4np,pSERS
0.034710333,-0.5305903,benzenethiol,pSERS
0.030443966,-0.5302314,benzenethiol,pSERS
0.037067447,-0.530777,benzenethiol,pSERS
0.031294413,-0.53030545,benzenethiol,pSERS
0.047642525,-0.5315164,benzenethiol,pSERS
0.030932361,-0.53027433,benzenethiol,pSERS
0.036928743,-0.5307662,benzenethiol,pSERS
0.035904136,-0.5306854,benzenethiol,pSERS
0.03152844,-0.5303254,benzenethiol,pSERS
0.032360453,-0.5303961,benzenethiol,pSERS
0.03306601,-0.53045523,benzenethiol,pSERS
0.030565456,-0.53024256,benzenethiol,pSERS
0.039830744,-0.5309856,benzenethiol,pSERS
0.027090449,-0.5299319,benzenethiol,pSERS
0.028901987,-0.5300961,benzenethiol,pSERS
0.027241247,-0.5299458,benzenethiol,pSERS
0.032751203,-0.53042895,benzenethiol,pSERS
0.037509624,-0.5308111,benzenethiol,pSERS
0.033059802,-0.53045475,benzenethiol,pSERS
0.03560167,-0.5306617,benzenethiol,pSERS
0.05994377,-0.53217477,benzenethiol,pSERS
0.030738996,-0.53025764,benzenethiol,pSERS
0.03443789,-0.53056806,benzenethiol,pSERS
0.03769044,-0.53082484,benzenethiol,pSERS
0.036425207,-0.53072685,benzenethiol,pSERS
-0.584934,0.14196037,pyridine,pSERS
-0.58370996,0.12476451,pyridine,pSERS
-0.58655596,0.14539158,pyridine,pSERS
-0.58357424,0.1568282,pyridine,pSERS
-0.58561426,0.1402799,pyridine,pSERS
-0.5840064,0.1491555,pyridine,pSERS
-0.5862078,0.14590193,pyridine,pSERS
-0.584238,0.11850287,pyridine,pSERS
-0.5865907,0.14143014,pyridine,pSERS
-0.5821728,0.1351952,pyridine,pSERS
-0.5857878,0.16201703,pyridine,pSERS
-0.58508795,0.14268327,pyridine,pSERS
-0.5815421,0.11294076,pyridine,pSERS
-0.5845037,0.114092484,pyridine,pSERS
-0.58182037,0.13142921,pyridine,pSERS
-0.58594376,0.11475621,pyridine,pSERS
-0.58479327,0.12235956,pyridine,pSERS
-0.58355343,0.11799556,pyridine,pSERS
-0.5853443,0.13988245,pyridine,pSERS
-0.5811614,0.18138821,pyridine,pSERS
-0.58579403,0.14240406,pyridine,pSERS
-0.5797985,0.09823111,pyridine,pSERS
-0.57123166,0.048876487,pyridine,pSERS
-0.5849514,0.13611178,pyridine,pSERS
-0.5850654,0.1218981,pyridine,pSERS
0.6430888,0.45185134,4np,PICO
0.6438438,0.4610371,4np,PICO
0.6526911,0.44563496,4np,PICO
0.62758476,0.48279274,4np,PICO
0.622123,0.49652454,4np,PICO
0.64247286,0.45888293,4np,PICO
0.63079494,0.46653453,4np,PICO
0.6295295,0.4857931,4np,PICO
0.6351889,0.49022537,4np,PICO
0.6473371,0.46566617,4np,PICO
0.6222514,0.50627583,4np,PICO
0.62694114,0.49856025,4np,PICO
0.6220572,0.50815296,4np,PICO
0.63767266,0.49058735,4np,PICO
0.63060564,0.46250927,4np,PICO
0.6385654,0.47461164,4np,PICO
0.62258804,0.49315533,4np,PICO
0.63961166,0.45948398,4np,PICO
0.63741577,0.4564149,4np,PICO
0.6306105,0.4755367,4np,PICO
0.64845896,0.44023746,4np,PICO
0.6556566,0.43846425,4np,PICO
0.6419371,0.45973852,4np,PICO
0.63245785,0.47355172,4np,PICO
0.6553798,0.45298907,4np,PICO
0.099044986,-0.53282857,benzenethiol,PICO
0.06781249,-0.5324822,benzenethiol,PICO
0.1263728,-0.53198445,benzenethiol,PICO
0.0773443,-0.5327359,benzenethiol,PICO
0.13593248,-0.53143495,benzenethiol,PICO
0.10298176,-0.53277314,benzenethiol,PICO
0.08368781,-0.53283274,benzenethiol,PICO
0.116989,-0.5323954,benzenethiol,PICO
0.17997096,-0.5271848,benzenethiol,PICO
-0.041749705,-0.4955665,benzenethiol,PICO
0.15293203,-0.53013057,benzenethiol,PICO
0.24568309,-0.51545256,benzenethiol,PICO
0.0695922,-0.526665,benzenethiol,PICO
0.07381757,-0.5326571,benzenethiol,PICO
0.17681235,-0.52758473,benzenethiol,PICO
0.22513413,-0.51987183,benzenethiol,PICO
0.070378214,-0.5325571,benzenethiol,PICO
0.007823814,-0.52451175,benzenethiol,PICO
0.2538151,-0.5116426,benzenethiol,PICO
0.21660306,-0.52145815,benzenethiol,PICO
0.15395668,-0.5284908,benzenethiol,PICO
0.2431098,-0.5159736,benzenethiol,PICO
0.036219995,-0.5307107,benzenethiol,PICO
0.13619375,-0.53141826,benzenethiol,PICO
0.122220606,-0.53218204,benzenethiol,PICO
-0.5760982,0.2922489,pyridine,PICO
-0.5751111,0.29375347,pyridine,PICO
-0.5776165,0.28374663,pyridine,PICO
-0.5762357,0.28725797,pyridine,PICO
-0.5719106,0.3150909,pyridine,PICO
-0.5760218,0.29409033,pyridine,PICO
-0.57691914,0.26913974,pyridine,PICO
-0.5771881,0.2792672,pyridine,PICO
-0.56845266,0.32690006,pyridine,PICO
-0.5774271,0.28259185,pyridine,PICO
-0.57361513,0.30285737,pyridine,PICO
-0.57410824,0.30113178,pyridine,PICO
-0.5743288,0.2981931,pyridine,PICO
-0.57442594,0.30082062,pyridine,PICO
-0.57709426,0.28778583,pyridine,PICO
-0.57159877,0.3136728,pyridine,PICO
-0.57616985,0.29032308,pyridine,PICO
-0.5715481,0.30638793,pyridine,PICO
-0.5735138,0.2987064,pyridine,PICO
-0.57542,0.29909056,pyridine,PICO
-0.57254404,0.30642712,pyridine,PICO
-0.5713632,0.31453001,pyridine,PICO
-0.5751058,0.29634246,pyridine,PICO
-0.57427233,0.29136965,pyridine,PICO
-0.5767958,0.29045528,pyridine,PICO
0.7610361,-0.028157085,4np,AgNP
0.57933545,0.24276017,4np,AgNP
0.66001314,0.117125444,4np,AgNP
0.62063795,0.10971363,4np,AgNP
0.6403692,0.017977087,4np,AgNP
0.68517005,0.09507163,4np,AgNP
0.5905764,0.31661698,4np,AgNP
0.75724477,0.2357318,4np,AgNP
0.6679836,0.07123028,4np,AgNP
0.650445,0.28143153,4np,AgNP
0.70471364,0.34594306,4np,AgNP
0.70281357,0.25063035,4np,AgNP
0.56175005,0.40270793,4np,AgNP
0.67381245,0.41379833,4np,AgNP
0.6655553,0.20348248,4np,AgNP
0.6230591,0.36151373,4np,AgNP
0.6415588,0.4608596,4np,AgNP
0.74879587,0.2642806,4np,AgNP
0.47744277,0.21858312,4np,AgNP
0.70360875,0.24686326,4np,AgNP
0.5737953,0.27488002,4np,AgNP
0.6764185,0.3769266,4np,AgNP
0.5782695,0.5343258,4np,AgNP
0.7234716,0.2722437,4np,AgNP
0.6036248,0.2908533,4np,AgNP
-0.57367647,0.269491,pyridine,AgNP
-0.5166765,0.21478857,pyridine,AgNP
-0.5744753,0.2185529,pyridine,AgNP
-0.56084836,0.31342676,pyridine,AgNP
-0.5525377,0.290382,pyridine,AgNP
-0.5705767,0.26575083,pyridine,AgNP
-0.55854714,0.2828263,pyridine,AgNP
-0.56984687,0.31059352,pyridine,AgNP
-0.56244993,0.2581221,pyridine,AgNP
-0.55612487,0.28238183,pyridine,AgNP
-0.57268643,0.21981144,pyridine,AgNP
-0.5745551,0.21009353,pyridine,AgNP
-0.57451355,0.2670402,pyridine,AgNP
-0.57202864,0.28347173,pyridine,AgNP
-0.5620838,0.30990323,pyridine,AgNP
-0.571271,0.22402601,pyridine,AgNP
-0.5655065,0.26946676,pyridine,AgNP
-0.5453724,0.2975167,pyridine,AgNP
-0.5523555,0.1949426,pyridine,AgNP
-0.5826953,0.22196087,pyridine,AgNP
-0.5248847,0.34221354,pyridine,AgNP
-0.5682927,0.26170024,pyridine,AgNP
-0.5797671,0.21462229,pyridine,AgNP
-0.5741255,0.17135522,pyridine,AgNP
-0.493246,0.149005,pyridine,AgNP
-0.5675641,0.3229348,pyridine,AuNP
-0.57555866,0.2586379,pyridine,AuNP
-0.55675316,0.34112164,pyridine,AuNP
-0.56621414,0.3020723,pyridine,AuNP
-0.5696656,0.29639733,pyridine,AuNP
-0.5726629,0.27327293,pyridine,AuNP
-0.5093045,0.45384574,pyridine,AuNP
-0.5722588,0.2502203,pyridine,AuNP
-0.56311756,0.3371614,pyridine,AuNP
-0.56071424,0.26825717,pyridine,AuNP
-0.56224465,0.31524995,pyridine,AuNP
-0.5740551,0.29944736,pyridine,AuNP
-0.56343186,0.32605007,pyridine,AuNP
-0.5640434,0.28830287,pyridine,AuNP
