umap1,umap2,label,substrate
16.977125,6.7692204,4np,pSERS
17.385586,6.7369714,4np,pSERS
16.777029,7.408289,4np,pSERS
15.9353695,9.321206,4np,pSERS
16.717527,7.5268416,4np,pSERS
16.949715,6.7042317,4np,pSERS
16.978094,6.9345818,4np,pSERS
17.410692,6.7223706,4np,pSERS
15.691214,8.4835,4np,pSERS
16.993967,7.1427765,4np,pSERS
17.141773,7.116982,4np,pSERS
17.526525,6.7977147,4np,pSERS
16.29498,8.299742,4np,pSERS
16.022017,9.263898,4np,pSERS
17.539684,6.75627,4np,pSERS
16.273275,8.458611,4np,pSERS
17.352024,6.7987943,4np,pSERS
16.98016,6.8303094,4np,pSERS
17.496248,6.9675145,4np,pSERS
17.616781,6.892822,4np,pSERS
15.926823,8.963462,4np,pSERS
17.227646,6.6527452,4np,pSERS
17.33025,6.5959315,4np,pSERS
17.023544,6.8621016,4np,pSERS
17.114809,6.618193,4np,pSERS
4.487043,9.924382,benzenethiol,pSERS
4.273546,9.995023,benzenethiol,pSERS
3.4076993,7.5685716,benzenethiol,pSERS
3.8803635,9.325116,benzenethiol,pSERS
4.6307497,9.840335,benzenethiol,pSERS
3.89405,9.150373,benzenethiol,pSERS
3.5846868,7.895341,benzenethiol,pSERS
3.732873,8.818892,benzenethiol,pSERS
3.928147,9.238003,benzenethiol,pSERS
3.5045068,8.16996,benzenethiol,pSERS
3.7280018,8.694839,benzenethiol,pSERS
4.075137,9.051722,benzenethiol,pSERS
3.322382,7.7156243,benzenethiol,pSERS
4.2251534,9.618035,benzenethiol,pSERS
3.7422395,8.684609,benzenethiol,pSERS
4.4251676,9.753476,benzenethiol,pSERS
4.12334,9.633745,benzenethiol,pSERS
3.9415483,9.221956,benzenethiol,pSERS
4.4258814,10.049625,benzenethiol,pSERS
4.096166,9.695475,benzenethiol,pSERS
3.6136644,6.8471003,benzenethiol,pSERS
4.490715,9.821779,benzenethiol,pSERS
3.4543078,7.9359264,benzenethiol,pSERS
3.5864341,8.510384,benzenethiol,pSERS
3.375342,7.7564692,benzenethiol,pSERS
-6.7796903,13.154921,pyridine,pSERS
-6.8116817,11.814633,pyridine,pSERS
-6.741774,13.205433,pyridine,pSERS
-6.8449783,11.942811,pyridine,pSERS
-7.189804,13.494683,pyridine,pSERS
-6.7883773,11.876896,pyridine,pSERS
-7.248547,13.534548,pyridine,pSERS
-6.7175694,11.732081,pyridine,pSERS
-7.2017164,13.49965,pyridine,pSERS
-7.3240714,11.274309,pyridine,pSERS
-6.8642697,13.188659,pyridine,pSERS
-6.8585067,13.242547,pyridine,pSERS
-6.856729,11.601235,pyridine,pSERS
-6.790134,11.568777,pyridine,pSERS
-7.732658,11.293307,pyridine,pSERS
-6.8683624,11.986495,pyridine,pSERS
-6.8699985,13.26405,pyridine,pSERS
-7.076067,11.380864,pyridine,pSERS
-6.781668,12.766432,pyridine,pSERS
-7.7840734,10.683145,pyridine,pSERS
-6.838795,13.061777,pyridine,pSERS
-7.732149,11.030305,pyridine,pSERS
-7.8776145,10.415258,pyridine,pSERS
-6.920484,13.126835,pyridine,pSERS
-6.942975,13.19949,pyridine,pSERS
15.078531,8.717759,4np,PICO
14.988057,8.812601,4np,PICO
14.927486,8.767153,4np,PICO
16.243347,9.06244,4np,PICO
16.152237,9.104863,4np,PICO
15.019739,8.817495,4np,PICO
15.6963005,9.076852,4np,PICO
15.98143,9.329472,4np,PICO
15.148415,8.640813,4np,PICO
15.7643385,9.006364,4np,PICO
15.676903,8.841111,4np,PICO
16.082819,8.98288,4np,PICO
16.116058,8.906673,4np,PICO
15.850969,9.223352,4np,PICO
15.817567,8.709096,4np,PICO
15.675408,9.203236,4np,PICO
15.9845495,9.190604,4np,PICO
15.290967,9.055126,4np,PICO
15.097069,8.75675,4np,PICO
15.741295,8.586893,4np,PICO
14.998522,8.8885145,4np,PICO
14.892871,8.741103,4np,PICO
15.040854,8.777219,4np,PICO
15.645445,8.710989,4np,PICO
14.965412,8.737468,4np,PICO
4.112017,10.296741,benzenethiol,PICO
5.5288396,10.572458,benzenethiol,PICO
5.586569,10.635318,benzenethiol,PICO
4.4543476,10.294372,benzenethiol,PICO
3.673513,5.472366,benzenethiol,PICO
4.530696,10.305318,benzenethiol,PICO
5.080914,10.351266,benzenethiol,PICO
3.6669762,4.657812,benzenethiol,PICO
3.4394639,5.1756253,benzenethiol,PICO
5.56618,10.605218,benzenethiol,PICO
3.5600638,4.829677,benzenethiol,PICO
2.3454518,4.799581,benzenethiol,PICO
3.3843784,4.2822466,benzenethiol,PICO
3.5992372,4.5025296,benzenethiol,PICO
2.8989835,4.3659806,benzenethiol,PICO
3.7811887,4.7222104,benzenethiol,PICO
2.7614434,4.1855087,benzenethiol,PICO
5.519401,10.505658,benzenethiol,PICO
3.8064015,4.7385626,benzenethiol,PICO
3.1696131,7.344755,benzenethiol,PICO
2.9327474,3.8787422,benzenethiol,PICO
3.5943067,4.6588154,benzenethiol,PICO
5.3954687,10.553394,benzenethiol,PICO
2.433866,5.2340846,benzenethiol,PICO
5.580627,10.6391735,benzenethiol,PICO
-8.539971,14.57749,pyridine,PICO
-8.918659,13.748172,pyridine,PICO
-8.556305,14.622588,pyridine,PICO
-8.948425,13.506392,pyridine,PICO
-8.943604,14.642221,pyridine,PICO
-8.72125,14.750031,pyridine,PICO
-8.811795,12.575802,pyridine,PICO
-9.110586,13.536538,pyridine,PICO
-9.065261,13.542597,pyridine,PICO
-8.778762,14.515513,pyridine,PICO
-8.882554,14.718138,pyridine,PICO
-8.850802,14.097897,pyridine,PICO
-9.102753,13.5711975,pyridine,PICO
-8.907588,13.391349,pyridine,PICO
-8.676211,14.787597,pyridine,PICO
-8.990331,12.972253,pyridine,PICO
-8.7513895,14.856214,pyridine,PICO
-8.972394,12.946791,pyridine,PICO
-8.32728,12.281147,pyridine,PICO
-8.935414,14.783337,pyridine,PICO
-9.089002,13.668227,pyridine,PICO
-8.967429,12.936035,pyridine,PICO
-9.044674,14.686413,pyridine,PICO
-8.799754,12.624721,pyridine,PICO
-8.772623,14.820915,pyridine,PICO
2.9343317,3.3208902,4np,AgNP
2.9399874,3.0966997,4np,AgNP
2.814515,2.4817045,4np,AgNP
2.9700737,3.269414,4np,AgNP
3.7622757,4.656961,4np,AgNP
2.8835168,2.491863,4np,AgNP
2.8231573,2.3892846,4np,AgNP
2.6711428,1.7615813,4np,AgNP
2.720291,1.5277615,4np,AgNP
2.8066936,2.0930157,4np,AgNP
2.9004111,2.4149883,4np,AgNP
