umap1,umap2,label,substrate
14.087103,-6.1094184,4np,pSERS
14.61168,-5.8447456,4np,pSERS
13.173017,-6.0602665,4np,pSERS
13.514244,-5.9548664,4np,pSERS
13.372305,-6.028042,4np,pSERS
14.579231,-5.822355,4np,pSERS
13.419299,-5.991752,4np,pSERS
14.305015,-6.069216,4np,pSERS
14.441561,-5.6602063,4np,pSERS
13.271762,-6.046783,4np,pSERS
13.811227,-6.0626316,4np,pSERS
14.736676,-5.8416114,4np,pSERS
13.254979,-6.135113,4np,pSERS
14.517404,-4.620275,4np,pSERS
14.446574,-5.9973054,4np,pSERS
13.1617,-6.059361,4np,pSERS
13.204122,-5.9945188,4np,pSERS
14.415197,-6.0225077,4np,pSERS
14.544115,-6.0751653,4np,pSERS
14.247464,-5.9565735,4np,pSERS
13.283624,-6.087117,4np,pSERS
14.0647,-6.0338745,4np,pSERS
14.338505,-5.8536806,4np,pSERS
13.862281,-6.0991707,4np,pSERS
14.423639,-6.07867,4np,pSERS
5.04982,15.882927,benzenethiol,pSERS
6.151654,16.519058,benzenethiol,pSERS
4.61313,15.798502,benzenethiol,pSERS
5.999354,16.47925,benzenethiol,pSERS
3.897836,16.037289,benzenethiol,pSERS
6.1190186,16.483507,benzenethiol,pSERS
4.5612345,15.818302,benzenethiol,pSERS
4.8213816,15.69621,benzenethiol,pSERS
5.9213495,16.440485,benzenethiol,pSERS
5.7576246,16.322327,benzenethiol,pSERS
5.6588593,16.243248,benzenethiol,pSERS
6.173529,16.61479,benzenethiol,pSERS
4.4162736,15.851021,benzenethiol,pSERS
6.157795,16.709908,benzenethiol,pSERS
6.309712,16.761782,benzenethiol,pSERS
6.227598,16.693369,benzenethiol,pSERS
5.661697,16.223639,benzenethiol,pSERS
4.55144,15.847309,benzenethiol,pSERS
5.581202,16.182472,benzenethiol,pSERS
4.8902626,15.761828,benzenethiol,pSERS
2.3447614,16.420527,benzenethiol,pSERS
6.195469,16.475132,benzenethiol,pSERS
5.095859,15.896651,benzenethiol,pSERS
4.6181574,15.767159,benzenethiol,pSERS
4.685233,15.728942,benzenethiol,pSERS
-0.8893941,-1.900712,pyridine,pSERS
-0.3906002,-2.277521,pyridine,pSERS
-1.0895032,-1.9152735,pyridine,pSERS
-0.8989924,-1.633689,pyridine,pSERS
-1.0399624,-2.045832,pyridine,pSERS
-0.85970026,-1.7633574,pyridine,pSERS
-1.1044427,-1.849468,pyridine,pSERS
-0.30379435,-2.2886755,pyridine,pSERS
-1.0484782,-1.9497218,pyridine,pSERS
-0.52298886,-2.0389893,pyridine,pSERS
-1.0692112,-1.6686214,pyridine,pSERS
-0.8869485,-1.9097289,pyridine,pSERS
-0.19423169,-2.1939714,pyridine,pSERS
-0.25776502,-2.3677673,pyridine,pSERS
-0.52331436,-2.064958,pyridine,pSERS
-0.541197,-2.6060402,pyridine,pSERS
-0.48473486,-2.4859514,pyridine,pSERS
-0.3184279,-2.4041307,pyridine,pSERS
-0.97469246,-2.0411646,pyridine,pSERS
0.014394085,0.62348723,pyridine,pSERS
-1.0128205,-2.0148468,pyridine,pSERS
-0.17490543,-2.180359,pyridine,pSERS
-0.25606528,-2.2279696,pyridine,pSERS
-0.830102,-2.0770237,pyridine,pSERS
-0.44366422,-2.471904,pyridine,pSERS
1.7697345,-11.243668,4np,PICO
1.8761473,-11.316368,4np,PICO
1.8440808,-11.2589855,4np,PICO
0.99834895,-11.083837,4np,PICO
0.86995614,-10.973004,4np,PICO
1.6487126,-11.120858,4np,PICO
1.6363099,-11.090574,4np,PICO
0.8311421,-11.072485,4np,PICO
0.71954536,-11.155576,4np,PICO
0.8408235,-11.238143,4np,PICO
0.64910597,-11.005018,4np,PICO
0.6581742,-11.098199,4np,PICO
0.6876132,-11.0403,4np,PICO
0.7178634,-11.0843115,4np,PICO
1.5100719,-11.059414,4np,PICO
0.951894,-11.175421,4np,PICO
0.93283534,-10.943015,4np,PICO
1.7513398,-11.15154,4np,PICO
1.6635735,-11.015527,4np,PICO
1.3247057,-11.093068,4np,PICO
1.8768988,-11.287996,4np,PICO
1.8759805,-11.307155,4np,PICO
1.7946073,-11.1874485,4np,PICO
1.0869118,-11.135071,4np,PICO
1.6968601,-11.434547,4np,PICO
0.22395793,15.122554,benzenethiol,PICO
1.8637742,16.486153,benzenethiol,PICO
-0.5016639,14.471732,benzenethiol,PICO
1.3258079,16.089365,benzenethiol,PICO
-0.693589,14.201559,benzenethiol,PICO
0.018331284,14.930519,benzenethiol,PICO
1.0439453,15.840512,benzenethiol,PICO
-0.29347795,14.688177,benzenethiol,PICO
-0.91766036,13.793262,benzenethiol,PICO
6.569585,16.936337,benzenethiol,PICO
-0.8086056,13.957264,benzenethiol,PICO
-1.2060924,13.0446005,benzenethiol,PICO
1.695023,16.417778,benzenethiol,PICO
1.6260657,16.428095,benzenethiol,PICO
-0.9287487,13.754366,benzenethiol,PICO
-1.1210808,13.134782,benzenethiol,PICO
1.7491368,16.387547,benzenethiol,PICO
6.541026,16.868626,benzenethiol,PICO
-1.1151872,13.134178,benzenethiol,PICO
-1.0137532,13.323918,benzenethiol,PICO
-0.8623797,13.899732,benzenethiol,PICO
-1.1029408,13.068035,benzenethiol,PICO
4.685289,15.712238,benzenethiol,PICO
-0.67793393,14.202505,benzenethiol,PICO
-0.46954635,14.574618,benzenethiol,PICO
2.9200718,3.7497911,pyridine,PICO
3.012646,3.2549648,pyridine,PICO
2.8284957,3.7968562,pyridine,PICO
2.8432975,3.526478,pyridine,PICO
3.204471,2.0013463,pyridine,PICO
3.0515485,3.7062135,pyridine,PICO
1.0947493,1.919028,pyridine,PICO
2.8073115,3.5583274,pyridine,PICO
3.101566,1.786038,pyridine,PICO
2.8378866,3.741822,pyridine,PICO
3.2336023,2.7597418,pyridine,PICO
3.1278775,2.8817873,pyridine,PICO
3.0237536,2.870895,pyridine,PICO
3.171227,2.9857805,pyridine,PICO
2.908308,3.6815498,pyridine,PICO
3.1902833,2.0164218,pyridine,PICO
3.0471132,3.8003688,pyridine,PICO
3.0836875,2.0990226,pyridine,PICO
3.0219522,2.6845093,pyridine,PICO
3.0439508,3.4609525,pyridine,PICO
3.3011491,2.4091713,pyridine,PICO
3.2933192,1.998153,pyridine,PICO
3.0629365,3.275891,pyridine,PICO
2.8612683,2.901443,pyridine,PICO
2.7828355,3.9032416,pyridine,PICO
15.281744,-4.6059976,4np,AgNP
14.599974,-4.683715,4np,AgNP
15.089314,-4.686812,4np,AgNP
15.108858,-4.603164,4np,AgNP
15.212027,-4.6384606,4np,AgNP
15.263517,-4.6114035,4np,AgNP
14.354807,-4.7571077,4np,AgNP
14.9905405,-5.257538,4np,AgNP
15.283772,-4.6071005,4np,AgNP
14.691299,-4.831851,4np,AgNP
14.709104,-5.624099,4np,AgNP
14.976073,-5.0371776,4np,AgNP
14.180902,-4.7906485,4np,AgNP
13.715504,-5.8450813,4np,AgNP
14.949321,-4.646292,4np,AgNP
14.224056,-5.0189967,4np,AgNP
13.117427,-5.9870563,4np,AgNP
14.988226,-5.270303,4np,AgNP
14.479797,-4.5487328,4np,AgNP
15.01019,-5.0449257,4np,AgNP
14.444618,-4.5716925,4np,AgNP
14.302254,-5.553173,4np,AgNP
13.066326,-5.913608,4np,AgNP
15.038668,-5.290624,4np,AgNP
14.431597,-4.738729,4np,AgNP
1.1487606,1.6058385,pyridine,AgNP
1.1276704,0.68582994,pyridine,AgNP
0.4293908,0.94785243,pyridine,AgNP
2.1442618,0.8387136,pyridine,AgNP
1.4679763,0.5009939,pyridine,AgNP
1.1420379,1.2149013,pyridine,AgNP
1.3811244,0.61493284,pyridine,AgNP
2.920185,1.9230399,pyridine,AgNP
