held_unknown,outer_fold,partition,rows,masters,analytes,instruments,sensor_families
4_ANPP,0,known_development_quality,319,46,6,10,4
4_ANPP,0,known_quality_test,83,12,6,10,4
4_ANPP,0,known_stress,94,40,6,9,4
4_ANPP,0,unknown_quality,98,11,1,8,2
4_ANPP,0,unknown_stress,4,3,1,2,2
4_ANPP,1,known_development_quality,316,48,6,10,4
4_ANPP,1,known_quality_test,86,10,6,10,4
4_ANPP,1,known_stress,94,40,6,9,4
4_ANPP,1,unknown_quality,98,11,1,8,2
4_ANPP,1,unknown_stress,4,3,1,2,2
4_ANPP,2,known_development_quality,327,45,6,10,4
4_ANPP,2,known_quality_test,75,13,6,10,3
4_ANPP,2,known_stress,94,40,6,9,4
4_ANPP,2,unknown_quality,98,11,1,8,2
4_ANPP,2,unknown_stress,4,3,1,2,2
4_ANPP,3,known_development_quality,320,48,6,10,4
4_ANPP,3,known_quality_test,82,10,6,10,4
4_ANPP,3,known_stress,94,40,6,9,4
4_ANPP,3,unknown_quality,98,11,1,8,2
4_ANPP,3,unknown_stress,4,3,1,2,2
4_ANPP,4,known_development_quality,326,45,6,10,4
4_ANPP,4,known_quality_test,76,13,6,10,3
4_ANPP,4,known_stress,94,40,6,9,4
4_ANPP,4,unknown_quality,98,11,1,8,2
4_ANPP,4,unknown_stress,4,3,1,2,2
4_nitrophenol,0,known_development_quality,339,48,6,10,4
4_nitrophenol,0,known_quality_test,87,13,6,10,3
4_nitrophenol,0,known_stress,80,37,6,9,3
4_nitrophenol,0,unknown_quality,74,8,1,5,3
4_nitrophenol,0,unknown_stress,18,6,1,2,3
4_nitrophenol,1,known_development_quality,340,50,6,10,4
4_nitrophenol,1,known_quality_test,86,11,6,10,3
4_nitrophenol,1,known_stress,80,37,6,9,3
4_nitrophenol,1,unknown_quality,74,8,1,5,3
4_nitrophenol,1,unknown_stress,18,6,1,2,3
4_nitrophenol,2,known_development_quality,342,48,6,10,4
4_nitrophenol,2,known_quality_test,84,13,6,10,3
4_nitrophenol,2,known_stress,80,37,6,9,3
4_nitrophenol,2,unknown_quality,74,8,1,5,3
4_nitrophenol,2,unknown_stress,18,6,1,2,3
4_nitrophenol,3,known_development_quality,340,51,6,10,3
4_nitrophenol,3,known_quality_test,86,10,6,10,4
4_nitrophenol,3,known_stress,80,37,6,9,3
4_nitrophenol,3,unknown_quality,74,8,1,5,3
4_nitrophenol,3,unknown_stress,18,6,1,2,3
4_nitrophenol,4,known_development_quality,343,47,6,10,4
4_nitrophenol,4,known_quality_test,83,14,6,10,3
4_nitrophenol,4,known_stress,80,37,6,9,3
4_nitrophenol,4,unknown_quality,74,8,1,5,3
4_nitrophenol,4,unknown_stress,18,6,1,2,3
acetaminophen,0,known_development_quality,345,46,6,10,4
acetaminophen,0,known_quality_test,89,12,6,10,4
