held_unknown,outer_fold,inner_fold,surrogate_unknown,train_known,locked_held_unknown,locked_stress,excluded_outer_known_test,validation_known,excluded_surrogate_training,validation_surrogate_unknown
4_ANPP,0,1,4_nitrophenol,193,102,94,83,68,40,18
4_ANPP,0,1,acetaminophen,194,102,94,83,73,39,13
4_ANPP,0,1,benzyl_fentanyl,165,102,94,83,63,68,23
4_ANPP,0,1,ethanol,211,102,94,83,77,22,9
4_ANPP,0,1,ethyl_paraoxon,211,102,94,83,74,22,12
4_ANPP,0,2,4_nitrophenol,197,102,94,83,64,47,11
4_ANPP,0,2,acetaminophen,206,102,94,83,61,38,14
4_ANPP,0,2,benzyl_fentanyl,176,102,94,83,52,68,23
4_ANPP,0,2,ethanol,219,102,94,83,69,25,6
4_ANPP,0,2,ethyl_paraoxon,213,102,94,83,72,31,3
4_ANPP,0,3,4_nitrophenol,194,102,94,83,67,43,15
4_ANPP,0,3,acetaminophen,198,102,94,83,69,39,13
4_ANPP,0,3,benzyl_fentanyl,168,102,94,83,60,69,22
4_ANPP,0,3,ethanol,215,102,94,83,73,22,9
4_ANPP,0,3,ethyl_paraoxon,215,102,94,83,70,22,12
4_ANPP,0,4,4_nitrophenol,199,102,94,83,62,44,14
4_ANPP,0,4,acetaminophen,203,102,94,83,64,40,12
4_ANPP,0,4,benzyl_fentanyl,175,102,94,83,53,68,23
4_ANPP,0,4,ethanol,219,102,94,83,69,24,7
4_ANPP,0,4,ethyl_paraoxon,216,102,94,83,69,27,7
4_ANPP,1,0,4_nitrophenol,193,102,94,86,67,40,16
4_ANPP,1,0,acetaminophen,194,102,94,86,69,39,14
4_ANPP,1,0,benzyl_fentanyl,165,102,94,86,59,68,24
4_ANPP,1,0,ethanol,211,102,94,86,75,22,8
4_ANPP,1,0,ethyl_paraoxon,211,102,94,86,80,22,3
4_ANPP,1,2,4_nitrophenol,196,102,94,86,64,45,11
4_ANPP,1,2,acetaminophen,202,102,94,86,61,39,14
4_ANPP,1,2,benzyl_fentanyl,172,102,94,86,52,69,23
4_ANPP,1,2,ethanol,217,102,94,86,69,24,6
4_ANPP,1,2,ethyl_paraoxon,219,102,94,86,72,22,3
4_ANPP,1,3,4_nitrophenol,193,102,94,86,67,41,15
4_ANPP,1,3,acetaminophen,194,102,94,86,69,40,13
4_ANPP,1,3,benzyl_fentanyl,164,102,94,86,60,70,22
4_ANPP,1,3,ethanol,213,102,94,86,73,21,9
4_ANPP,1,3,ethyl_paraoxon,221,102,94,86,70,13,12
4_ANPP,1,4,4_nitrophenol,198,102,94,86,62,42,14
4_ANPP,1,4,acetaminophen,199,102,94,86,64,41,12
4_ANPP,1,4,benzyl_fentanyl,171,102,94,86,53,69,23
4_ANPP,1,4,ethanol,217,102,94,86,69,23,7
4_ANPP,1,4,ethyl_paraoxon,222,102,94,86,69,18,7
4_ANPP,2,0,4_nitrophenol,197,102,94,75,67,47,16
4_ANPP,2,0,acetaminophen,206,102,94,75,69,38,14
4_ANPP,2,0,benzyl_fentanyl,176,102,94,75,59,68,24
4_ANPP,2,0,ethanol,219,102,94,75,75,25,8
4_ANPP,2,0,ethyl_paraoxon,213,102,94,75,80,31,3
4_ANPP,2,1,4_nitrophenol,196,102,94,75,68,45,18
4_ANPP,2,1,acetaminophen,202,102,94,75,73,39,13
4_ANPP,2,1,benzyl_fentanyl,172,102,94,75,63,69,23
4_ANPP,2,1,ethanol,217,102,94,75,77,24,9
4_ANPP,2,1,ethyl_paraoxon,219,102,94,75,74,22,12
4_ANPP,2,3,4_nitrophenol,197,102,94,75,67,48,15
4_ANPP,2,3,acetaminophen,206,102,94,75,69,39,13
4_ANPP,2,3,benzyl_fentanyl,175,102,94,75,60,70,22
4_ANPP,2,3,ethanol,221,102,94,75,73,24,9
4_ANPP,2,3,ethyl_paraoxon,223,102,94,75,70,22,12
4_ANPP,2,4,4_nitrophenol,202,102,94,75,62,49,14
4_ANPP,2,4,acetaminophen,211,102,94,75,64,40,12
4_ANPP,2,4,benzyl_fentanyl,182,102,94,75,53,69,23
4_ANPP,2,4,ethanol,225,102,94,75,69,26,7
4_ANPP,2,4,ethyl_paraoxon,224,102,94,75,69,27,7
4_ANPP,3,0,4_nitrophenol,194,102,94,82,67,43,16
4_ANPP,3,0,acetaminophen,198,102,94,82,69,39,14
4_ANPP,3,0,benzyl_fentanyl,168,102,94,82,59,69,24
4_ANPP,3,0,ethanol,215,102,94,82,75,22,8
4_ANPP,3,0,ethyl_paraoxon,215,102,94,82,80,22,3
4_ANPP,3,1,4_nitrophenol,193,102,94,82,68,41,18
4_ANPP,3,1,acetaminophen,194,102,94,82,73,40,13
4_ANPP,3,1,benzyl_fentanyl,164,102,94,82,63,70,23
4_ANPP,3,1,ethanol,213,102,94,82,77,21,9
4_ANPP,3,1,ethyl_paraoxon,221,102,94,82,74,13,12
4_ANPP,3,2,4_nitrophenol,197,102,94,82,64,48,11
4_ANPP,3,2,acetaminophen,206,102,94,82,61,39,14
4_ANPP,3,2,benzyl_fentanyl,175,102,94,82,52,70,23
4_ANPP,3,2,ethanol,221,102,94,82,69,24,6
4_ANPP,3,2,ethyl_paraoxon,223,102,94,82,72,22,3
4_ANPP,3,4,4_nitrophenol,199,102,94,82,62,45,14
4_ANPP,3,4,acetaminophen,203,102,94,82,64,41,12
4_ANPP,3,4,benzyl_fentanyl,174,102,94,82,53,70,23
4_ANPP,3,4,ethanol,221,102,94,82,69,23,7
4_ANPP,3,4,ethyl_paraoxon,226,102,94,82,69,18,7
4_ANPP,4,0,4_nitrophenol,199,102,94,76,67,44,16
4_ANPP,4,0,acetaminophen,203,102,94,76,69,40,14
4_ANPP,4,0,benzyl_fentanyl,175,102,94,76,59,68,24
4_ANPP,4,0,ethanol,219,102,94,76,75,24,8
4_ANPP,4,0,ethyl_paraoxon,216,102,94,76,80,27,3
4_ANPP,4,1,4_nitrophenol,198,102,94,76,68,42,18
4_ANPP,4,1,acetaminophen,199,102,94,76,73,41,13
4_ANPP,4,1,benzyl_fentanyl,171,102,94,76,63,69,23
4_ANPP,4,1,ethanol,217,102,94,76,77,23,9
4_ANPP,4,1,ethyl_paraoxon,222,102,94,76,74,18,12
4_ANPP,4,2,4_nitrophenol,202,102,94,76,64,49,11
4_ANPP,4,2,acetaminophen,211,102,94,76,61,40,14
4_ANPP,4,2,benzyl_fentanyl,182,102,94,76,52,69,23
4_ANPP,4,2,ethanol,225,102,94,76,69,26,6
4_ANPP,4,2,ethyl_paraoxon,224,102,94,76,72,27,3
4_ANPP,4,3,4_nitrophenol,199,102,94,76,67,45,15
4_ANPP,4,3,acetaminophen,203,102,94,76,69,41,13
4_ANPP,4,3,benzyl_fentanyl,174,102,94,76,60,70,22
4_ANPP,4,3,ethanol,221,102,94,76,73,23,9
4_ANPP,4,3,ethyl_paraoxon,226,102,94,76,70,18,12
4_nitrophenol,0,1,4_ANPP,193,92,80,87,68,60,18
4_nitrophenol,0,1,acetaminophen,214,92,80,87,73,39,13
4_nitrophenol,0,1,benzyl_fentanyl,185,92,80,87,63,68,23
4_nitrophenol,0,1,ethanol,231,92,80,87,77,22,9
4_nitrophenol,0,1,ethyl_paraoxon,231,92,80,87,74,22,12
4_nitrophenol,0,2,4_ANPP,197,92,80,87,64,58,20
4_nitrophenol,0,2,acetaminophen,217,92,80,87,70,38,14
4_nitrophenol,0,2,benzyl_fentanyl,187,92,80,87,61,68,23
4_nitrophenol,0,2,ethanol,230,92,80,87,78,25,6
4_nitrophenol,0,2,ethyl_paraoxon,224,92,80,87,81,31,3
4_nitrophenol,0,3,4_ANPP,194,92,80,87,67,59,19
4_nitrophenol,0,3,acetaminophen,214,92,80,87,73,39,13
4_nitrophenol,0,3,benzyl_fentanyl,184,92,80,87,64,69,22
4_nitrophenol,0,3,ethanol,231,92,80,87,77,22,9
4_nitrophenol,0,3,ethyl_paraoxon,231,92,80,87,74,22,12
4_nitrophenol,0,4,4_ANPP,199,92,80,87,62,57,21
4_nitrophenol,0,4,acetaminophen,216,92,80,87,71,40,12
4_nitrophenol,0,4,benzyl_fentanyl,188,92,80,87,60,68,23
4_nitrophenol,0,4,ethanol,232,92,80,87,76,24,7
4_nitrophenol,0,4,ethyl_paraoxon,229,92,80,87,76,27,7
4_nitrophenol,1,0,4_ANPP,193,92,80,86,67,60,20
4_nitrophenol,1,0,acetaminophen,214,92,80,86,73,39,14
4_nitrophenol,1,0,benzyl_fentanyl,185,92,80,86,63,68,24
4_nitrophenol,1,0,ethanol,231,92,80,86,79,22,8
4_nitrophenol,1,0,ethyl_paraoxon,231,92,80,86,84,22,3
4_nitrophenol,1,2,4_ANPP,196,92,80,86,64,60,20
4_nitrophenol,1,2,acetaminophen,217,92,80,86,70,39,14
4_nitrophenol,1,2,benzyl_fentanyl,187,92,80,86,61,69,23
4_nitrophenol,1,2,ethanol,232,92,80,86,78,24,6
4_nitrophenol,1,2,ethyl_paraoxon,234,92,80,86,81,22,3
4_nitrophenol,1,3,4_ANPP,193,92,80,86,67,61,19
4_nitrophenol,1,3,acetaminophen,214,92,80,86,73,40,13
4_nitrophenol,1,3,benzyl_fentanyl,184,92,80,86,64,70,22
4_nitrophenol,1,3,ethanol,233,92,80,86,77,21,9
4_nitrophenol,1,3,ethyl_paraoxon,241,92,80,86,74,13,12
4_nitrophenol,1,4,4_ANPP,198,92,80,86,62,59,21
4_nitrophenol,1,4,acetaminophen,216,92,80,86,71,41,12
4_nitrophenol,1,4,benzyl_fentanyl,188,92,80,86,60,69,23
4_nitrophenol,1,4,ethanol,234,92,80,86,76,23,7
4_nitrophenol,1,4,ethyl_paraoxon,239,92,80,86,76,18,7
4_nitrophenol,2,0,4_ANPP,197,92,80,84,67,58,20
4_nitrophenol,2,0,acetaminophen,217,92,80,84,73,38,14
4_nitrophenol,2,0,benzyl_fentanyl,187,92,80,84,63,68,24
4_nitrophenol,2,0,ethanol,230,92,80,84,79,25,8
4_nitrophenol,2,0,ethyl_paraoxon,224,92,80,84,84,31,3
4_nitrophenol,2,1,4_ANPP,196,92,80,84,68,60,18
4_nitrophenol,2,1,acetaminophen,217,92,80,84,73,39,13
4_nitrophenol,2,1,benzyl_fentanyl,187,92,80,84,63,69,23
4_nitrophenol,2,1,ethanol,232,92,80,84,77,24,9
4_nitrophenol,2,1,ethyl_paraoxon,234,92,80,84,74,22,12
4_nitrophenol,2,3,4_ANPP,197,92,80,84,67,59,19
4_nitrophenol,2,3,acetaminophen,217,92,80,84,73,39,13
4_nitrophenol,2,3,benzyl_fentanyl,186,92,80,84,64,70,22
4_nitrophenol,2,3,ethanol,232,92,80,84,77,24,9
4_nitrophenol,2,3,ethyl_paraoxon,234,92,80,84,74,22,12
4_nitrophenol,2,4,4_ANPP,202,92,80,84,62,57,21
4_nitrophenol,2,4,acetaminophen,219,92,80,84,71,40,12
4_nitrophenol,2,4,benzyl_fentanyl,190,92,80,84,60,69,23
4_nitrophenol,2,4,ethanol,233,92,80,84,76,26,7
4_nitrophenol,2,4,ethyl_paraoxon,232,92,80,84,76,27,7
4_nitrophenol,3,0,4_ANPP,194,92,80,86,67,59,20
4_nitrophenol,3,0,acetaminophen,214,92,80,86,73,39,14
4_nitrophenol,3,0,benzyl_fentanyl,184,92,80,86,63,69,24
4_nitrophenol,3,0,ethanol,231,92,80,86,79,22,8
4_nitrophenol,3,0,ethyl_paraoxon,231,92,80,86,84,22,3
4_nitrophenol,3,1,4_ANPP,193,92,80,86,68,61,18
4_nitrophenol,3,1,acetaminophen,214,92,80,86,73,40,13
4_nitrophenol,3,1,benzyl_fentanyl,184,92,80,86,63,70,23
4_nitrophenol,3,1,ethanol,233,92,80,86,77,21,9
4_nitrophenol,3,1,ethyl_paraoxon,241,92,80,86,74,13,12
4_nitrophenol,3,2,4_ANPP,197,92,80,86,64,59,20
4_nitrophenol,3,2,acetaminophen,217,92,80,86,70,39,14
4_nitrophenol,3,2,benzyl_fentanyl,186,92,80,86,61,70,23
4_nitrophenol,3,2,ethanol,232,92,80,86,78,24,6
4_nitrophenol,3,2,ethyl_paraoxon,234,92,80,86,81,22,3
4_nitrophenol,3,4,4_ANPP,199,92,80,86,62,58,21
4_nitrophenol,3,4,acetaminophen,216,92,80,86,71,41,12
4_nitrophenol,3,4,benzyl_fentanyl,187,92,80,86,60,70,23
4_nitrophenol,3,4,ethanol,234,92,80,86,76,23,7
4_nitrophenol,3,4,ethyl_paraoxon,239,92,80,86,76,18,7
4_nitrophenol,4,0,4_ANPP,199,92,80,83,67,57,20
4_nitrophenol,4,0,acetaminophen,216,92,80,83,73,40,14
4_nitrophenol,4,0,benzyl_fentanyl,188,92,80,83,63,68,24
4_nitrophenol,4,0,ethanol,232,92,80,83,79,24,8
4_nitrophenol,4,0,ethyl_paraoxon,229,92,80,83,84,27,3
4_nitrophenol,4,1,4_ANPP,198,92,80,83,68,59,18
4_nitrophenol,4,1,acetaminophen,216,92,80,83,73,41,13
4_nitrophenol,4,1,benzyl_fentanyl,188,92,80,83,63,69,23
4_nitrophenol,4,1,ethanol,234,92,80,83,77,23,9
4_nitrophenol,4,1,ethyl_paraoxon,239,92,80,83,74,18,12
4_nitrophenol,4,2,4_ANPP,202,92,80,83,64,57,20
4_nitrophenol,4,2,acetaminophen,219,92,80,83,70,40,14
4_nitrophenol,4,2,benzyl_fentanyl,190,92,80,83,61,69,23
4_nitrophenol,4,2,ethanol,233,92,80,83,78,26,6
4_nitrophenol,4,2,ethyl_paraoxon,232,92,80,83,81,27,3
4_nitrophenol,4,3,4_ANPP,199,92,80,83,67,58,19
4_nitrophenol,4,3,acetaminophen,216,92,80,83,73,41,13
4_nitrophenol,4,3,benzyl_fentanyl,187,92,80,83,64,70,22
4_nitrophenol,4,3,ethanol,234,92,80,83,77,23,9
4_nitrophenol,4,3,ethyl_paraoxon,239,92,80,83,74,18,12
acetaminophen,0,1,4_ANPP,194,81,83,89,73,60,18
acetaminophen,0,1,4_nitrophenol,214,81,83,89,73,40,18
acetaminophen,0,1,benzyl_fentanyl,186,81,83,89,68,68,23
acetaminophen,0,1,ethanol,232,81,83,89,82,22,9
acetaminophen,0,1,ethyl_paraoxon,232,81,83,89,79,22,12
acetaminophen,0,2,4_ANPP,206,81,83,89,61,58,20
acetaminophen,0,2,4_nitrophenol,217,81,83,89,70,47,11
acetaminophen,0,2,benzyl_fentanyl,196,81,83,89,58,68,23
acetaminophen,0,2,ethanol,239,81,83,89,75,25,6
acetaminophen,0,2,ethyl_paraoxon,233,81,83,89,78,31,3
acetaminophen,0,3,4_ANPP,198,81,83,89,69,59,19
acetaminophen,0,3,4_nitrophenol,214,81,83,89,73,43,15
acetaminophen,0,3,benzyl_fentanyl,188,81,83,89,66,69,22
acetaminophen,0,3,ethanol,235,81,83,89,79,22,9
acetaminophen,0,3,ethyl_paraoxon,235,81,83,89,76,22,12
acetaminophen,0,4,4_ANPP,203,81,83,89,64,57,21
acetaminophen,0,4,4_nitrophenol,216,81,83,89,71,44,14
acetaminophen,0,4,benzyl_fentanyl,192,81,83,89,62,68,23
acetaminophen,0,4,ethanol,236,81,83,89,78,24,7
acetaminophen,0,4,ethyl_paraoxon,233,81,83,89,78,27,7
acetaminophen,1,0,4_ANPP,194,81,83,91,69,60,20
acetaminophen,1,0,4_nitrophenol,214,81,83,91,73,40,16
acetaminophen,1,0,benzyl_fentanyl,186,81,83,91,65,68,24
acetaminophen,1,0,ethanol,232,81,83,91,81,22,8
acetaminophen,1,0,ethyl_paraoxon,232,81,83,91,86,22,3
acetaminophen,1,2,4_ANPP,202,81,83,91,61,60,20
acetaminophen,1,2,4_nitrophenol,217,81,83,91,70,45,11
acetaminophen,1,2,benzyl_fentanyl,193,81,83,91,58,69,23
acetaminophen,1,2,ethanol,238,81,83,91,75,24,6
acetaminophen,1,2,ethyl_paraoxon,240,81,83,91,78,22,3
acetaminophen,1,3,4_ANPP,194,81,83,91,69,61,19
acetaminophen,1,3,4_nitrophenol,214,81,83,91,73,41,15
acetaminophen,1,3,benzyl_fentanyl,185,81,83,91,66,70,22
acetaminophen,1,3,ethanol,234,81,83,91,79,21,9
acetaminophen,1,3,ethyl_paraoxon,242,81,83,91,76,13,12
acetaminophen,1,4,4_ANPP,199,81,83,91,64,59,21
acetaminophen,1,4,4_nitrophenol,216,81,83,91,71,42,14
acetaminophen,1,4,benzyl_fentanyl,189,81,83,91,62,69,23
acetaminophen,1,4,ethanol,235,81,83,91,78,23,7
acetaminophen,1,4,ethyl_paraoxon,240,81,83,91,78,18,7
acetaminophen,2,0,4_ANPP,206,81,83,81,69,58,20
acetaminophen,2,0,4_nitrophenol,217,81,83,81,73,47,16
acetaminophen,2,0,benzyl_fentanyl,196,81,83,81,65,68,24
acetaminophen,2,0,ethanol,239,81,83,81,81,25,8
acetaminophen,2,0,ethyl_paraoxon,233,81,83,81,86,31,3
acetaminophen,2,1,4_ANPP,202,81,83,81,73,60,18
acetaminophen,2,1,4_nitrophenol,217,81,83,81,73,45,18
acetaminophen,2,1,benzyl_fentanyl,193,81,83,81,68,69,23
acetaminophen,2,1,ethanol,238,81,83,81,82,24,9
acetaminophen,2,1,ethyl_paraoxon,240,81,83,81,79,22,12
acetaminophen,2,3,4_ANPP,206,81,83,81,69,59,19
acetaminophen,2,3,4_nitrophenol,217,81,83,81,73,48,15
acetaminophen,2,3,benzyl_fentanyl,195,81,83,81,66,70,22
acetaminophen,2,3,ethanol,241,81,83,81,79,24,9
acetaminophen,2,3,ethyl_paraoxon,243,81,83,81,76,22,12
acetaminophen,2,4,4_ANPP,211,81,83,81,64,57,21
acetaminophen,2,4,4_nitrophenol,219,81,83,81,71,49,14
acetaminophen,2,4,benzyl_fentanyl,199,81,83,81,62,69,23
acetaminophen,2,4,ethanol,242,81,83,81,78,26,7
acetaminophen,2,4,ethyl_paraoxon,241,81,83,81,78,27,7
acetaminophen,3,0,4_ANPP,198,81,83,88,69,59,20
acetaminophen,3,0,4_nitrophenol,214,81,83,88,73,43,16
acetaminophen,3,0,benzyl_fentanyl,188,81,83,88,65,69,24
acetaminophen,3,0,ethanol,235,81,83,88,81,22,8
acetaminophen,3,0,ethyl_paraoxon,235,81,83,88,86,22,3
acetaminophen,3,1,4_ANPP,194,81,83,88,73,61,18
acetaminophen,3,1,4_nitrophenol,214,81,83,88,73,41,18
acetaminophen,3,1,benzyl_fentanyl,185,81,83,88,68,70,23
acetaminophen,3,1,ethanol,234,81,83,88,82,21,9
acetaminophen,3,1,ethyl_paraoxon,242,81,83,88,79,13,12
acetaminophen,3,2,4_ANPP,206,81,83,88,61,59,20
acetaminophen,3,2,4_nitrophenol,217,81,83,88,70,48,11
acetaminophen,3,2,benzyl_fentanyl,195,81,83,88,58,70,23
acetaminophen,3,2,ethanol,241,81,83,88,75,24,6
acetaminophen,3,2,ethyl_paraoxon,243,81,83,88,78,22,3
acetaminophen,3,4,4_ANPP,203,81,83,88,64,58,21
acetaminophen,3,4,4_nitrophenol,216,81,83,88,71,45,14
acetaminophen,3,4,benzyl_fentanyl,191,81,83,88,62,70,23
acetaminophen,3,4,ethanol,238,81,83,88,78,23,7
acetaminophen,3,4,ethyl_paraoxon,243,81,83,88,78,18,7
