held_unknown,outer_fold,calibration_fold,partition,rows,masters,analytes,instruments,sensor_families
4_ANPP,0,1,calibration_known,86,10,6,10,4
4_ANPP,0,1,excluded_outer_known_test,83,12,6,10,4
4_ANPP,0,1,locked_held_unknown,102,11,1,8,2
4_ANPP,0,1,locked_stress,94,40,6,9,4
4_ANPP,0,1,train_known,233,36,6,10,4
4_ANPP,0,2,calibration_known,75,13,6,10,3
4_ANPP,0,2,excluded_outer_known_test,83,12,6,10,4
4_ANPP,0,2,locked_held_unknown,102,11,1,8,2
4_ANPP,0,2,locked_stress,94,40,6,9,4
4_ANPP,0,2,train_known,244,33,6,10,4
4_ANPP,0,3,calibration_known,82,10,6,10,4
4_ANPP,0,3,excluded_outer_known_test,83,12,6,10,4
4_ANPP,0,3,locked_held_unknown,102,11,1,8,2
4_ANPP,0,3,locked_stress,94,40,6,9,4
4_ANPP,0,3,train_known,237,36,6,10,4
4_ANPP,0,4,calibration_known,76,13,6,10,3
4_ANPP,0,4,excluded_outer_known_test,83,12,6,10,4
4_ANPP,0,4,locked_held_unknown,102,11,1,8,2
4_ANPP,0,4,locked_stress,94,40,6,9,4
4_ANPP,0,4,train_known,243,33,6,10,4
4_ANPP,1,0,calibration_known,83,12,6,10,4
4_ANPP,1,0,excluded_outer_known_test,86,10,6,10,4
4_ANPP,1,0,locked_held_unknown,102,11,1,8,2
4_ANPP,1,0,locked_stress,94,40,6,9,4
4_ANPP,1,0,train_known,233,36,6,10,4
4_ANPP,1,2,calibration_known,75,13,6,10,3
4_ANPP,1,2,excluded_outer_known_test,86,10,6,10,4
4_ANPP,1,2,locked_held_unknown,102,11,1,8,2
4_ANPP,1,2,locked_stress,94,40,6,9,4
4_ANPP,1,2,train_known,241,35,6,10,4
4_ANPP,1,3,calibration_known,82,10,6,10,4
4_ANPP,1,3,excluded_outer_known_test,86,10,6,10,4
4_ANPP,1,3,locked_held_unknown,102,11,1,8,2
4_ANPP,1,3,locked_stress,94,40,6,9,4
4_ANPP,1,3,train_known,234,38,6,10,4
4_ANPP,1,4,calibration_known,76,13,6,10,3
4_ANPP,1,4,excluded_outer_known_test,86,10,6,10,4
4_ANPP,1,4,locked_held_unknown,102,11,1,8,2
4_ANPP,1,4,locked_stress,94,40,6,9,4
4_ANPP,1,4,train_known,240,35,6,10,4
4_ANPP,2,0,calibration_known,83,12,6,10,4
4_ANPP,2,0,excluded_outer_known_test,75,13,6,10,3
4_ANPP,2,0,locked_held_unknown,102,11,1,8,2
4_ANPP,2,0,locked_stress,94,40,6,9,4
4_ANPP,2,0,train_known,244,33,6,10,4
4_ANPP,2,1,calibration_known,86,10,6,10,4
4_ANPP,2,1,excluded_outer_known_test,75,13,6,10,3
4_ANPP,2,1,locked_held_unknown,102,11,1,8,2
4_ANPP,2,1,locked_stress,94,40,6,9,4
4_ANPP,2,1,train_known,241,35,6,10,4
4_ANPP,2,3,calibration_known,82,10,6,10,4
4_ANPP,2,3,excluded_outer_known_test,75,13,6,10,3
4_ANPP,2,3,locked_held_unknown,102,11,1,8,2
4_ANPP,2,3,locked_stress,94,40,6,9,4
4_ANPP,2,3,train_known,245,35,6,10,4
4_ANPP,2,4,calibration_known,76,13,6,10,3
4_ANPP,2,4,excluded_outer_known_test,75,13,6,10,3
4_ANPP,2,4,locked_held_unknown,102,11,1,8,2
4_ANPP,2,4,locked_stress,94,40,6,9,4
4_ANPP,2,4,train_known,251,32,6,10,4
4_ANPP,3,0,calibration_known,83,12,6,10,4
4_ANPP,3,0,excluded_outer_known_test,82,10,6,10,4
4_ANPP,3,0,locked_held_unknown,102,11,1,8,2
4_ANPP,3,0,locked_stress,94,40,6,9,4
4_ANPP,3,0,train_known,237,36,6,10,4
4_ANPP,3,1,calibration_known,86,10,6,10,4
4_ANPP,3,1,excluded_outer_known_test,82,10,6,10,4
4_ANPP,3,1,locked_held_unknown,102,11,1,8,2
4_ANPP,3,1,locked_stress,94,40,6,9,4
4_ANPP,3,1,train_known,234,38,6,10,4
4_ANPP,3,2,calibration_known,75,13,6,10,3
4_ANPP,3,2,excluded_outer_known_test,82,10,6,10,4
4_ANPP,3,2,locked_held_unknown,102,11,1,8,2
4_ANPP,3,2,locked_stress,94,40,6,9,4
4_ANPP,3,2,train_known,245,35,6,10,4
4_ANPP,3,4,calibration_known,76,13,6,10,3
4_ANPP,3,4,excluded_outer_known_test,82,10,6,10,4
4_ANPP,3,4,locked_held_unknown,102,11,1,8,2
4_ANPP,3,4,locked_stress,94,40,6,9,4
4_ANPP,3,4,train_known,244,35,6,10,4
4_ANPP,4,0,calibration_known,83,12,6,10,4
4_ANPP,4,0,excluded_outer_known_test,76,13,6,10,3
4_ANPP,4,0,locked_held_unknown,102,11,1,8,2
4_ANPP,4,0,locked_stress,94,40,6,9,4
4_ANPP,4,0,train_known,243,33,6,10,4
4_ANPP,4,1,calibration_known,86,10,6,10,4
4_ANPP,4,1,excluded_outer_known_test,76,13,6,10,3
4_ANPP,4,1,locked_held_unknown,102,11,1,8,2
4_ANPP,4,1,locked_stress,94,40,6,9,4
4_ANPP,4,1,train_known,240,35,6,10,4
4_ANPP,4,2,calibration_known,75,13,6,10,3
4_ANPP,4,2,excluded_outer_known_test,76,13,6,10,3
4_ANPP,4,2,locked_held_unknown,102,11,1,8,2
4_ANPP,4,2,locked_stress,94,40,6,9,4
4_ANPP,4,2,train_known,251,32,6,10,4
4_ANPP,4,3,calibration_known,82,10,6,10,4
4_ANPP,4,3,excluded_outer_known_test,76,13,6,10,3
4_ANPP,4,3,locked_held_unknown,102,11,1,8,2
4_ANPP,4,3,locked_stress,94,40,6,9,4
4_ANPP,4,3,train_known,244,35,6,10,4
4_nitrophenol,0,1,calibration_known,86,11,6,10,3
4_nitrophenol,0,1,excluded_outer_known_test,87,13,6,10,3
4_nitrophenol,0,1,locked_held_unknown,92,8,1,5,3
4_nitrophenol,0,1,locked_stress,80,37,6,9,3
4_nitrophenol,0,1,train_known,253,37,6,10,4
4_nitrophenol,0,2,calibration_known,84,13,6,10,3
4_nitrophenol,0,2,excluded_outer_known_test,87,13,6,10,3
4_nitrophenol,0,2,locked_held_unknown,92,8,1,5,3
4_nitrophenol,0,2,locked_stress,80,37,6,9,3
