held_unknown,outer_fold,inner_fold,surrogate_unknown,partition,rows,masters,analytes,instruments,sensor_families
4_ANPP,0,3,benzyl_fentanyl,train_known,168,26,5,10,4
4_ANPP,0,3,benzyl_fentanyl,validation_known,60,8,5,10,4
4_ANPP,0,3,benzyl_fentanyl,validation_surrogate_unknown,22,2,1,5,2
4_ANPP,0,3,ethanol,excluded_outer_known_test,83,12,6,10,4
4_ANPP,0,3,ethanol,excluded_surrogate_training,22,6,1,4,2
4_ANPP,0,3,ethanol,locked_held_unknown,102,11,1,8,2
4_ANPP,0,3,ethanol,locked_stress,94,40,6,9,4
4_ANPP,0,3,ethanol,train_known,215,30,5,10,4
4_ANPP,0,3,ethanol,validation_known,73,9,5,10,4
4_ANPP,0,3,ethanol,validation_surrogate_unknown,9,1,1,3,2
4_ANPP,0,3,ethyl_paraoxon,excluded_outer_known_test,83,12,6,10,4
4_ANPP,0,3,ethyl_paraoxon,excluded_surrogate_training,22,4,1,3,2
4_ANPP,0,3,ethyl_paraoxon,locked_held_unknown,102,11,1,8,2
4_ANPP,0,3,ethyl_paraoxon,locked_stress,94,40,6,9,4
4_ANPP,0,3,ethyl_paraoxon,train_known,215,32,5,10,4
4_ANPP,0,3,ethyl_paraoxon,validation_known,70,9,5,10,4
4_ANPP,0,3,ethyl_paraoxon,validation_surrogate_unknown,12,1,1,3,2
4_ANPP,0,4,4_nitrophenol,excluded_outer_known_test,83,12,6,10,4
4_ANPP,0,4,4_nitrophenol,excluded_surrogate_training,44,5,1,5,3
4_ANPP,0,4,4_nitrophenol,locked_held_unknown,102,11,1,8,2
4_ANPP,0,4,4_nitrophenol,locked_stress,94,40,6,9,4
4_ANPP,0,4,4_nitrophenol,train_known,199,28,5,10,4
4_ANPP,0,4,4_nitrophenol,validation_known,62,11,5,10,3
4_ANPP,0,4,4_nitrophenol,validation_surrogate_unknown,14,2,1,4,2
4_ANPP,0,4,acetaminophen,excluded_outer_known_test,83,12,6,10,4
4_ANPP,0,4,acetaminophen,excluded_surrogate_training,40,7,1,6,2
4_ANPP,0,4,acetaminophen,locked_held_unknown,102,11,1,8,2
4_ANPP,0,4,acetaminophen,locked_stress,94,40,6,9,4
4_ANPP,0,4,acetaminophen,train_known,203,26,5,10,4
4_ANPP,0,4,acetaminophen,validation_known,64,11,5,10,3
4_ANPP,0,4,acetaminophen,validation_surrogate_unknown,12,2,1,5,2
4_ANPP,0,4,benzyl_fentanyl,excluded_outer_known_test,83,12,6,10,4
4_ANPP,0,4,benzyl_fentanyl,excluded_surrogate_training,68,8,1,9,3
4_ANPP,0,4,benzyl_fentanyl,locked_held_unknown,102,11,1,8,2
4_ANPP,0,4,benzyl_fentanyl,locked_stress,94,40,6,9,4
4_ANPP,0,4,benzyl_fentanyl,train_known,175,25,5,10,4
4_ANPP,0,4,benzyl_fentanyl,validation_known,53,9,5,10,3
4_ANPP,0,4,benzyl_fentanyl,validation_surrogate_unknown,23,4,1,5,2
4_ANPP,0,4,ethanol,excluded_outer_known_test,83,12,6,10,4
4_ANPP,0,4,ethanol,excluded_surrogate_training,24,5,1,4,2
4_ANPP,0,4,ethanol,locked_held_unknown,102,11,1,8,2
4_ANPP,0,4,ethanol,locked_stress,94,40,6,9,4
4_ANPP,0,4,ethanol,train_known,219,28,5,10,4
4_ANPP,0,4,ethanol,validation_known,69,11,5,10,3
4_ANPP,0,4,ethanol,validation_surrogate_unknown,7,2,1,2,2
4_ANPP,0,4,ethyl_paraoxon,excluded_outer_known_test,83,12,6,10,4
4_ANPP,0,4,ethyl_paraoxon,excluded_surrogate_training,27,4,1,4,2
4_ANPP,0,4,ethyl_paraoxon,locked_held_unknown,102,11,1,8,2
4_ANPP,0,4,ethyl_paraoxon,locked_stress,94,40,6,9,4
4_ANPP,0,4,ethyl_paraoxon,train_known,216,29,5,10,4
4_ANPP,0,4,ethyl_paraoxon,validation_known,69,12,5,10,3
4_ANPP,0,4,ethyl_paraoxon,validation_surrogate_unknown,7,1,1,2,2
