threshold,known_correct_and_accept_rate,known_accept_rate,unknown_reject_rate,unknown_false_accept_rate,open_set_accuracy,balanced_accuracy
0.0,0.040238450074515646,0.040238450074515646,1.0,0.0,0.16472114137483787,0.5201192250372578
7.285029278136811e-06,0.040238450074515646,0.040238450074515646,1.0,0.0,0.16472114137483787,0.5201192250372578
8.333819323524949e-06,0.043219076005961254,0.043219076005961254,1.0,0.0,0.16731517509727625,0.5216095380029806
6.034253856341824e-05,0.046199701937406856,0.046199701937406856,1.0,0.0,0.16990920881971466,0.5230998509687035
8.11893343779957e-05,0.04918032786885246,0.04918032786885246,1.0,0.0,0.17250324254215305,0.5245901639344263
8.314101323776412e-05,0.05216095380029806,0.05216095380029806,1.0,0.0,0.17509727626459143,0.526080476900149
9.951982410711936e-05,0.05514157973174367,0.05514157973174367,1.0,0.0,0.17769130998702984,0.5275707898658718
0.00011172558879479766,0.05812220566318927,0.05812220566318927,1.0,0.0,0.18028534370946822,0.5290611028315947
0.00012250138515810244,0.06110283159463487,0.06110283159463487,1.0,0.0,0.1828793774319066,0.5305514157973175
0.00014294940338004382,0.06408345752608048,0.06408345752608048,1.0,0.0,0.185473411154345,0.5320417287630402
0.00015531559765804556,0.06706408345752608,0.06706408345752608,1.0,0.0,0.1880674448767834,0.533532041728763
0.00017543295980431133,0.07004470938897168,0.07004470938897168,1.0,0.0,0.19066147859922178,0.5350223546944859
0.00019844543930958025,0.07302533532041729,0.07302533532041729,1.0,0.0,0.1932555123216602,0.5365126676602087
0.0002165786587283948,0.07600596125186289,0.07600596125186289,1.0,0.0,0.19584954604409857,0.5380029806259314
0.00025823571195360273,0.07749627421758569,0.07749627421758569,1.0,0.0,0.19714656290531776,0.5387481371087929
0.0002782104100333528,0.08047690014903129,0.08047690014903129,1.0,0.0,0.19974059662775617,0.5402384500745157
0.00031275692526833143,0.08345752608047691,0.08345752608047691,1.0,0.0,0.20233463035019456,0.5417287630402384
0.00032810440461616963,0.08643815201192251,0.08643815201192251,1.0,0.0,0.20492866407263294,0.5432190760059612
0.0003305123565951362,0.08941877794336811,0.08941877794336811,1.0,0.0,0.20752269779507135,0.5447093889716841
0.0003364467294886708,0.09239940387481371,0.09239940387481371,1.0,0.0,0.21011673151750973,0.5461997019374069
0.0003391342084796634,0.09538002980625931,0.09538002980625931,1.0,0.0,0.2127107652399481,0.5476900149031296
0.0003579587937565521,0.09836065573770492,0.09836065573770492,1.0,0.0,0.21530479896238652,0.5491803278688525
0.00037629234429914504,0.10134128166915052,0.10134128166915052,1.0,0.0,0.2178988326848249,0.5506706408345753
0.0003896135080140084,0.10432190760059612,0.10432190760059612,1.0,0.0,0.2204928664072633,0.5521609538002981
0.0004043685170472598,0.10730253353204174,0.10730253353204174,1.0,0.0,0.2230869001297017,0.5536512667660208
0.00041993565537268296,0.11028315946348734,0.11028315946348734,1.0,0.0,0.22568093385214008,0.5551415797317437
0.0004270631055987906,0.11326378539493294,0.11326378539493294,1.0,0.0,0.22827496757457846,0.5566318926974665
0.00043987209210172296,0.11624441132637854,0.11624441132637854,1.0,0.0,0.23086900129701687,0.5581222056631893
0.0004622377338819206,0.11773472429210134,0.11773472429210134,1.0,0.0,0.23216601815823606,0.5588673621460507
0.0005021894525270908,0.12071535022354694,0.12071535022354694,1.0,0.0,0.23476005188067445,0.5603576751117735
0.0005379914087825456,0.12369597615499255,0.12369597615499255,1.0,0.0,0.23735408560311283,0.5618479880774963
0.0005576599505729973,0.12667660208643816,0.12667660208643816,1.0,0.0,0.23994811932555124,0.5633383010432191
0.0005947132303845137,0.12965722801788376,0.12965722801788376,1.0,0.0,0.24254215304798962,0.5648286140089419
0.0006051010132068768,0.13263785394932937,0.13263785394932937,1.0,0.0,0.245136186770428,0.5663189269746647
0.0006663611289695839,0.13561847988077497,0.13561847988077497,1.0,0.0,0.24773022049286642,0.5678092399403875
0.0007440449553541839,0.13859910581222057,0.13859910581222057,1.0,0.0,0.2503242542153048,0.5692995529061102
0.0007580204997793773,0.14157973174366617,0.14157973174366617,1.0,0.0,0.2529182879377432,0.5707898658718331
0.000795887564891018,0.14456035767511177,0.14456035767511177,1.0,0.0,0.25551232166018156,0.5722801788375559
0.0008199091855203732,0.14754098360655737,0.14754098360655737,1.0,0.0,0.25810635538262,0.5737704918032787
0.0008545885619241746,0.15052160953800298,0.15052160953800298,1.0,0.0,0.2607003891050584,0.5752608047690015
0.0008961957835708747,0.15350223546944858,0.15350223546944858,1.0,0.0,0.26329442282749677,0.5767511177347243
0.0009574290132150055,0.15499254843517138,0.15499254843517138,1.0,0.0,0.26459143968871596,0.5774962742175856
0.0009667763661127537,0.15797317436661698,0.15797317436661698,1.0,0.0,0.26718547341115434,0.5789865871833085
0.0009875146206468346,0.16095380029806258,0.16095380029806258,1.0,0.0,0.2697795071335927,0.5804769001490313
0.0010051308316178622,0.16393442622950818,0.16393442622950818,1.0,0.0,0.2723735408560311,0.5819672131147541
0.0011272104049567127,0.16691505216095381,0.16691505216095381,1.0,0.0,0.27496757457846954,0.5834575260804769
0.0011891828849911689,0.16989567809239942,0.16989567809239942,1.0,0.0,0.2775616083009079,0.5849478390461997
0.0012479205033741891,0.17287630402384502,0.17287630402384502,1.0,0.0,0.2801556420233463,0.5864381520119225
0.0012948807852808386,0.17585692995529062,0.17585692995529062,1.0,0.0,0.2827496757457847,0.5879284649776453
0.0013101594289764763,0.17883755588673622,0.17883755588673622,1.0,0.0,0.2853437094682231,0.5894187779433682
0.0013284048356581482,0.18181818181818182,0.18181818181818182,1.0,0.0,0.28793774319066145,0.5909090909090909
0.0013890193309634925,0.18479880774962743,0.18479880774962743,1.0,0.0,0.2905317769130999,0.5923994038748137
0.0014764260849915445,0.18777943368107303,0.18777943368107303,1.0,0.0,0.2931258106355383,0.5938897168405365
0.001580229582032189,0.19076005961251863,0.19076005961251863,1.0,0.0,0.29571984435797666,0.5953800298062593
0.0016256179224001242,0.19225037257824143,0.19225037257824143,1.0,0.0,0.29701686121919585,0.5961251862891207
0.001659039640799165,0.19523099850968703,0.19523099850968703,1.0,0.0,0.29961089494163423,0.5976154992548435
0.001682412941590883,0.19821162444113263,0.19821162444113263,1.0,0.0,0.3022049286640726,0.5991058122205664
0.001723158435197547,0.20119225037257824,0.20119225037257824,1.0,0.0,0.30479896238651105,0.6005961251862891
0.001743527382495813,0.20417287630402384,0.20417287630402384,1.0,0.0,0.30739299610894943,0.6020864381520119
0.0018100155051797627,0.20715350223546944,0.20715350223546944,1.0,0.0,0.3099870298313878,0.6035767511177347
0.0018206591659691185,0.21013412816691504,0.21013412816691504,1.0,0.0,0.3125810635538262,0.6050670640834576
0.001832897844724357,0.21311475409836064,0.21311475409836064,1.0,0.0,0.3151750972762646,0.6065573770491803
0.0018782336555887014,0.21609538002980627,0.21609538002980627,1.0,0.0,0.31776913099870296,0.6080476900149031
0.001939577248413116,0.21907600596125187,0.21907600596125187,1.0,0.0,0.3203631647211414,0.6095380029806259
0.001995341433212161,0.22205663189269748,0.22205663189269748,1.0,0.0,0.3229571984435798,0.6110283159463488
0.002019058540463448,0.22503725782414308,0.22503725782414308,1.0,0.0,0.32555123216601817,0.6125186289120715
0.002080029767239467,0.22801788375558868,0.22801788375558868,1.0,0.0,0.32814526588845655,0.6140089418777943
0.00215325690805912,0.23099850968703428,0.23099850968703428,1.0,0.0,0.33073929961089493,0.6154992548435172
0.0021857088082470003,0.23248882265275708,0.23248882265275708,1.0,0.0,0.3320363164721141,0.6162444113263785
0.0022236004006117587,0.23546944858420268,0.23546944858420268,1.0,0.0,0.3346303501945525,0.6177347242921013
0.0023395944910589613,0.23845007451564829,0.23845007451564829,1.0,0.0,0.33722438391699094,0.6192250372578242
0.0023917507380247114,0.2414307004470939,0.2414307004470939,1.0,0.0,0.3398184176394293,0.620715350223547
0.002407319057965651,0.2444113263785395,0.2444113263785395,1.0,0.0,0.3424124513618677,0.6222056631892697
0.0024308152031153442,0.2473919523099851,0.2473919523099851,1.0,0.0,0.3450064850843061,0.6236959761549925
0.0024589759763330218,0.2503725782414307,0.2503725782414307,1.0,0.0,0.3476005188067445,0.6251862891207154
0.00248339157551527,0.2533532041728763,0.2533532041728763,1.0,0.0,0.35019455252918286,0.6266766020864382
