,"old:1,9-nonanedithiol",old:1-dodecanethiol,old:1-undecanethiol,old:6-mercapto-1-hexanol,feb26:aniline,old:benzene,feb26:benzene,old:benzenethiol,feb26:dcm,feb26:diethylamine,old:dmmp,old:etoh,old:meoh,"old:n,n-dimethylformamide",feb26:n-hexane,old:pyridine,feb26:pyridine,old:tris(2-ethylhexyl) phosphate
"old:1,9-nonanedithiol",1.0,0.5601951370057588,0.603925487033752,0.9340862976945353,0.0,0.0,0.0,0.0,0.4002661502189846,0.22104244758504887,0.20482292266805555,0.0,0.0,0.4314758049016158,0.04179193285187691,0.0,0.0,0.0
old:1-dodecanethiol,0.5601951370057588,1.0,0.9981686081950515,0.6000233845815278,0.0,0.0,0.0,0.0,0.10029458084803806,0.7622132497864538,0.0,0.5070619048074136,0.5078265237093466,0.05036183930722165,0.8200094246409501,0.0,0.0,0.7969439528676481
old:1-undecanethiol,0.603925487033752,0.9981686081950515,1.0,0.646650312795288,0.0,0.0,0.0,0.0,0.10754084876931101,0.7324381161354139,0.0,0.4828900458711181,0.4836182150613643,0.05400047439141585,0.7845868300115167,0.0,0.0,0.7589532921096347
old:6-mercapto-1-hexanol,0.9340862976945353,0.6000233845815278,0.646650312795288,1.0,0.0,0.0,0.0,0.0,0.24058523655737477,0.13156057744381114,0.025630079882922773,0.0,0.0,0.14964871026529442,0.06332001973288297,0.0,0.0,0.0
feb26:aniline,0.0,0.0,0.0,0.0,1.0,0.898375442977406,0.9092730838846091,0.7313681566489633,0.34483181439085836,0.002508823658121527,0.519216902780201,0.4799941190388225,0.3966625393494475,0.0,0.0194171697429006,0.8278793630292456,0.8348470182885278,0.0
old:benzene,0.0,0.0,0.0,0.0,0.898375442977406,1.0000000000000002,0.9976823637679516,0.7805281953090384,0.33365427314679513,0.003362610627333062,0.5023867609451376,0.46443536303499583,0.08595139973051277,0.0,0.01878777243503433,0.5084576233944941,0.5328693182010197,0.0
feb26:benzene,0.0,0.0,0.0,0.0,0.9092730838846091,0.9976823637679516,1.0,0.742665832560769,0.36229913946315695,0.0031776626581372625,0.5455176385168811,0.5043080395071335,0.09253237356405161,0.0,0.020400739128696336,0.5220536654737905,0.5407527389433722,0.0
old:benzenethiol,0.0,0.0,0.0,0.0,0.7313681566489633,0.7805281953090384,0.742665832560769,1.0,0.0,0.0039912035781940105,0.0,0.0,0.26617212388376243,0.0,0.0,0.558209009863209,0.6220559776486683,0.0
feb26:dcm,0.4002661502189846,0.10029458084803806,0.10754084876931101,0.24058523655737477,0.34483181439085836,0.33365427314679513,0.36229913946315695,0.0,1.0,0.38307857513931126,0.8526469729403622,0.42757934239274886,0.0,0.786903309444991,0.07568464187170584,0.1847833387231196,0.1567768297920663,0.0
feb26:diethylamine,0.22104244758504887,0.7622132497864538,0.7324381161354139,0.13156057744381114,0.002508823658121527,0.003362610627333062,0.0031776626581372625,0.0039912035781940105,0.38307857513931126,0.9999999999999999,0.21682981564945086,0.5648571990865192,0.5657089698214525,0.43635656266801964,0.9112506310985986,0.001111957883009396,0.0014103750617950558,0.8877802192943938
old:dmmp,0.20482292266805555,0.0,0.0,0.025630079882922773,0.519216902780201,0.5023867609451376,0.5455176385168811,0.0,0.8526469729403622,0.21682981564945086,1.0,0.6438107291293007,0.0,0.5375161985292667,0.026044032028636453,0.27823022358503835,0.2360605274664976,0.0
old:etoh,0.0,0.5070619048074136,0.4828900458711181,0.0,0.4799941190388225,0.46443536303499583,0.5043080395071335,0.0,0.42757934239274886,0.5648571990865192,0.6438107291293007,1.0,0.4054345960524326,0.0,0.6543321786817393,0.2572121021957755,0.21822799742150836,0.6362579237634589
old:meoh,0.0,0.5078265237093466,0.4836182150613643,0.0,0.3966625393494475,0.08595139973051277,0.09253237356405161,0.26617212388376243,0.0,0.5657089698214525,0.0,0.4054345960524326,1.0,0.0,0.6312059575111368,0.6980893222443306,0.6936191549756592,0.6372173625033873
"old:n,n-dimethylformamide",0.4314758049016158,0.05036183930722165,0.05400047439141585,0.14964871026529442,0.0,0.0,0.0,0.0,0.786903309444991,0.43635656266801964,0.5375161985292667,0.0,0.0,1.0,0.029318804219476517,0.0,0.0,0.0
feb26:n-hexane,0.04179193285187691,0.8200094246409501,0.7845868300115167,0.06332001973288297,0.0194171697429006,0.01878777243503433,0.020400739128696336,0.0,0.07568464187170584,0.9112506310985986,0.026044032028636453,0.6543321786817393,0.6312059575111368,0.029318804219476517,1.0,0.01040498383243675,0.008827962469773465,0.9905661625906834
old:pyridine,0.0,0.0,0.0,0.0,0.8278793630292456,0.5084576233944941,0.5220536654737905,0.558209009863209,0.1847833387231196,0.001111957883009396,0.27823022358503835,0.2572121021957755,0.6980893222443306,0.0,0.01040498383243675,1.0,0.9962446783107718,0.0
feb26:pyridine,0.0,0.0,0.0,0.0,0.8348470182885278,0.5328693182010197,0.5407527389433722,0.6220559776486683,0.1567768297920663,0.0014103750617950558,0.2360605274664976,0.21822799742150836,0.6936191549756592,0.0,0.008827962469773465,0.9962446783107718,1.0,0.0
old:tris(2-ethylhexyl) phosphate,0.0,0.7969439528676481,0.7589532921096347,0.0,0.0,0.0,0.0,0.0,0.0,0.8877802192943938,0.0,0.6362579237634589,0.6372173625033873,0.0,0.9905661625906834,0.0,0.0,1.0
