,"old:1,9-nonanedithiol",old:1-dodecanethiol,old:1-undecanethiol,old:6-mercapto-1-hexanol,feb26:aniline,old:benzene,feb26:benzene,old:benzenethiol,feb26:dcm,feb26:diethylamine,old:dmmp,old:etoh,old:meoh,"old:n,n-dimethylformamide",feb26:n-hexane,old:pyridine,feb26:pyridine,old:tris(2-ethylhexyl) phosphate
"old:1,9-nonanedithiol",0.9999999999999996,0.9677885635238469,0.9691365108263421,0.9762251275868453,0.8354188861002133,0.17297567514003365,0.20219251431980953,0.692852353010007,0.3183637434052311,0.7956668749058114,0.8015622510786202,0.8181554674834477,0.7444832399781794,0.74579385344073,0.7888799190635142,0.5606818239071603,0.27623963678485086,0.8764811441344886
old:1-dodecanethiol,0.9677885635238469,0.9999999999999993,0.9992910909079493,0.9706375489438552,0.8352758085833472,0.1821331556980448,0.20800877236706275,0.7177667388569515,0.26447409602275895,0.7742531013041575,0.7753203657626053,0.8710688990890669,0.7958896764064094,0.7502649389935921,0.8388560478449141,0.5636860593024844,0.2730635562781286,0.9342245033460529
old:1-undecanethiol,0.9691365108263421,0.9992910909079493,0.9999999999999998,0.9729872636028798,0.8292355168155895,0.18177244389169211,0.2074004147143423,0.7210823158805321,0.26418853966263334,0.7650476922380712,0.7748707461714943,0.872661941497856,0.7969604884151956,0.7491307508790837,0.8287866031822398,0.5622735592225551,0.2681898331874149,0.9308309035059301
old:6-mercapto-1-hexanol,0.9762251275868453,0.9706375489438552,0.9729872636028798,0.9999999999999998,0.8801630178258442,0.19676874285411763,0.22304482535178125,0.7605139926674205,0.3250322548677343,0.8119780802655752,0.8303286166918652,0.8862619290243396,0.8003814257455659,0.7522878041602417,0.8063296948727352,0.6001786677016026,0.2883656574361434,0.9191193016613746
feb26:aniline,0.8354188861002133,0.8352758085833472,0.8292355168155895,0.8801630178258442,1.0000000000000002,0.3020296360049622,0.36922984696614675,0.7436437834789789,0.3096886491209064,0.9195916830470947,0.8572540792861782,0.8372104782989563,0.766359014830551,0.6738092268158724,0.815194416140393,0.6769824164642652,0.4338639638551237,0.8974602729353927
old:benzene,0.17297567514003365,0.1821331556980448,0.18177244389169211,0.19676874285411763,0.3020296360049622,0.9999999999999998,0.3902973629755585,0.2741930045812477,0.03821163682334815,0.18812194293204057,0.1719026542489249,0.18508049920065256,0.18564552463571826,0.12293318897738395,0.17525880324534873,0.7143799994863184,0.34274119694368865,0.20184562690510305
feb26:benzene,0.20219251431980953,0.20800877236706275,0.2074004147143423,0.22304482535178125,0.36922984696614675,0.3902973629755585,0.9999999999999998,0.2097700259370163,0.06136928934383538,0.25116234114615016,0.2058958123261313,0.20222283293903498,0.19509107827311706,0.15075627743959374,0.2052231370017776,0.36516484136979654,0.798713701746553,0.24508469076877473
old:benzenethiol,0.692852353010007,0.7177667388569515,0.7210823158805321,0.7605139926674205,0.7436437834789789,0.2741930045812477,0.2097700259370163,1.0,0.22015886663230838,0.6125569955313319,0.6857317280913061,0.7661372084770297,0.7393825122257862,0.5512776211390844,0.562400551051552,0.6320610202185598,0.3045059151636355,0.7200787024294664
feb26:dcm,0.3183637434052311,0.26447409602275895,0.26418853966263334,0.3250322548677343,0.3096886491209064,0.03821163682334815,0.06136928934383538,0.22015886663230838,1.0,0.3700419570047651,0.38573853923154056,0.2180449781908037,0.196084245265514,0.201179328683642,0.25800175879863135,0.16173976353655858,0.07607200342694913,0.2543893769076283
feb26:diethylamine,0.7956668749058114,0.7742531013041575,0.7650476922380712,0.8119780802655752,0.9195916830470947,0.18812194293204057,0.25116234114615016,0.6125569955313319,0.3700419570047651,0.9999999999999996,0.829680105831414,0.7326268306117983,0.6563847053594094,0.6630619069911655,0.8397956754679657,0.5584627939272228,0.32332650660286294,0.837693115396997
old:dmmp,0.8015622510786202,0.7753203657626053,0.7748707461714943,0.8303286166918652,0.8572540792861782,0.1719026542489249,0.2058958123261313,0.6857317280913061,0.38573853923154056,0.829680105831414,1.0000000000000002,0.7668638487041944,0.6937606047177259,0.6060428065043187,0.7055258628695923,0.5463611133774141,0.2584318811241249,0.7954385125412724
old:etoh,0.8181554674834477,0.8710688990890669,0.872661941497856,0.8862619290243396,0.8372104782989563,0.18508049920065256,0.20222283293903498,0.7661372084770297,0.2180449781908037,0.7326268306117983,0.7668638487041944,1.0,0.8193437835172422,0.6873504011980819,0.7834426773244437,0.5751737596029818,0.2525019031794872,0.8948824272490323
old:meoh,0.7444832399781794,0.7958896764064094,0.7969604884151956,0.8003814257455659,0.766359014830551,0.18564552463571826,0.19509107827311706,0.7393825122257862,0.196084245265514,0.6563847053594094,0.6937606047177259,0.8193437835172422,1.0,0.616047023598874,0.6980079500480432,0.6931378126947326,0.37443323665156564,0.8304035078627614
"old:n,n-dimethylformamide",0.74579385344073,0.7502649389935921,0.7491307508790837,0.7522878041602417,0.6738092268158724,0.12293318897738395,0.15075627743959374,0.5512776211390844,0.201179328683642,0.6630619069911655,0.6060428065043187,0.6873504011980819,0.616047023598874,1.0,0.7153201201462653,0.424913336944621,0.1919336946868569,0.6983861545457178
feb26:n-hexane,0.7888799190635142,0.8388560478449141,0.8287866031822398,0.8063296948727352,0.815194416140393,0.17525880324534873,0.2052231370017776,0.562400551051552,0.25800175879863135,0.8397956754679657,0.7055258628695923,0.7834426773244437,0.6980079500480432,0.7153201201462653,1.0000000000000004,0.5329130137201811,0.2855167760676705,0.8832712293932391
old:pyridine,0.5606818239071603,0.5636860593024844,0.5622735592225551,0.6001786677016026,0.6769824164642652,0.7143799994863184,0.36516484136979654,0.6320610202185598,0.16173976353655858,0.5584627939272228,0.5463611133774141,0.5751737596029818,0.6931378126947326,0.424913336944621,0.5329130137201811,1.0000000000000002,0.4543421109634366,0.5973953197243719
feb26:pyridine,0.27623963678485086,0.2730635562781286,0.2681898331874149,0.2883656574361434,0.4338639638551237,0.34274119694368865,0.798713701746553,0.3045059151636355,0.07607200342694913,0.32332650660286294,0.2584318811241249,0.2525019031794872,0.37443323665156564,0.1919336946868569,0.2855167760676705,0.4543421109634366,1.0000000000000002,0.3117245284060715
old:tris(2-ethylhexyl) phosphate,0.8764811441344886,0.9342245033460529,0.9308309035059301,0.9191193016613746,0.8974602729353927,0.20184562690510305,0.24508469076877473,0.7200787024294664,0.2543893769076283,0.837693115396997,0.7954385125412724,0.8948824272490323,0.8304035078627614,0.6983861545457178,0.8832712293932391,0.5973953197243719,0.3117245284060715,1.0
