candidate_order,candidate_id,representation,model_family,parameters_json,subset,outer_fold,inner_validation_fold,seed,n_train,n_validation,n_train_groups,n_validation_groups,status,error,n_test,n_supported,n_unsupported,balanced_accuracy,macro_f1,accuracy,negative_log_likelihood,brier_multiclass,expected_calibration_error_10
0,arpls_minmax__random_forest__5868a78bb4,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",strict_core,0,4,2041263933,356,124,39,16,pass,,124,124,0,0.6348500601320151,0.6393351290857648,0.6612903225806451,0.9340246370713731,0.44338763440868717,0.12728494623705916
1,arpls_minmax__random_forest__be46512902,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",strict_core,0,4,1342993875,356,124,39,16,pass,,124,124,0,0.6609960110899962,0.6618850438726215,0.6854838709677419,0.922212003235557,0.4341983870968664,0.1424731182801453
2,arpls_minmax__random_forest__c12c070c12,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",strict_core,0,4,1992989630,356,124,39,16,pass,,124,124,0,0.6429971448768441,0.6465991879438956,0.6693548387096774,0.9540205015735176,0.45275285766822543,0.13317279373106206
3,arpls_minmax__random_forest__d66d6f3f62,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",strict_core,0,4,533798044,356,124,39,16,pass,,124,124,0,0.6286756267959276,0.6333671730921354,0.6532258064516129,0.9423250615116252,0.4461005561452282,0.12518129101774408
4,arpls_minmax__random_forest__7d1eec8702,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",strict_core,0,4,1593922279,356,124,39,16,pass,,124,124,0,0.6630564506504356,0.6667828905371235,0.6854838709677419,0.9520995546467212,0.449386383435556,0.15620626057766201
5,arpls_minmax__random_forest__262ae29fb1,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",strict_core,0,4,1234087350,356,124,39,16,pass,,124,124,0,0.6676604514950378,0.6694652889026289,0.6854838709677419,0.9525824031590108,0.44669796361711495,0.17852539312085475
6,arpls_minmax__random_forest__1b62c926f1,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",strict_core,0,4,1067387175,356,124,39,16,pass,,124,124,0,0.618820402654989,0.6185247318033442,0.6451612903225806,0.9324682901736147,0.442049085340049,0.12167692154250204
7,arpls_minmax__random_forest__f5b750ad51,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",strict_core,0,4,522413114,356,124,39,16,pass,,124,124,0,0.6763818887879037,0.6801429149771555,0.6935483870967742,0.9158391163242819,0.4339831193943795,0.13270088444978181
8,arpls_minmax__random_forest__03e2055c66,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",strict_core,0,4,695648933,356,124,39,16,pass,,124,124,0,0.6197470553673562,0.6260014330048241,0.6451612903225806,0.9312969631023338,0.4431254102905567,0.12910760942716404
9,arpls_minmax__random_forest__ce99612d47,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",strict_core,0,4,388207576,356,124,39,16,pass,,124,124,0,0.638672574292875,0.6429270167347936,0.6612903225806451,0.934497685872895,0.4444188681680588,0.12031820297870065
10,arpls_minmax__random_forest__414685bc7e,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",strict_core,0,4,1062884124,356,124,39,16,pass,,124,124,0,0.618820402654989,0.6194708471882385,0.6451612903225806,0.974813934743371,0.45912758959470606,0.15120987234139505
11,arpls_minmax__random_forest__ba1024e1bd,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",strict_core,0,4,1792254361,356,124,39,16,pass,,124,124,0,0.6585901567104574,0.6617481263392746,0.6774193548387096,0.9478290128519647,0.4450250266644534,0.17596728574413573
12,arpls_minmax__random_forest__5a9b8650f2,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 1}",strict_core,0,4,510962348,356,124,39,16,pass,,124,124,0,0.6963218485774877,0.6986108806666297,0.7096774193548387,0.8765588533341134,0.4179351254481494,0.1405913978502069
13,arpls_minmax__random_forest__83f0bbfd71,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 1}",strict_core,0,4,653701714,356,124,39,16,pass,,124,124,0,0.638672574292875,0.6451087112918868,0.6612903225806451,0.8798088321523194,0.4178069892474076,0.11123655914053923
14,arpls_minmax__random_forest__3a58587681,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 2}",strict_core,0,4,430185258,356,124,39,16,pass,,124,124,0,0.6583141691224398,0.6600548599677519,0.6774193548387096,0.9042016102544275,0.4297609731531736,0.10265865902603197
15,arpls_minmax__random_forest__baf457a363,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 2}",strict_core,0,4,1312263572,356,124,39,16,pass,,124,124,0,0.669859171738871,0.6724159482144374,0.6935483870967742,0.9002828003289441,0.4229489955443288,0.1281285683847856
16,arpls_minmax__random_forest__0c28cc6c96,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 4}",strict_core,0,4,861775516,356,124,39,16,pass,,124,124,0,0.6566714405060269,0.6581581017603068,0.6774193548387096,0.9249092420042848,0.4364498972958622,0.14461657116659304
17,arpls_minmax__random_forest__b14279f757,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 4}",strict_core,0,4,2069614526,356,124,39,16,pass,,124,124,0,0.6407330138533146,0.644965700370941,0.6612903225806451,0.9293137352525542,0.43602887250010763,0.14332764479242538
18,arpls_minmax__random_forest__5e308670e9,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": 0.1, ""min_samples_leaf"": 1}",strict_core,0,4,615322288,356,124,39,16,pass,,124,124,0,0.629809413644,0.6313869726566759,0.6532258064516129,0.9000615271414922,0.4280920559202997,0.10645511469758792
19,arpls_minmax__random_forest__ba463fb0d7,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": 0.1, ""min_samples_leaf"": 1}",strict_core,0,4,1693079380,356,124,39,16,pass,,124,124,0,0.6407984246330111,0.6406530003371244,0.6612903225806451,0.899372014244551,0.42765347100717216,0.10299499065092575
20,arpls_minmax__random_forest__20f5c6f432,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": 0.1, ""min_samples_leaf"": 2}",strict_core,0,4,1502568434,356,124,39,16,pass,,124,124,0,0.662776446611033,0.6637095354366931,0.6774193548387096,0.8955120141859243,0.4266838881423724,0.12408712884580732
21,arpls_minmax__random_forest__c739cc8caf,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": 0.1, ""min_samples_leaf"": 2}",strict_core,0,4,1040557337,356,124,39,16,pass,,124,124,0,0.6417250773453781,0.6461810244046795,0.6612903225806451,0.8925397785081999,0.4220908465299262,0.1493296764181417
22,arpls_minmax__random_forest__9567b8594a,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": 0.1, ""min_samples_leaf"": 4}",strict_core,0,4,337096349,356,124,39,16,pass,,124,124,0,0.6477428690774555,0.6504226067322569,0.6693548387096774,0.9320765563556698,0.44068635508589227,0.15448266789593532
