candidate_order,candidate_id,representation,model_family,parameters_json,subset,outer_fold,inner_validation_fold,seed,n_train,n_validation,n_train_groups,n_validation_groups,status,error,n_test,n_supported,n_unsupported,balanced_accuracy,macro_f1,accuracy,negative_log_likelihood,brier_multiclass,expected_calibration_error_10
0,arpls_minmax__random_forest__5868a78bb4,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",strict_core,0,3,89323817,360,120,43,12,pass,,120,120,0,0.6317918192918193,0.6221450971053825,0.6666666666666666,1.0040083565125153,0.4569566666667271,0.14600000000003083
1,arpls_minmax__random_forest__be46512902,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",strict_core,0,3,546986431,360,120,43,12,pass,,120,120,0,0.6918192918192919,0.687238693874275,0.7166666666666667,1.0173007892218326,0.4595311111111661,0.14594444444434712
2,arpls_minmax__random_forest__c12c070c12,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",strict_core,0,3,1924515847,360,120,43,12,pass,,120,120,0,0.6716269841269842,0.6712436176324745,0.7,1.0141125650943168,0.46239156831347594,0.13605551393146798
3,arpls_minmax__random_forest__d66d6f3f62,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",strict_core,0,3,260316144,360,120,43,12,pass,,120,120,0,0.657615995115995,0.6550717311668076,0.6833333333333333,1.0134328877586136,0.46321582544151263,0.1140633701877061
4,arpls_minmax__random_forest__7d1eec8702,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",strict_core,0,3,392535816,360,120,43,12,pass,,120,120,0,0.637973137973138,0.6262219726108295,0.6666666666666666,1.0294023764033895,0.46853758126618256,0.16558809924428614
5,arpls_minmax__random_forest__262ae29fb1,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",strict_core,0,3,1520226762,360,120,43,12,pass,,120,120,0,0.6558302808302808,0.6556084212180976,0.6833333333333333,1.025236338847246,0.4670238643388649,0.16872344542273127
6,arpls_minmax__random_forest__1b62c926f1,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",strict_core,0,3,1556087069,360,120,43,12,pass,,120,120,0,0.6376984126984127,0.6369904924174131,0.6666666666666666,1.0335867370423908,0.4656864386134119,0.09670617695841119
7,arpls_minmax__random_forest__f5b750ad51,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",strict_core,0,3,1989180899,360,120,43,12,pass,,120,120,0,0.6867368742368741,0.6800842293323497,0.7083333333333334,1.0229185311763207,0.46168846881194053,0.12779152573749308
8,arpls_minmax__random_forest__03e2055c66,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",strict_core,0,3,763064140,360,120,43,12,pass,,120,120,0,0.6846764346764347,0.6819614600357227,0.7083333333333334,1.0029535461926928,0.45806323557644174,0.13475782833659017
9,arpls_minmax__random_forest__ce99612d47,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",strict_core,0,3,1187598522,360,120,43,12,pass,,120,120,0,0.6537698412698412,0.654412766300638,0.6833333333333333,1.0204913675820864,0.4628775890429953,0.11828602112036936
