candidate_order,candidate_id,representation,model_family,parameters_json,subset,outer_fold,inner_validation_fold,seed,n_train,n_validation,n_train_groups,n_validation_groups,status,error,n_test,n_supported,n_unsupported,balanced_accuracy,macro_f1,accuracy,negative_log_likelihood,brier_multiclass,expected_calibration_error_10
14,arpls_minmax__random_forest__3a58587681,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 2}",strict_core,1,4,1841884873,355,124,41,16,pass,,124,124,0,0.6849191430958349,0.6927209991897161,0.7096774193548387,0.832809059431849,0.3749749788883006,0.14619206255482645
15,arpls_minmax__random_forest__baf457a363,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 2}",strict_core,1,4,1288660270,355,124,41,16,pass,,124,124,0,0.6803151422512325,0.691407645579661,0.7096774193548387,0.8424729469359256,0.37704450598823397,0.1636980148363016
16,arpls_minmax__random_forest__0c28cc6c96,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 4}",strict_core,1,4,516722040,355,124,41,16,pass,,124,124,0,0.6904497966528041,0.7022724796180173,0.7096774193548387,0.8365910938967639,0.37414930351576664,0.12394578210930844
17,arpls_minmax__random_forest__b14279f757,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 4}",strict_core,1,4,141850500,355,124,41,16,pass,,124,124,0,0.6985245852727056,0.7099558739255685,0.7258064516129032,0.8413156391615967,0.3775260706039248,0.12521631427020669
18,arpls_minmax__random_forest__5e308670e9,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": 0.1, ""min_samples_leaf"": 1}",strict_core,1,4,1639745136,355,124,41,16,pass,,124,124,0,0.6816595059076261,0.6923471660313767,0.7096774193548387,0.8261392385245657,0.3729911745129247,0.14572165892150563
19,arpls_minmax__random_forest__ba463fb0d7,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": 0.1, ""min_samples_leaf"": 1}",strict_core,1,4,375413380,355,124,41,16,pass,,124,124,0,0.6803151422512325,0.6899006933395851,0.7096774193548387,0.8388369654093759,0.3769808800983311,0.1286020309359962
20,arpls_minmax__random_forest__20f5c6f432,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": 0.1, ""min_samples_leaf"": 2}",strict_core,1,4,298704335,355,124,41,16,pass,,124,124,0,0.6928556510323428,0.7002527628190406,0.717741935483871,0.8450647322071861,0.38011863795502654,0.1494608281085882
21,arpls_minmax__random_forest__c739cc8caf,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": 0.1, ""min_samples_leaf"": 2}",strict_core,1,4,935463064,355,124,41,16,pass,,124,124,0,0.6981068743286788,0.7115459680243734,0.7258064516129032,0.8297204170332454,0.3766021874315277,0.12099398887395633
22,arpls_minmax__random_forest__9567b8594a,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": 0.1, ""min_samples_leaf"": 4}",strict_core,1,4,1988597474,355,124,41,16,pass,,124,124,0,0.6979685936452854,0.7108841788587282,0.717741935483871,0.8529037948629684,0.38190917021627585,0.12874249231132018
23,arpls_minmax__random_forest__8118d4f679,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": 0.1, ""min_samples_leaf"": 4}",strict_core,1,4,1407875967,355,124,41,16,pass,,124,124,0,0.7205026072507276,0.7309190220643033,0.7419354838709677,0.853099947563212,0.38007762312950405,0.14178324520894697
