candidate_order,candidate_id,representation,model_family,parameters_json,subset,outer_fold,inner_validation_fold,seed,n_train,n_validation,n_train_groups,n_validation_groups,status,error,n_test,n_supported,n_unsupported,balanced_accuracy,macro_f1,accuracy,negative_log_likelihood,brier_multiclass,expected_calibration_error_10
0,arpls_minmax__random_forest__5868a78bb4,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",strict_core,1,0,1653969857,361,118,43,14,pass,,118,118,0,0.7461904761904762,0.7494937277918738,0.7711864406779662,0.896960481542059,0.4020165725047365,0.1837288135599064
1,arpls_minmax__random_forest__be46512902,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",strict_core,1,0,655270519,361,118,43,14,pass,,118,118,0,0.7485714285714286,0.7539872891617078,0.7796610169491526,0.9046942584568669,0.40159359698684594,0.18050847457698432
2,arpls_minmax__random_forest__c12c070c12,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",strict_core,1,0,982577632,361,118,43,14,pass,,118,118,0,0.7628571428571428,0.7664399092970522,0.788135593220339,1.0797577614951164,0.4033604070092591,0.2024949030181304
3,arpls_minmax__random_forest__d66d6f3f62,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",strict_core,1,0,862893443,361,118,43,14,pass,,118,118,0,0.7485714285714286,0.7532182103610676,0.7711864406779662,0.8964887588137131,0.4052068590489469,0.17874934649277968
4,arpls_minmax__random_forest__7d1eec8702,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",strict_core,1,0,92027915,361,118,43,14,pass,,118,118,0,0.7485714285714284,0.7423893060550163,0.7542372881355932,0.9319008562548761,0.414240584477404,0.17977482303174014
5,arpls_minmax__random_forest__262ae29fb1,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",strict_core,1,0,2101589361,361,118,43,14,pass,,118,118,0,0.7390476190476191,0.7441012990562079,0.7627118644067796,0.9337026689955915,0.41633707669521713,0.18620576634199096
6,arpls_minmax__random_forest__1b62c926f1,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",strict_core,1,0,647648616,361,118,43,14,pass,,118,118,0,0.7509523809523809,0.7540532669270211,0.7796610169491526,0.8970100191624539,0.3987960894234518,0.18278992740241734
7,arpls_minmax__random_forest__f5b750ad51,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1}",strict_core,1,0,1905721096,361,118,43,14,pass,,118,118,0,0.7509523809523809,0.7523789830227721,0.7796610169491526,1.0772359738799957,0.39732316383709065,0.1739335728358224
8,arpls_minmax__random_forest__03e2055c66,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",strict_core,1,0,1992348965,361,118,43,14,pass,,118,118,0,0.7366666666666666,0.7323334409571344,0.7627118644067796,1.096374525548085,0.41009495447064725,0.178062980278857
9,arpls_minmax__random_forest__ce99612d47,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 2}",strict_core,1,0,388534387,361,118,43,14,pass,,118,118,0,0.7700000000000001,0.7729334157905587,0.7966101694915254,0.897110332170766,0.3990290328680207,0.2067137802128209
10,arpls_minmax__random_forest__414685bc7e,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",strict_core,1,0,934707049,361,118,43,14,pass,,118,118,0,0.7604761904761904,0.7608650870238263,0.7796610169491526,0.9319084810150904,0.4122156052693794,0.20635151804768087
11,arpls_minmax__random_forest__ba1024e1bd,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4}",strict_core,1,0,871404171,361,118,43,14,pass,,118,118,0,0.7699999999999999,0.7675059574976518,0.7796610169491526,0.9289188273911502,0.4138879396490098,0.20383448521665293
12,arpls_minmax__random_forest__5a9b8650f2,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 1}",strict_core,1,0,1242172175,361,118,43,14,pass,,118,118,0,0.769047619047619,0.7676801090066396,0.7796610169491526,1.0309625849436161,0.38789604519773657,0.1524293785321376
13,arpls_minmax__random_forest__83f0bbfd71,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 1}",strict_core,1,0,211263888,361,118,43,14,pass,,118,118,0,0.7571428571428572,0.7596184342505949,0.788135593220339,1.0251690116087178,0.3858851224105531,0.1698587570631967
14,arpls_minmax__random_forest__3a58587681,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 2}",strict_core,1,0,1000003778,361,118,43,14,pass,,118,118,0,0.738095238095238,0.7279629805471842,0.7457627118644068,0.8754006761781158,0.39632340565757523,0.1256379445170933
15,arpls_minmax__random_forest__baf457a363,arpls_minmax,random_forest,"{""master_weighting"": ""inverse_master_frequency"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 2}",strict_core,1,0,1091221358,361,118,43,14,pass,,118,118,0,0.7952380952380953,0.7914100637001859,0.8050847457627118,0.8473428674789341,0.3866655374705042,0.189931105345123
16,arpls_minmax__random_forest__0c28cc6c96,arpls_minmax,random_forest,"{""master_weighting"": ""uniform_rows"", ""max_depth"": null, ""max_features"": 0.1, ""min_samples_leaf"": 4}",strict_core,1,0,44651922,361,118,43,14,pass,,118,118,0,0.7300000000000001,0.7184677296478539,0.7288135593220338,1.0889991069163873,0.41002697870772653,0.12658038815876116
