evaluation_subset,domain_protocol,domain_type,heldout_domain,stage,scenario,training_scenario,model_family,configuration,representation,seed,n_train,n_test_partition,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,session3_row268,0.008032325182651982,0.004016162591325991,0.12806717887889615,0.8586419260327968,0.007781219812875081,19,7,0,0,1.0,0.3830013669129942,0.04832847975194454
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,session3_row271,0.007243937837364149,0.0036219689186820746,0.13555971059682043,0.8441360165679207,0.010806553262685027,38,8,0,0,2.0,0.4905784961862117,0.08968245796859264
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,session3_row275,0.001756345853694992,0.000878172926847496,0.0903554821332887,0.9404519881749014,0.004804576306445857,13,7,0,0,3.0,0.17462112715016068,0.023097258061170578
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,session3_row279,0.0010570354769711503,0.0005285177384855751,0.06052436222146633,0.9721706760404152,0.003709689462557435,12,8,0,0,1.5,0.2274730473256761,0.010778945870697498
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,session3_row283,0.00684788567867837,0.003423942839339185,0.13535301124557872,0.850234890688969,0.011336933726311794,41,2,0,0,2.0,0.16057845490100667,0.06623356603085995
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,session3_row286,0.008049415296070884,0.004024707648035442,0.12045065921955257,0.8373570623565252,0.015447795548409755,67,11,0,0,2.0,0.4400853156806429,0.08210045099258423
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,session3_row288,0.000836601139104055,0.0004183005695520275,0.053859382883212695,0.9800228761058544,0.0030408190031708466,11,9,0,0,1.0,0.20704800526933032,0.015497831627726555
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,session3_row291,0.0007755291356023116,0.0003877645678011558,0.05169082978654344,0.9808304837028154,0.0031180629694634782,11,10,0,0,2.5,0.19482240242607413,0.014228415675461292
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,session3_row294,0.0007264531313707594,0.0003632265656853797,0.052661785224950595,0.9802675959824724,0.003863409875526226,13,10,0,0,3.0,0.1933245083087719,0.028137593064457178
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,session3_row303,0.014793605185573117,0.007396802592786559,0.1583256230100751,0.7767487560404147,0.01091827017770681,30,7,0,0,1.0,0.15333722049522833,0.03149211406707764
