identifier,chemical_dimension,nuisance_dimension,chemical_supervision_weight,instrument_supervision_weight,sensor_supervision_weight,condition_decoder,instrument_adversary_weight,sensor_adversary_weight,same_master_consistency_weight,cross_reconstruction_weight,dependence_weight,beta_target,maximum_epoch,learning_rate,weight_decay,batch_size,gradient_clip_norm,kl_normalization_divisor,checkpoint_epoch,representation,model_family,run_seed,n_train,n_validation,parameter_count,state_sha256,raw_target_balanced_accuracy,raw_instrument_probe_increment,raw_sensor_probe_increment,raw_same_master_cross_instrument_distance,real_pair_count,chemical_real_pair_correlation_distance,chemical_target_balanced_accuracy,chemical_target_macro_f1_supported,chemical_instrument_probe_increment,chemical_sensor_probe_increment,chemical_same_master_cross_instrument_distance,chemical_different_target_cross_instrument_distance,chemical_cross_instrument_separation_margin,nuisance_target_balanced_accuracy,nuisance_target_macro_f1_supported,nuisance_instrument_probe_increment,nuisance_sensor_probe_increment,nuisance_same_master_cross_instrument_distance,nuisance_different_target_cross_instrument_distance,nuisance_cross_instrument_separation_margin,union_target_balanced_accuracy,union_target_macro_f1_supported,union_instrument_probe_increment,union_sensor_probe_increment,union_same_master_cross_instrument_distance,union_different_target_cross_instrument_distance,union_cross_instrument_separation_margin,corrupted_chemical_target_balanced_accuracy,corrupted_chemical_prediction_agreement,corrupted_chemical_cosine_drift,corrupted_nuisance_target_balanced_accuracy,corrupted_nuisance_prediction_agreement,corrupted_nuisance_cosine_drift,corrupted_union_target_balanced_accuracy,corrupted_union_prediction_agreement,corrupted_union_cosine_drift,chemical_vae_kl_unnormalized_per_observation,chemical_vae_kl_normalized,chemical_vae_mean_kl_per_latent_dimension,chemical_vae_median_kl_per_latent_dimension,chemical_vae_max_kl_per_latent_dimension,chemical_vae_active_units_var_mu_gt_0_01,chemical_vae_dimensions_mean_kl_gt_0_01,chemical_vae_posterior_mean_absolute_mu,chemical_vae_posterior_mean_log_variance,chemical_vae_posterior_sample_reconstruction_variability,nuisance_vae_kl_unnormalized_per_observation,nuisance_vae_kl_normalized,nuisance_vae_mean_kl_per_latent_dimension,nuisance_vae_median_kl_per_latent_dimension,nuisance_vae_max_kl_per_latent_dimension,nuisance_vae_active_units_var_mu_gt_0_01,nuisance_vae_dimensions_mean_kl_gt_0_01,nuisance_vae_posterior_mean_absolute_mu,nuisance_vae_posterior_mean_log_variance,nuisance_vae_posterior_sample_reconstruction_variability,union_vae_kl_unnormalized_per_observation,union_vae_kl_normalized,union_vae_mean_kl_per_latent_dimension,union_vae_median_kl_per_latent_dimension,union_vae_max_kl_per_latent_dimension,union_vae_active_units_var_mu_gt_0_01,union_vae_dimensions_mean_kl_gt_0_01,union_vae_posterior_mean_absolute_mu,union_vae_posterior_mean_log_variance,union_vae_posterior_sample_reconstruction_variability,partition_cross_covariance_mean_square,partition_maximum_canonical_correlation,clean_reconstruction_mse,clean_reconstruction_smooth_l1,clean_reconstruction_spectral_angle,clean_reconstruction_median_row_correlation,clean_reconstruction_first_derivative_mae,clean_repeatable_peak_recall,clean_median_peak_shift_cm1,clean_median_absolute_relative_peak_width_change,clean_median_absolute_peak_prominence_change,corrupted_reconstruction_mse,corrupted_reconstruction_smooth_l1,corrupted_reconstruction_spectral_angle,corrupted_reconstruction_median_row_correlation,corrupted_reconstruction_first_derivative_mae,corrupted_repeatable_peak_recall,corrupted_median_peak_shift_cm1,corrupted_median_absolute_relative_peak_width_change,corrupted_median_absolute_peak_prominence_change,cross_reconstruction_reconstruction_mse,cross_reconstruction_reconstruction_smooth_l1,cross_reconstruction_reconstruction_spectral_angle,cross_reconstruction_reconstruction_median_row_correlation,cross_reconstruction_reconstruction_first_derivative_mae,cross_reconstruction_repeatable_peak_recall,cross_reconstruction_median_peak_shift_cm1,cross_reconstruction_median_absolute_relative_peak_width_change,cross_reconstruction_median_absolute_peak_prominence_change,stage,outer_fold,inner_fold
zc48__zn16__chem0__ni0__ns0__cond0__ai0p00125__as0__pair0__xrec0__dep0__e500,48,16,0.0,0.0,0.0,False,0.00125,0.0,0.0,0.0,0.0,0.25,500,0.001,1e-05,64,5.0,1401,500,arpls_minmax,structured_vae,1712114847,361,119,1169412,312f9c28460160c9e39c080e762381b06b18260ac0ef7ec2e41bf7bdac782ed5,0.6709364638303833,0.5995495495495495,0.42513227513227514,0.6707542637983958,117,0.584975004196167,0.6535895250548732,0.6417946651833695,0.5855534105534106,0.3825863678804855,0.6680680296540688,1.0158214491131168,0.34775341945904803,0.4359540154734663,0.4225241425241425,0.5382882882882883,0.19381287443206952,0.9201551002840842,1.0502820524120207,0.13012695212793646,0.6674821759367362,0.6576423362137647,0.6189189189189189,0.4182539682539682,0.7931741280581361,1.042042141554868,0.24886801349673182,0.5714453058111115,0.7647058823529411,0.14327099919319153,0.3255189604445898,0.453781512605042,0.3424864411354065,0.6066359610205639,0.7478991596638656,0.20085139572620392,8.812570571367214,0.006290200265072958,0.18359522023681696,0.017969014342269787,2.263113916441072,28,43,0.18547389763119734,-0.46575260120651274,,7.033274018991963,0.0050201813126280964,0.43957962618699775,0.03946835678736682,2.093796059928822,14,16,0.36221407263157834,-0.848025082569903,,15.84584459035918,0.011310381577701057,0.24759132172436213,0.02033336305311732,2.263113916441072,42,59,0.2296589413812926,-0.5613207215473603,0.0217114370316267,0.048553875438520834,0.9964706275400246,0.004926971786821567,0.0024634858934107834,0.06767096629263891,0.9501576145039454,0.016424237543664,0.5415244596131968,2.0,0.24214169335721134,0.051381900906562805,0.013367778648433986,0.006683889324216993,0.1140541956407838,0.8984735673067569,0.017322790537671932,0.5324232081911263,2.0,0.322482485120951,0.06422934494912624,0.02178366929783527,0.010891834648917634,0.1309134218847087,0.8070025612039565,0.01760234251383114,0.4993342210386152,2.0,0.35273274433462454,0.08632206520996988,instrument_adversary,0,1
zc48__zn16__chem0__ni0__ns0__cond0__ai0p0025__as0__pair0__xrec0__dep0__e500,48,16,0.0,0.0,0.0,False,0.0025,0.0,0.0,0.0,0.0,0.25,500,0.001,1e-05,64,5.0,1401,500,arpls_minmax,structured_vae,1712114847,361,119,1169412,28a11c38e37d2c82215cc6c1786cd458474df229cd32de846fcbc85f470fb8be,0.6709364638303833,0.5995495495495495,0.42513227513227514,0.6707542637983958,117,0.5870171189308167,0.6317924080387304,0.6314782816253884,0.6049227799227799,0.40920634920634924,0.6752279969099174,1.0166021823971148,0.34137418548719733,0.47577464624293647,0.46590675294508044,0.5292792792792792,0.2865619634350284,0.9094947587204664,1.0520818802007967,0.14258712148033037,0.6589540621740688,0.6511733495945945,0.6488738738738739,0.43280423280423275,0.7930528745856337,1.044014741549447,0.2509618669638133,0.5133178443001915,0.7226890756302521,0.15945713222026825,0.2565378897554445,0.37815126050420167,0.3095628321170807,0.5661202696181448,0.7394957983193278,0.1928199678659439,7.595799942701593,0.005421698745682793,0.1582458321396165,0.019752805781687133,2.409829474850517,45,46,0.18638453985682946,-0.41374808297760646,,8.770931964067628,0.00626047963173992,0.5481832477542267,0.0481399465881195,2.291127839620583,16,16,0.4148813051679634,-1.0155620847585585,,16.366731906769218,0.01168217837742271,0.255730186043269,0.021945512586687123,2.409829474850517,61,62,0.24350873118461294,-0.5642015834228444,0.02189631573855877,0.04920238253313725,0.9943619589159061,0.005151188755005669,0.0025755943775028346,0.06830673586771087,0.9530254169022639,0.01652552918013545,0.5506257110352674,2.0,0.2626215547417122,0.05254733096808195,0.016031073981283585,0.008015536990641793,0.11765407472857581,0.9011021956166606,0.017552996041977423,0.5335608646188851,2.0,0.3070432342105547,0.06678502261638641,0.015652709188850183,0.007826354594425091,0.1187904134733683,0.8242723491785088,0.01752785890897573,0.5233022636484687,2.0,0.3996407942009097,0.07878200523555279,instrument_adversary,0,1
zc48__zn16__chem0__ni0__ns0__cond0__ai0p005__as0__pair0__xrec0__dep0__e500,48,16,0.0,0.0,0.0,False,0.005,0.0,0.0,0.0,0.0,0.25,500,0.001,1e-05,64,5.0,1401,500,arpls_minmax,structured_vae,1712114847,361,119,1169412,7388f48cfae5c92373dedbb2b69fd441bca61b024ca725dfa7e684c30a60dab9,0.6709364638303833,0.5995495495495495,0.42513227513227514,0.6707542637983958,117,0.6045554280281067,0.6054923800183689,0.6041317857519948,0.6035714285714285,0.39576719576719566,0.7029810402555705,1.0204578855992157,0.3174768453436452,0.4592743504724544,0.4530734492353683,0.56010296010296,0.3069512759915236,0.8452378983565983,1.0501300851562736,0.20489218679967525,0.5916207444076028,0.5901880889208078,0.6668918918918919,0.447089947089947,0.7923717683575059,1.045610988622405,0.2532392202648991,0.471813851398683,0.6386554621848739,0.1841248869895935,0.407817680848083,0.7058823529411765,0.22243811190128326,0.4967572269182273,0.6638655462184874,0.18398956954479218,6.147908505644154,0.0043882287691963985,0.12808142720091986,0.02536267152889046,2.2354907836904268,48,48,0.2005343061072908,-0.33210867152693674,,10.02951195122544,0.007158823662544924,0.6268444969515902,0.10606539539625287,2.319574469051477,16,16,0.4540096606461328,-1.1554381637371776,,16.177420456869594,0.011547052431741324,0.25277219463858747,0.0289379511506465,2.319574469051477,64,64,0.2639031447420013,-0.537941044579497,0.021708888933062553,0.04907914766491873,0.9961250100204975,0.0049408513395522245,0.0024704256697761122,0.06803776460394285,0.9563985707300658,0.01648115063772966,0.5517633674630261,2.0,0.22644795486869662,0.049360889941453934,0.013797431100545689,0.006898715550272844,0.11250723206367844,0.9099086267278303,0.017309803846197312,0.540386803185438,2.0,0.29251117060373366,0.06913767568767071,0.010776383493134051,0.005388191746567026,0.10461434761795092,0.8863032911382305,0.01718028441631848,0.5472703062583223,2.0,0.3220939185532683,0.0842333622276783,instrument_adversary,0,1
zc48__zn16__chem0__ni0__ns0__cond0__ai0p00125__as0__pair0__xrec0__dep0__e500,48,16,0.0,0.0,0.0,False,0.00125,0.0,0.0,0.0,0.0,0.25,500,0.001,1e-05,64,5.0,1401,500,arpls_minmax,structured_vae,1225221153,363,117,1169412,776025628eec56bd9f647df4d7e9ee208e9ddfdb221afa75e9e51679945ecee4,0.768140589569161,0.6151014109347444,0.48355825461088614,0.7343894507846789,117,0.7145951986312866,0.7238378684807255,0.6968845053871824,0.6318011463844797,0.4944669365721997,0.7674146732421979,1.006799895092658,0.23938522185046007,0.5687074829931972,0.5446757871652741,0.5265652557319223,0.22566351776878085,0.8503598258478964,0.9572379308148318,0.1068781049669354,0.7304988662131519,0.6972170836297905,0.6269069664902998,0.49829059829059824,0.788111312438476,1.0009641842875248,0.21285287184904877,0.5907596371882086,0.5982905982905983,0.1584925800561905,0.42372448979591837,0.5641025641025641,0.27820101380348206,0.6623299319727891,0.6837606837606838,0.16516435146331787,12.806403042437303,0.00914090152922006,0.26680006338411044,0.0144380466799938,2.2306390631749196,29,37,0.22746966265134055,-0.5848276197067697,,3.330771647067495,0.002377424444730546,0.20817322794171847,0.026621359010629085,2.245885173386136,16,16,0.23262262230720931,-0.47509036293400314,,16.1371746895048,0.011518325973950607,0.25214335452351244,0.016524991555401766,2.245885173386136,45,53,0.22875790256530776,-0.557393305513578,0.024591196328401566,0.05243166862145476,0.9971940028506106,0.0069984935441868715,0.0034992467720934358,0.07243485281939084,0.9231561742542908,0.023130195733271557,0.3997060984570169,2.0,0.3673873479577582,0.07284874655306339,0.01475147139929246,0.00737573569964623,0.1039374327673045,0.8570941100293182,0.023747155605349766,0.3570903747244673,2.0,0.5194979330837803,0.08864734694361687,0.04136839864282859,0.020684199321414295,0.18036231645595585,0.31800468852239755,0.024741860451456245,0.3492894540014959,2.0,0.8656982495948913,0.11305945366621017,instrument_adversary,0,2
zc48__zn16__chem0__ni0__ns0__cond0__ai0p0025__as0__pair0__xrec0__dep0__e500,48,16,0.0,0.0,0.0,False,0.0025,0.0,0.0,0.0,0.0,0.25,500,0.001,1e-05,64,5.0,1401,500,arpls_minmax,structured_vae,1225221153,363,117,1169412,af060812a63ab15d59ac2b3bcb2e5ab1d4ffbdaba68bfe6b823fa75ece5c1596,0.768140589569161,0.6151014109347444,0.48355825461088614,0.7343894507846789,117,0.6444548964500427,0.6854308390022676,0.6547314638019154,0.598589065255732,0.45384615384615384,0.7518595538914067,1.0017742644315706,0.2499147105401639,0.47545351473922903,0.44512471655328795,0.5122905643738977,0.3149797570850202,0.9254061924783807,1.0015335253684947,0.07612733289011397,0.6892573696145126,0.6625453576254491,0.5708553791887125,0.49999999999999994,0.8069664260342683,1.0032761063348328,0.1963096803005645,0.5707766439909298,0.6239316239316239,0.16106902062892914,0.31811224489795925,0.452991452991453,0.23090152442455292,0.5801303854875284,0.6495726495726496,0.15871857106685638,8.496946302587407,0.006064915276650541,0.17701971463723765,0.016528633709875798,1.5789913197110976,40,42,0.202595350153972,-0.44347610811976657,,7.5331482038841875,0.005376979446027257,0.4708217627427618,0.03364927448403623,2.5768320547308057,15,15,0.3548635667216914,-0.8608610244761784,,16.030094506471592,0.011441894722677795,0.2504702266636187,0.018756919839164103,2.5768320547308057,55,57,0.24066240429590186,-0.5478223372088695,0.025629961863160133,0.05090145009597435,0.9972364009798181,0.006884599662713806,0.003442299831356903,0.07198544320163501,0.9172592544597022,0.023098867567047425,0.39750183688464363,2.0,0.3936408309728955,0.07603100838605314,0.014801356849917695,0.007400678424958848,0.10383028908280373,0.8609392047315688,0.023729589665565244,0.3695811903012491,2.0,0.4640476174537381,0.08089374503470026,0.017919110728197067,0.008959555364098534,0.11607142217239673,0.6809538567212906,0.02414373476972771,0.3717277486910995,2.0,0.7202893103724559,0.10858681797981262,instrument_adversary,0,2
zc48__zn16__chem0__ni0__ns0__cond0__ai0p005__as0__pair0__xrec0__dep0__e500,48,16,0.0,0.0,0.0,False,0.005,0.0,0.0,0.0,0.0,0.25,500,0.001,1e-05,64,5.0,1401,500,arpls_minmax,structured_vae,1225221153,363,117,1169412,ca3451f2586aefc9af76f8c3fbbbaa7edd17f800448c167df18368c1e58ced17,0.768140589569161,0.6151014109347444,0.48355825461088614,0.7343894507846789,117,0.6617293357849121,0.7256802721088436,0.7040975639292418,0.5775903880070548,0.502361673414305,0.7633956998109271,0.9812706076033121,0.21787490779238494,0.649858276643991,0.6103352237753229,0.5487433862433861,0.37971210076473244,0.8522520021661195,1.037798676165772,0.18554667399965252,0.7130668934240363,0.6856368246999557,0.5931768077601411,0.49999999999999994,0.8202735954891354,1.0222655897390016,0.20199199424986625,0.5683673469387756,0.6153846153846154,0.20778149366378784,0.5330215419501133,0.5982905982905983,0.18239383399486542,0.573327664399093,0.6239316239316239,0.17733529210090637,5.989013302322227,0.004274813206511225,0.12477111046504635,0.02369657895703793,1.2839119416379385,48,47,0.19328958029814267,-0.35407328115887016,,9.819044046790903,0.007008596750029196,0.6136902529244315,0.10119011169665647,2.710283216466271,16,16,0.4467708976183367,-1.0735709803735114,,15.808057349113128,0.01128340995654042,0.24700089607989265,0.024668776468738843,2.710283216466271,64,63,0.2566599096281912,-0.5339477059625304,0.025695335119962692,0.04461676811759732,0.9956178531797709,0.00690071682824666,0.00345035841412333,0.07237001045777848,0.9254535575942417,0.023094437543701465,0.3938280675973549,2.0,0.3640693540990137,0.07068964093923569,0.015108347623431044,0.007554173811715522,0.10278400341942683,0.8537860028038013,0.023684721416125383,0.3857457751653196,2.0,0.5237991206832723,0.08110372722148895,0.010781203294016998,0.005390601647008499,0.09536968528996086,0.8150305711017785,0.02380695641514009,0.40089753178758414,2.0,0.5306004572241242,0.0992191731929779,instrument_adversary,0,2
zc48__zn16__chem0__ni0__ns0__cond0__ai0p00125__as0__pair0__xrec0__dep0__e500,48,16,0.0,0.0,0.0,False,0.00125,0.0,0.0,0.0,0.0,0.25,500,0.001,1e-05,64,5.0,1401,500,arpls_minmax,structured_vae,747235148,360,120,1169412,54cc19aa78d8f3b00cd41e51c7b102cc3f5b0e849f111e1456cb4f84dfa86a44,0.6901098901098901,0.5825148809523809,0.39429558745348214,0.6775316464734245,119,0.6457462310791016,0.6295634920634922,0.6307566078907543,0.5095982142857143,0.37917521075415794,0.7188721612825261,1.0044488980872919,0.2855767368047658,0.537469474969475,0.5368473366127748,0.4507440476190476,0.30240753398648124,0.9149682577048148,1.0310819762233845,0.11611371851856966,0.6662698412698412,0.6623823320573523,0.565625,0.40170539986329457,0.7883011915467002,1.0266498414491962,0.23834864990249605,0.53489010989011,0.6416666666666667,0.14221572875976562,0.41282051282051285,0.5916666666666667,0.28989607095718384,0.6162698412698413,0.75,0.1768912672996521,8.6461236952467,0.006171394500532976,0.18012757698430626,0.01423232354711234,2.213810450459528,36,36,0.19949752992731393,-0.4038924877121897,,7.213555857329931,0.005148862139421792,0.45084724108312074,0.03157735324928791,2.4313736550656317,15,15,0.3609259475757123,-0.8425820324725313,,15.859679552576631,0.011320256639954769,0.2478074930090099,0.01592666304007021,2.4313736550656317,51,51,0.23985463433941354,-0.5135648739022751,0.022664468735456467,0.05568681012841096,0.9969591516676685,0.006361278225731102,0.003180639112865551,0.07148643038537879,0.9509640523287168,0.018270858135193024,0.5213675213675214,2.0,0.26116088489398753,0.054388053715229034,0.014027391249730244,0.007013695624865122,0.110447780546001,0.8995052316398962,0.018947210670425655,0.5064102564102564,2.0,0.3306733713045551,0.08255438506603241,0.023393091545076256,0.011696545772538128,0.12832331745666206,0.6628694251361649,0.020324144763076247,0.47532729103726085,2.0,0.4275443291519744,0.08468436263501644,instrument_adversary,0,3
zc48__zn16__chem0__ni0__ns0__cond0__ai0p0025__as0__pair0__xrec0__dep0__e500,48,16,0.0,0.0,0.0,False,0.0025,0.0,0.0,0.0,0.0,0.25,500,0.001,1e-05,64,5.0,1401,500,arpls_minmax,structured_vae,747235148,360,120,1169412,eb3183709d42b3363d26180ab4e6bbceed56bea226247c48110f3f33b49d4978,0.6901098901098901,0.5825148809523809,0.39429558745348214,0.6775316464734245,119,0.6623436212539673,0.6653540903540903,0.6596550817369343,0.5578125,0.3553391053391053,0.7186693772152587,1.0098198072004667,0.291150429985208,0.5342490842490842,0.5248615149488403,0.4481398809523809,0.33671489329384063,0.8734657238204996,1.0517646969377856,0.17829897311728604,0.6494047619047619,0.6459730745445033,0.5822916666666667,0.418989898989899,0.7875735217874701,1.0360466138389588,0.2484730920514887,0.508028083028083,0.6666666666666666,0.15208466351032257,0.34468864468864474,0.5416666666666666,0.2605859041213989,0.5654761904761905,0.7083333333333334,0.18935184180736542,6.992141382679247,0.00499082182917862,0.145669612139151,0.018803519679938874,2.1556255711917625,45,43,0.19151323940811077,-0.3558600922143935,,8.99299115867902,0.006418980127536774,0.562061947417439,0.04035249608261243,2.4516323934120696,16,16,0.4343144322920428,-1.0254415255361284,,15.985132541358269,0.011409801956715395,0.24976769595872297,0.02298251361239892,2.4516323934120696,61,59,0.25221353762909376,-0.5232554505448272,0.022876670584082603,0.04049526752233721,0.9962128128185026,0.00640275763401972,0.00320137881700986,0.07119949127106866,0.9516348033160611,0.018224389720634216,0.5299145299145299,2.0,0.254250441606392,0.05308907479047775,0.014127578776162348,0.007063789388081174,0.11192168609501803,0.8955915882740122,0.018881982612309015,0.532051282051282,2.0,0.2892425448555639,0.07595796149689704,0.01765241616755843,0.008826208083779215,0.11413081815093053,0.7110091764185513,0.02008255910480977,0.4702920443101712,2.0,0.37227155938003914,0.08201218396425247,instrument_adversary,0,3
zc48__zn16__chem0__ni0__ns0__cond0__ai0p005__as0__pair0__xrec0__dep0__e500,48,16,0.0,0.0,0.0,False,0.005,0.0,0.0,0.0,0.0,0.25,500,0.001,1e-05,64,5.0,1401,500,arpls_minmax,structured_vae,747235148,360,120,1169412,61cd4d6a65f0cb8d84278035b014a1b7c0be028e764a1dee96f5eec59607e288,0.6901098901098901,0.5825148809523809,0.39429558745348214,0.6775316464734245,119,0.6529715657234192,0.6452380952380954,0.643555391228958,0.5640624999999999,0.38525385433280157,0.7312369573783207,0.9974365233841769,0.26619956600585615,0.5948412698412698,0.5868596152989453,0.4608630952380952,0.35704450520239983,0.8424216356727626,1.0539702663888315,0.2115486307160689,0.6570665445665446,0.6538258038258038,0.5630208333333333,0.3858707374496847,0.778649167685242,1.0397378005118036,0.2610886328265617,0.5133699633699633,0.6416666666666667,0.1708575189113617,0.46971916971916977,0.5666666666666667,0.2395436316728592,0.609981684981685,0.6583333333333333,0.1897323578596115,6.047257906902411,0.004316386800073098,0.12598453972713353,0.029186375621971457,1.580310969761588,48,48,0.2078876109777462,-0.32037283019742896,,10.60486272409107,0.0075694951635196794,0.6628039202556919,0.055698188164939696,2.8261250981959116,16,16,0.4619385741468856,-1.1891811324776351,,16.65212063099348,0.011885881963592776,0.2601893848592731,0.03200034852483937,2.8261250981959116,64,64,0.271400351770031,-0.5375749057674805,0.022283675149083138,0.0417230946563207,0.9954475766861767,0.006340067243489854,0.003170033621744927,0.07120991432611892,0.9514396444390447,0.018258010258094638,0.532051282051282,2.0,0.26286311123127987,0.048998795449733734,0.01424837205948995,0.007124186029744975,0.11175173522227068,0.9019083815260409,0.018989240684514463,0.5405982905982906,2.0,0.29772614353204163,0.0742135476320982,0.011799270717364627,0.005899635358682313,0.10201662012087531,0.8480159510920856,0.01988815320840467,0.47935548841893255,2.0,0.31069537687856197,0.08493775874376297,instrument_adversary,0,3
zc48__zn16__chem0__ni0__ns0__cond0__ai0p00125__as0__pair0__xrec0__dep0__e500,48,16,0.0,0.0,0.0,False,0.00125,0.0,0.0,0.0,0.0,0.25,500,0.001,1e-05,64,5.0,1401,500,arpls_minmax,structured_vae,525974317,356,124,1169412,e984228e8801256f0e79e41a4f106f321958fc8a7faf57d22f5c278ed5c95ceb,0.6826974717012311,0.6196428571428572,0.3957609710550887,0.6494197382483371,124,0.551350474357605,0.6999114085580251,0.693637526080006,0.5499338624338624,0.38880952380952394,0.6213712476020635,1.0227649413290132,0.40139369372694966,0.5174078740808065,0.5089607908792482,0.4012566137566138,0.24877217553688136,0.9070107374080392,1.0621406641510187,0.15512992674297954,0.7128191357514666,0.7032100357674625,0.5872354497354497,0.3821101774042951,0.7257369611152383,1.0355341048214022,0.30979714370616385,0.5795888530850937,0.6451612903225806,0.14608195424079895,0.37772315403894346,0.5887096774193549,0.3068360686302185,0.6066035050997457,0.6532258064516129,0.16408684849739075,9.479685636739802,0.0067663709041683095,0.19749345076541247,0.014250598458047884,2.4214952720059104,28,40,0.19905582374688477,-0.4757024378723047,,5.394500627213613,0.003850464402008289,0.33715628920085094,0.020639528874429387,2.0221292224682683,14,15,0.2728725027748536,-0.6387107533861537,,14.874186263953415,0.0106168353061766,0.2324091603742721,0.01483737976727596,2.4214952720059104,42,55,0.21750999350387698,-0.5164545167507669,0.024373389780521393,0.06501507032357408,0.9958670706350546,0.006215359047862722,0.003107679523931361,0.0687959866391724,0.9404425734302799,0.020278219718377073,0.46812227074235807,2.0,0.2859846976812906,0.057822078466415405,0.014518413879628149,0.0072592069398140745,0.1029504789838334,0.8991330889478808,0.020913563749741484,0.440174672489083,2.0,0.376214086778785,0.07608227944001555,0.02178860889937837,0.010894304449689186,0.12606070307318487,0.7009536501814435,0.020495350567915693,0.4280701754385965,2.0,0.5296481517790222,0.08806152269244194,instrument_adversary,0,4
