evaluation_subset,domain_protocol,domain_type,partition,balanced_accuracy_supported_mean,balanced_accuracy_supported_std,balanced_accuracy_supported_min,balanced_accuracy_supported_max,macro_f1_supported_mean,macro_f1_supported_std,macro_f1_supported_min,macro_f1_supported_max,n_test_mean,n_test_std,n_test_min,n_test_max,n_test_supported_mean,n_test_supported_std,n_test_supported_min,n_test_supported_max,n_test_unsupported_mean,n_test_unsupported_std,n_test_unsupported_min,n_test_unsupported_max,reconstruction_median_row_correlation_mean,reconstruction_median_row_correlation_std,reconstruction_median_row_correlation_min,reconstruction_median_row_correlation_max,repeatable_peak_recall_mean,repeatable_peak_recall_std,repeatable_peak_recall_min,repeatable_peak_recall_max,partition_maximum_canonical_correlation_mean,partition_maximum_canonical_correlation_std,partition_maximum_canonical_correlation_min,partition_maximum_canonical_correlation_max
quality_pass,domain_only,sensor_family,nuisance,0.2972738695341397,0.07715525941992435,0.23888616364153,0.4076923076923077,0.2990539580204066,0.17612947303831386,0.1407360341018284,0.5476190476190476,125.0,119.69405443323684,18,296,125.0,119.69405443323684,18,296,0.0,0.0,0,0,0.880599953696092,0.08573390828583932,0.7976551947962633,0.9734369592196654,0.5948414318455515,0.25437079320591743,0.3005797985962771,0.8444444444444444,0.9992289752458631,0.000435484624516051,0.9987807602136008,0.9998258988714744
quality_pass,domain_only,sensor_family,union,0.40636982849663034,0.23334533715488484,0.2216117216117216,0.7461538461538462,0.42042419570143774,0.29765699564708925,0.1822954822954823,0.8535353535353536,125.0,119.69405443323684,18,296,125.0,119.69405443323684,18,296,0.0,0.0,0,0,0.880599953696092,0.08573390828583932,0.7976551947962633,0.9734369592196654,0.5948414318455515,0.25437079320591743,0.3005797985962771,0.8444444444444444,0.9992289752458631,0.000435484624516051,0.9987807602136008,0.9998258988714744
strict_core,domain_and_sample,instrument,chemical,0.5838396994969136,0.21471891924643924,0.25,1.0,0.6141067438896386,0.19829987195774149,0.3333333333333333,1.0,59.8,23.09785944868293,23,98,34.2,21.663076625652433,3,65,25.6,27.66546182115487,0,77,0.7944731308228217,0.20709074015125278,0.2384867725923483,0.9556227617205488,,,,,0.9993507693108123,0.0004943503221706339,0.9981133817530085,0.9997953936851268
strict_core,domain_and_sample,instrument,nuisance,0.5705726986178438,0.28963892889585574,0.0,1.0,0.6141587565463912,0.29772375987550764,0.0,1.0,59.8,23.09785944868293,23,98,34.2,21.663076625652433,3,65,25.6,27.66546182115487,0,77,0.7944731308228217,0.20709074015125278,0.2384867725923483,0.9556227617205488,,,,,0.9993507693108123,0.0004943503221706339,0.9981133817530085,0.9997953936851268
strict_core,domain_and_sample,instrument,union,0.5839283238355379,0.2787310653160947,0.0,1.0,0.6027761254044586,0.27138574018887146,0.0,1.0,59.8,23.09785944868293,23,98,34.2,21.663076625652433,3,65,25.6,27.66546182115487,0,77,0.7944731308228217,0.20709074015125278,0.2384867725923483,0.9556227617205488,,,,,0.9993507693108123,0.0004943503221706339,0.9981133817530085,0.9997953936851268
strict_core,domain_and_sample,sensor_family,chemical,0.5630964623611683,0.38624059711164965,0.2670671648612825,1.0,0.5998969530624756,0.3968976697627674,0.2062842657808332,1.0,149.5,127.95441896758913,23,324,25.5,36.57412564459562,0,78,124.0,149.41664342814468,0,324,0.6383480413908107,0.25313904129688947,0.3644714688270161,0.951125120476573,0.5354343454610309,0.21222538534395016,0.3343253968253968,0.8333333333333334,0.9983585692511405,0.0011260045884180748,0.9973599965237322,0.9998128107294328
strict_core,domain_and_sample,sensor_family,nuisance,0.5574702530584884,0.3927764375734564,0.2501885369532428,1.0,0.5735412080165473,0.43075592922000355,0.1386130420390599,1.0,149.5,127.95441896758913,23,324,25.5,36.57412564459562,0,78,124.0,149.41664342814468,0,324,0.6383480413908107,0.25313904129688947,0.3644714688270161,0.951125120476573,0.5354343454610309,0.21222538534395016,0.3343253968253968,0.8333333333333334,0.9983585692511405,0.0011260045884180748,0.9973599965237322,0.9998128107294328
strict_core,domain_and_sample,sensor_family,union,0.5783845239727593,0.3743171027779565,0.2851535719182778,1.0,0.5985852997273057,0.40576116463871625,0.1886130420390599,1.0,149.5,127.95441896758913,23,324,25.5,36.57412564459562,0,78,124.0,149.41664342814468,0,324,0.6383480413908107,0.25313904129688947,0.3644714688270161,0.951125120476573,0.5354343454610309,0.21222538534395016,0.3343253968253968,0.8333333333333334,0.9983585692511405,0.0011260045884180748,0.9973599965237322,0.9998128107294328
strict_core,domain_only,instrument,chemical,0.6127569523953622,0.15265204227028492,0.3954767872061105,0.8318965517241379,0.6336750413161195,0.1451617053251332,0.3997990105132962,0.8811111111111112,59.8,23.09785944868293,23,98,59.8,23.09785944868293,23,98,0.0,0.0,0,0,0.8696219990165488,0.14576245089238982,0.4905585591022605,0.9770665070601248,,,,,0.9989994708791743,0.0009357019958733785,0.9965934926364352,0.9997373221154728
strict_core,domain_only,instrument,nuisance,0.5290957966834818,0.1641120261302759,0.2921428571428571,0.831060606060606,0.5413320865884188,0.16141211687815465,0.3314765694076039,0.8555555555555555,59.8,23.09785944868293,23,98,59.8,23.09785944868293,23,98,0.0,0.0,0,0,0.8696219990165488,0.14576245089238982,0.4905585591022605,0.9770665070601248,,,,,0.9989994708791743,0.0009357019958733785,0.9965934926364352,0.9997373221154728
strict_core,domain_only,instrument,union,0.6613441728960245,0.15183395686093012,0.4595238095238095,0.8727272727272727,0.6652544474213002,0.14051482641782947,0.5035653978806749,0.8769980506822611,59.8,23.09785944868293,23,98,59.8,23.09785944868293,23,98,0.0,0.0,0,0,0.8696219990165488,0.14576245089238982,0.4905585591022605,0.9770665070601248,,,,,0.9989994708791743,0.0009357019958733785,0.9965934926364352,0.9997373221154728
strict_core,domain_only,sensor_family,chemical,0.38395276551881996,0.07072929627631601,0.2915523552078173,0.4611680327868852,0.3366251175702132,0.15350782321134362,0.218779227216259,0.5459770114942528,149.5,127.95441896758913,23,324,149.5,127.95441896758913,23,324,0.0,0.0,0,0,0.8542039349644571,0.0727904187870549,0.8037134675816897,0.9622808195991696,0.5605175896201177,0.20582013426491005,0.3389513108614232,0.8333333333333334,0.9976655044843782,0.001593861259168722,0.996237890396084,0.9997500018369164
strict_core,domain_only,sensor_family,nuisance,0.3229468038846727,0.17463150087880516,0.1334033613445378,0.5484631147540984,0.27328299749256835,0.1664527538634662,0.0763501742160278,0.4761904761904761,149.5,127.95441896758913,23,324,149.5,127.95441896758913,23,324,0.0,0.0,0,0,0.8542039349644571,0.0727904187870549,0.8037134675816897,0.9622808195991696,0.5605175896201177,0.20582013426491005,0.3389513108614232,0.8333333333333334,0.9976655044843782,0.001593861259168722,0.996237890396084,0.9997500018369164
strict_core,domain_only,sensor_family,union,0.39631980113430243,0.15332312577683285,0.1816326530612244,0.5333333333333333,0.3503374191090422,0.2589657816961487,0.0802577267693546,0.6857142857142857,149.5,127.95441896758913,23,324,149.5,127.95441896758913,23,324,0.0,0.0,0,0,0.8542039349644571,0.0727904187870549,0.8037134675816897,0.9622808195991696,0.5605175896201177,0.20582013426491005,0.3389513108614232,0.8333333333333334,0.9976655044843782,0.001593861259168722,0.996237890396084,0.9997500018369164
