evaluation_subset,domain_protocol,domain_type,partition,balanced_accuracy_supported_mean,balanced_accuracy_supported_std,balanced_accuracy_supported_min,balanced_accuracy_supported_max,macro_f1_supported_mean,macro_f1_supported_std,macro_f1_supported_min,macro_f1_supported_max,n_test_mean,n_test_std,n_test_min,n_test_max,n_test_supported_mean,n_test_supported_std,n_test_supported_min,n_test_supported_max,n_test_unsupported_mean,n_test_unsupported_std,n_test_unsupported_min,n_test_unsupported_max,reconstruction_median_row_correlation_mean,reconstruction_median_row_correlation_std,reconstruction_median_row_correlation_min,reconstruction_median_row_correlation_max,repeatable_peak_recall_mean,repeatable_peak_recall_std,repeatable_peak_recall_min,repeatable_peak_recall_max,partition_maximum_canonical_correlation_mean,partition_maximum_canonical_correlation_std,partition_maximum_canonical_correlation_min,partition_maximum_canonical_correlation_max
quality_pass,domain_and_sample,instrument,chemical,0.5806021247271247,0.26135205545772944,0.0,1.0,0.6239804654680816,0.2614626524516339,0.0,1.0,50.0,18.95022720473586,21,74,31.0,19.994443672625096,3,64,19.0,21.322914122292634,0,71,0.8177788458931063,0.12670600725559644,0.5235017741632791,0.9558455941577138,,,,,0.9995434914183458,0.0002815498427487138,0.998781469222058,0.9997447467064932
quality_pass,domain_and_sample,instrument,nuisance,0.553521978021978,0.2623878432806967,0.2425,1.0,0.5850306376555199,0.2475657320259633,0.3333333333333333,1.0,50.0,18.95022720473586,21,74,31.0,19.994443672625096,3,64,19.0,21.322914122292634,0,71,0.8177788458931063,0.12670600725559644,0.5235017741632791,0.9558455941577138,,,,,0.9995434914183458,0.0002815498427487138,0.998781469222058,0.9997447467064932
quality_pass,domain_and_sample,instrument,union,0.5967055352055353,0.2740404182490565,0.0,1.0,0.6327405114709885,0.2755882259236703,0.0,1.0,50.0,18.95022720473586,21,74,31.0,19.994443672625096,3,64,19.0,21.322914122292634,0,71,0.8177788458931063,0.12670600725559644,0.5235017741632791,0.9558455941577138,,,,,0.9995434914183458,0.0002815498427487138,0.998781469222058,0.9997447467064932
quality_pass,domain_and_sample,sensor_family,chemical,0.34303011803011807,0.12408184318623527,0.2552910052910053,0.4307692307692308,0.389612278559647,0.2996598059536194,0.1777207977207977,0.6015037593984962,125.0,119.69405443323684,18,296,20.5,30.215889859476256,0,64,104.5,135.49292724468438,0,296,0.6289088624395047,0.2716515711706631,0.3024862551765991,0.9649813248226916,0.46849658439336495,0.27008913735253404,0.1910283796155019,0.8222222222222222,0.9992646604323497,0.00040197152054998126,0.9988055324767596,0.9997732078546884
quality_pass,domain_and_sample,sensor_family,nuisance,0.4121082621082621,0.38538326849283916,0.1396011396011396,0.6846153846153846,0.4504159957058507,0.5082211379542604,0.0910493827160493,0.8097826086956521,125.0,119.69405443323684,18,296,20.5,30.215889859476256,0,64,104.5,135.49292724468438,0,296,0.6289088624395047,0.2716515711706631,0.3024862551765991,0.9649813248226916,0.46849658439336495,0.27008913735253404,0.1910283796155019,0.8222222222222222,0.9992646604323497,0.00040197152054998126,0.9988055324767596,0.9997732078546884
quality_pass,domain_and_sample,sensor_family,union,0.39366605616605616,0.2482859982902581,0.2181013431013431,0.5692307692307692,0.456745059134765,0.37936977554520795,0.18849011826953,0.725,125.0,119.69405443323684,18,296,20.5,30.215889859476256,0,64,104.5,135.49292724468438,0,296,0.6289088624395047,0.2716515711706631,0.3024862551765991,0.9649813248226916,0.46849658439336495,0.27008913735253404,0.1910283796155019,0.8222222222222222,0.9992646604323497,0.00040197152054998126,0.9988055324767596,0.9997732078546884
quality_pass,domain_only,instrument,chemical,0.6334187468913446,0.2229473139577477,0.2908695652173912,0.96,0.6581209930026735,0.20585959925297584,0.343049853372434,0.921111111111111,50.0,18.95022720473586,21,74,50.0,18.95022720473586,21,74,0.0,0.0,0,0,0.923952467294497,0.03641721739057607,0.8740525900470497,0.9714855589866196,,,,,0.9992341113414522,0.0006344374066728453,0.9977122038996004,0.9997098888888264
quality_pass,domain_only,instrument,nuisance,0.5453951231146152,0.15226279992744535,0.2858333333333333,0.7951515151515152,0.5512882153466561,0.17414685264152102,0.3565610859728507,0.8311957143600146,50.0,18.95022720473586,21,74,50.0,18.95022720473586,21,74,0.0,0.0,0,0,0.923952467294497,0.03641721739057607,0.8740525900470497,0.9714855589866196,,,,,0.9992341113414522,0.0006344374066728453,0.9977122038996004,0.9997098888888264
quality_pass,domain_only,instrument,union,0.662136273515521,0.211897228047593,0.2824223602484472,0.9733333333333334,0.6816049179640663,0.20383339465038464,0.3471794871794872,0.9690476190476188,50.0,18.95022720473586,21,74,50.0,18.95022720473586,21,74,0.0,0.0,0,0,0.923952467294497,0.03641721739057607,0.8740525900470497,0.9714855589866196,,,,,0.9992341113414522,0.0006344374066728453,0.9977122038996004,0.9997098888888264
quality_pass,domain_only,sensor_family,chemical,0.3440795813113169,0.153090445407949,0.1746031746031746,0.5461538461538462,0.3439675629723796,0.2327484893345513,0.0977355977355977,0.6590909090909092,125.0,119.69405443323684,18,296,125.0,119.69405443323684,18,296,0.0,0.0,0,0,0.880599953696092,0.08573390828583932,0.7976551947962633,0.9734369592196654,0.5948414318455515,0.25437079320591743,0.3005797985962771,0.8444444444444444,0.9992289752458631,0.000435484624516051,0.9987807602136008,0.9998258988714744
