heldout_substrate_family,poster_axis,interpretation,stage,scenario,training_scenario,model_family,configuration,representation,seed,n_train,n_test_partition,observation_uid,mse,smooth_l1,spectral_angle,pearson_correlation,first_derivative_mae,reference_peak_count,matched_peak_count,repeatable_reference_peak_count,repeatable_matched_peak_count,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change
Ag,400-1800_common,descriptive architecture transfer; poster analyte labels differ from NATO labels,locked_poster,poster_holdout_Ag,poster_holdout_Ag,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,200,75,poster_row_0150,0.005185522197146982,0.002592761098573491,0.07328694134275109,0.9424719934093402,0.01074007303587028,36,6,0,0,2.0,1.0665508411257005,0.08790521509945393
Ag,400-1800_common,descriptive architecture transfer; poster analyte labels differ from NATO labels,locked_poster,poster_holdout_Ag,poster_holdout_Ag,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,200,75,poster_row_0151,0.006611066108434188,0.003305533054217094,0.11345046197433288,0.8324219608773612,0.018112546086267684,83,19,0,0,1.0,1.4511856653089905,0.07711001485586166
Ag,400-1800_common,descriptive architecture transfer; poster analyte labels differ from NATO labels,locked_poster,poster_holdout_Ag,poster_holdout_Ag,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,200,75,poster_row_0152,0.003178185288178857,0.0015890926440894286,0.07457069315848598,0.9616792802136519,0.005409932741895318,8,2,0,0,0.5,0.038037839914921684,0.09611363103613257
Ag,400-1800_common,descriptive architecture transfer; poster analyte labels differ from NATO labels,locked_poster,poster_holdout_Ag,poster_holdout_Ag,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,200,75,poster_row_0153,0.009893477638982736,0.004946738819491368,0.11543798394068223,0.7290489879201846,0.01960176949522325,82,26,0,0,2.0,1.2130235124297368,0.052501384168863297
Ag,400-1800_common,descriptive architecture transfer; poster analyte labels differ from NATO labels,locked_poster,poster_holdout_Ag,poster_holdout_Ag,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,200,75,poster_row_0154,0.008546863598041904,0.004273431799020952,0.09958688096022661,0.8145559735046463,0.017818497964846237,73,16,0,0,1.0,1.0537878127819384,0.07071192190051079
Ag,400-1800_common,descriptive architecture transfer; poster analyte labels differ from NATO labels,locked_poster,poster_holdout_Ag,poster_holdout_Ag,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,200,75,poster_row_0155,0.0038606259446715987,0.0019303129723357993,0.0813812932950112,0.9547534335795665,0.003526114546028631,4,1,0,0,5.0,0.044359977759866935,0.04477749206125736
Ag,400-1800_common,descriptive architecture transfer; poster analyte labels differ from NATO labels,locked_poster,poster_holdout_Ag,poster_holdout_Ag,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,200,75,poster_row_0156,0.005709678166072669,0.0028548390830363344,0.10477511046427625,0.7928467137065128,0.015103504067020757,67,18,0,0,2.0,0.4087820694390513,0.06804526969790459
Ag,400-1800_common,descriptive architecture transfer; poster analyte labels differ from NATO labels,locked_poster,poster_holdout_Ag,poster_holdout_Ag,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,200,75,poster_row_0157,0.005674489894032236,0.002837244947016118,0.07828510774427595,0.9516884152631241,0.006858804908946955,15,4,0,0,3.0,0.2425080972336348,0.10332065355032682
Ag,400-1800_common,descriptive architecture transfer; poster analyte labels differ from NATO labels,locked_poster,poster_holdout_Ag,poster_holdout_Ag,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,200,75,poster_row_0158,0.03076952688348433,0.015384763441742165,0.20192890124209256,0.6245097654540926,0.014165719601192645,21,4,0,0,2.0,0.6216312633587667,0.4464545876253396
Ag,400-1800_common,descriptive architecture transfer; poster analyte labels differ from NATO labels,locked_poster,poster_holdout_Ag,poster_holdout_Ag,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,200,75,poster_row_0159,0.005630414412023941,0.0028152072060119706,0.10110296309025822,0.8283826751153791,0.016888650908534017,75,17,0,0,1.0,0.5722758457312159,0.10053762048482895
Ag,400-1800_common,descriptive architecture transfer; poster analyte labels differ from NATO labels,locked_poster,poster_holdout_Ag,poster_holdout_Ag,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,200,75,poster_row_0160,0.01336982263313621,0.006684911316568105,0.12013372712837439,0.8513908824905195,0.014254369744365768,44,13,0,0,3.0,0.45159062701988684,0.06055253744125366
Ag,400-1800_common,descriptive architecture transfer; poster analyte labels differ from NATO labels,locked_poster,poster_holdout_Ag,poster_holdout_Ag,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,200,75,poster_row_0161,0.010043882266777281,0.005021941133388641,0.09391788322024253,0.8350413638292411,0.02385770616254636,93,25,0,0,2.0,0.5405598419434187,0.08864418417215347
Ag,400-1800_common,descriptive architecture transfer; poster analyte labels differ from NATO labels,locked_poster,poster_holdout_Ag,poster_holdout_Ag,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,200,75,poster_row_0162,0.005313265750874049,0.0026566328754370244,0.09372424406174619,0.9312783053343929,0.00642385841081185,16,3,0,0,0.0,0.2896379548341253,0.10354072228074074
Ag,400-1800_common,descriptive architecture transfer; poster analyte labels differ from NATO labels,locked_poster,poster_holdout_Ag,poster_holdout_Ag,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,200,75,poster_row_0163,0.004368445761797548,0.002184222880898774,0.07947679399382375,0.9499209995352668,0.006750881366564759,18,2,0,0,3.0,0.28969906801007117,0.07923024776391685
Ag,400-1800_common,descriptive architecture transfer; poster analyte labels differ from NATO labels,locked_poster,poster_holdout_Ag,poster_holdout_Ag,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,200,75,poster_row_0164,0.0034874269816338645,0.0017437134908169323,0.07525760618674286,0.9589812379237961,0.0063947574780987846,17,2,0,0,1.5,0.24319933229819274,0.16159169608727098
Ag,400-1800_common,descriptive architecture transfer; poster analyte labels differ from NATO labels,locked_poster,poster_holdout_Ag,poster_holdout_Ag,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,200,75,poster_row_0165,0.00811407693552022,0.00405703846776011,0.10243300851478973,0.7661828633006295,0.01951567282101938,81,23,0,0,3.0,0.5245921494887796,0.06549455225467682
