outer_fold,inner_fold,configuration,control,balanced_accuracy,macro_f1_supported,n_train,n_validation,state_sha256
0,1,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,chemical_labels_permuted_by_master_group,0.11296296296296295,0.10700960546161786,361,119,d2f88671d76604a69d3b5336b58b6374908141936eb1ee3975c7d19434116778
0,2,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,chemical_labels_permuted_by_master_group,0.11169602630358444,0.09947526827393345,363,117,d079be06adbdf63dccefa1eb7bb4ce2759cbe1fe4c6c3e5f3bcd605fa08a9e62
0,3,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,chemical_labels_permuted_by_master_group,0.1743052070638277,0.15799299135707248,360,120,4334338a06a1b2a5f7774c2541d332cb48e13ef3a1c6dc4233061b59eedd51d7
0,4,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,chemical_labels_permuted_by_master_group,0.10854037267080745,0.09102763612567534,356,124,746b5fcef11133a7fdb0ff2767b69d5a921f04df221a4e1d92bb97f125a98370
1,0,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,chemical_labels_permuted_by_master_group,0.1562350109510353,0.153438983982381,361,118,8d90470763fa318ab202f8d564a97b5dfc3f54c061836f1a7a9b18f88d16ccaf
1,2,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,chemical_labels_permuted_by_master_group,0.1881199657362448,0.14044232835853257,362,117,ac6785e4a6c7d574a0eacc40725d1cab603149ab2b538ab00c8263d357e06d58
1,3,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,chemical_labels_permuted_by_master_group,0.20273874670426395,0.2057269330734243,359,120,4223ee57bf406b6bb307d439e92ded6f032d8f1e559293b32a6d1bd592a7ad54
1,4,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,chemical_labels_permuted_by_master_group,0.1063664596273292,0.08407590431584239,355,124,59f19ee5cc81c592ebde76c477aa61cd07fd335eed25c5da4fda7e84a72d9810
2,0,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,chemical_labels_permuted_by_master_group,0.21827508191605557,0.21733963677697696,363,118,ce730740e6a48f44ad9c9a86fb4f38840002c64d5198ca4de34d46eea99a03d1
2,1,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,chemical_labels_permuted_by_master_group,0.2115446550229159,0.2029606991376107,362,119,137b2d4b9c6c9f43fe14e16a487f4d8c637ee49a51f14509fb94447190af7bff
2,3,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,chemical_labels_permuted_by_master_group,0.11024028006786629,0.12960145293108669,361,120,2e832162edf13e3a767a4abdc68cf1dab0a64f585d60b7da2820a1ad2d443cbc
2,4,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,chemical_labels_permuted_by_master_group,0.14187370600414076,0.06214244198115166,357,124,43daa12e0278f647ff0cb0840b3248d9efc85b1b23e3ef0295356692d178f370
3,0,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,chemical_labels_permuted_by_master_group,0.15112891015527932,0.1365542515376189,360,118,418643e6e7700768292def7f75908cc69b87bf79cdc62ae90ceacc74691033bf
3,1,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,chemical_labels_permuted_by_master_group,0.19182460052025266,0.1858746781540899,359,119,939e529f5f3d2836df901df23629c3235d205a3f6e6aa9e101ee5fabd0204ed0
3,2,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,chemical_labels_permuted_by_master_group,0.16524497520137055,0.15848052485983521,361,117,0ef35c6a621c748e2e6b28f5c0ccc852c406d0a5e68b76449b5aae8688b79115
3,4,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,chemical_labels_permuted_by_master_group,0.17597193466758684,0.11349070224070223,354,124,ab53c86740cf3575428e8be90dd56fee2ec25724236ed217ec6d16e69b364180
4,0,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,chemical_labels_permuted_by_master_group,0.21470891628092437,0.16717171717171717,356,118,a3f995b6030080a01044de221f2e5efc1d2ec5d1c84ec4678e8023fae72964c9
4,1,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,chemical_labels_permuted_by_master_group,0.1798918204715306,0.1734807829147452,355,119,a95322b9067e9b385d0e327d281ff30b44db3d8fcdd7095859d6ffac07a5bf12
4,2,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,chemical_labels_permuted_by_master_group,0.18067313016440922,0.1346928595723629,357,117,dd35605e45e805724a3ccc5cac8157e47dc75ac1af9fd4339caf50215346e044
4,3,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,chemical_labels_permuted_by_master_group,0.1333124238296652,0.16040456718422821,354,120,a01a0c3bb6d1bd49f8756dd8c4bffb513914c16d9ad7798c8269ed2ac698ff91
