evaluation_subset,domain_protocol,domain_type,heldout_domain,stage,scenario,training_scenario,model_family,configuration,representation,seed,n_train,n_test_partition,corruption,severity,reconstruction_mse,reconstruction_smooth_l1,reconstruction_spectral_angle,reconstruction_median_row_correlation,reconstruction_first_derivative_mae,repeatable_peak_recall,median_peak_shift_cm1,median_absolute_relative_peak_width_change,median_absolute_peak_prominence_change,chemical_balanced_accuracy_supported,chemical_macro_f1_supported,chemical_prediction_agreement,chemical_latent_cosine_drift,nuisance_balanced_accuracy_supported,nuisance_macro_f1_supported,nuisance_prediction_agreement,nuisance_latent_cosine_drift,union_balanced_accuracy_supported,union_macro_f1_supported,union_prediction_agreement,union_latent_cosine_drift
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,scale_offset,0.5,0.00874526457174636,0.00437263228587318,0.11005075643388458,0.9260179166360633,0.006664060024089166,,2.0,0.33118113982897546,0.0652555525302887,0.5511363636363636,0.69377990430622,0.7931034482758621,0.0031380776781588793,0.8636363636363636,0.8654970760233918,1.0,0.038558460772037506,0.9090909090909092,0.9205882352941177,0.9655172413793104,0.009890755638480186
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,scale_offset,1.0,0.011653880156454334,0.005826940078227167,0.12013440094233853,0.9214177289887584,0.006882228895914536,,2.0,0.3009140008773371,0.0653753001242876,0.6136363636363636,0.7543859649122806,0.6206896551724138,0.014694823883473873,0.9090909090909092,0.95,0.7931034482758621,0.23064731061458588,0.8636363636363636,0.9210526315789473,0.8620689655172413,0.03534058853983879
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,scale_offset,1.5,0.012013847414102788,0.006006923707051394,0.12562909156652535,0.9250268397568759,0.006877137608378378,,2.0,0.2989611718695138,0.10363840498030186,0.5227272727272727,0.6196078431372549,0.6206896551724138,0.03792541101574898,0.8636363636363636,0.891640866873065,0.6896551724137931,0.18740570545196533,0.7272727272727273,0.7830882352941176,0.6551724137931034,0.06621866673231125
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,smooth_baseline,0.5,0.008487213656898928,0.004243606828449464,0.11453857604310362,0.9116548694137572,0.00673027835185642,,2.0,0.30361028308048243,0.0537538246717304,0.6136363636363636,0.7543859649122806,0.8275862068965517,0.04783105105161667,0.7840909090909092,0.8035714285714286,0.7931034482758621,0.09147562086582184,0.9090909090909092,0.9205882352941177,0.9655172413793104,0.040286656469106674
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,smooth_baseline,1.0,0.010307584369434441,0.005153792184717221,0.13019768305044419,0.892279773556208,0.006864601857209397,,2.0,0.30128709214461197,0.06018640846014023,0.6136363636363636,0.7333333333333334,0.7241379310344828,0.13708528876304626,0.7215909090909092,0.7246376811594203,0.7241379310344828,0.1921001374721527,0.9090909090909092,0.9205882352941177,0.9310344827586207,0.10706504434347153
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,smooth_baseline,1.5,0.013068461179851425,0.006534230589925713,0.143498438405722,0.8847717943151213,0.0071663153453310376,,2.0,0.3344026624503462,0.05634450260549784,0.6590909090909092,0.7833333333333333,0.6206896551724138,0.2323949635028839,0.7556818181818181,0.805921052631579,0.7586206896551724,0.2955310344696045,0.8295454545454546,0.9047619047619047,0.7586206896551724,0.18465903401374817
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,gaussian_noise,0.5,0.007615748423557326,0.003807874211778663,0.10375054357847317,0.9248796617588136,0.006627623694024569,,2.0,0.29772008418532947,0.05963751079980284,0.5511363636363636,0.69377990430622,0.9655172413793104,0.00015547357907053083,0.9090909090909092,0.8944444444444444,0.9310344827586207,0.00028221154934726655,0.8636363636363636,0.891640866873065,1.0,0.00013159061199985445
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,gaussian_noise,1.0,0.007639112303930752,0.003819556151965376,0.1043040101020971,0.9242535306304875,0.006630589598218216,,1.5,0.33999615505507746,0.0667844982817769,0.5511363636363636,0.69377990430622,0.9310344827586207,0.0008246919023804367,0.9090909090909092,0.8944444444444444,0.9655172413793104,0.0013403070624917746,0.8636363636363636,0.891640866873065,1.0,0.0007196623482741416
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,gaussian_noise,1.5,0.007680832080489234,0.003840416040244617,0.10516648581732746,0.9229891258462689,0.0066262903342464066,,2.0,0.2986459129554482,0.061606356874108315,0.5511363636363636,0.69377990430622,0.9310344827586207,0.002651878399774432,0.8011363636363636,0.8117647058823529,0.8620689655172413,0.0033725150860846043,0.8636363636363636,0.891640866873065,0.9310344827586207,0.0021803195122629404
strict_core,domain_and_sample,instrument,Agilent-1,locked_domain,domain__strict_core__domain_and_sample__instrument__Agilent-1,domain__strict_core__domain_and_sample__instrument__Agilent-1,structured_vae,zc48__zn16__chem0__ni0__ns0__cond0__ai0__as0__pair0__xrec0__dep0p001__e500,arpls_minmax,1729,397,29,isolated_spikes,0.5,0.007584574429201795,0.0037922872146008975,0.10348080634410425,0.925263142567698,0.00662853802445752,,1.5,0.32390178840430567,0.06055343337357044,0.5511363636363636,0.69377990430622,1.0,6.608921830775216e-05,0.8636363636363636,0.8654970760233918,0.9655172413793104,0.0002164676261600107,0.9090909090909092,0.9205882352941177,0.9655172413793104,5.804053580504842e-05
