substrate_family,procedure_id,endpoint_type,eligible_master_views,definite_views,successful_views,missing_views,ambiguous_or_conflicting_views,complete_case_estimate,worst_case_missing_bound,best_case_missing_bound,model_prediction_views,model_field_agreement_views,model_field_agreement
H_SERS_H_Kit,C-EXTRA-TREES,nonblank_detection,74,69,16,4,1,0.231884057971,0.219178082192,0.27397260274,74,69,0.420289855072
H_SERS_H_Kit,C-LOGREG-EN,nonblank_detection,74,69,16,4,1,0.231884057971,0.219178082192,0.27397260274,48,45,0.488888888889
H_SERS_H_Kit,C-PCA-LDA,nonblank_detection,74,69,16,4,1,0.231884057971,0.219178082192,0.27397260274,57,52,0.519230769231
H_SERS_H_Kit,C-PLS-DA,nonblank_detection,74,69,16,4,1,0.231884057971,0.219178082192,0.27397260274,74,69,0.492753623188
H_SERS_H_Kit,C-RANDOM-FOREST,nonblank_detection,74,69,16,4,1,0.231884057971,0.219178082192,0.27397260274,74,69,0.405797101449
H_SERS_H_Kit,C-RBF-SVM,nonblank_detection,74,69,16,4,1,0.231884057971,0.219178082192,0.27397260274,74,69,0.405797101449
H_SERS_H_Kit,C-SELECTED,nonblank_detection,74,69,16,4,1,0.231884057971,0.219178082192,0.27397260274,55,51,0.450980392157
NRC_Canadian_SERS,C-EXTRA-TREES,nonblank_detection,15,5,0,10,0,0,0,0.666666666667,15,5,1
NRC_Canadian_SERS,C-LOGREG-EN,nonblank_detection,15,5,0,10,0,0,0,0.666666666667,12,3,1
NRC_Canadian_SERS,C-PCA-LDA,nonblank_detection,15,5,0,10,0,0,0,0.666666666667,0,0,
NRC_Canadian_SERS,C-PLS-DA,nonblank_detection,15,5,0,10,0,0,0,0.666666666667,15,5,0.8
NRC_Canadian_SERS,C-RANDOM-FOREST,nonblank_detection,15,5,0,10,0,0,0,0.666666666667,15,5,1
NRC_Canadian_SERS,C-RBF-SVM,nonblank_detection,15,5,0,10,0,0,0,0.666666666667,15,5,1
NRC_Canadian_SERS,C-SELECTED,nonblank_detection,15,5,0,10,0,0,0,0.666666666667,14,4,0.75
NRC_Canadian_SERS,C-EXTRA-TREES,blank_specificity,10,3,3,7,0,1,0.3,1,10,3,1
NRC_Canadian_SERS,C-LOGREG-EN,blank_specificity,10,3,3,7,0,1,0.3,1,8,1,0
NRC_Canadian_SERS,C-PCA-LDA,blank_specificity,10,3,3,7,0,1,0.3,1,0,0,
NRC_Canadian_SERS,C-PLS-DA,blank_specificity,10,3,3,7,0,1,0.3,1,10,3,0.333333333333
NRC_Canadian_SERS,C-RANDOM-FOREST,blank_specificity,10,3,3,7,0,1,0.3,1,10,3,1
NRC_Canadian_SERS,C-RBF-SVM,blank_specificity,10,3,3,7,0,1,0.3,1,10,3,1
NRC_Canadian_SERS,C-SELECTED,blank_specificity,10,3,3,7,0,1,0.3,1,9,2,1
pSERS_Metrohm_silver,C-EXTRA-TREES,nonblank_detection,154,100,75,33,21,0.75,0.563909774436,0.812030075188,154,100,0.6
pSERS_Metrohm_silver,C-LOGREG-EN,nonblank_detection,154,100,75,33,21,0.75,0.563909774436,0.812030075188,112,64,0.640625
pSERS_Metrohm_silver,C-PCA-LDA,nonblank_detection,154,100,75,33,21,0.75,0.563909774436,0.812030075188,154,100,0.6
pSERS_Metrohm_silver,C-PLS-DA,nonblank_detection,154,100,75,33,21,0.75,0.563909774436,0.812030075188,154,100,0.63
pSERS_Metrohm_silver,C-RANDOM-FOREST,nonblank_detection,154,100,75,33,21,0.75,0.563909774436,0.812030075188,154,100,0.6
pSERS_Metrohm_silver,C-RBF-SVM,nonblank_detection,154,100,75,33,21,0.75,0.563909774436,0.812030075188,154,100,0.61
pSERS_Metrohm_silver,C-SELECTED,nonblank_detection,154,100,75,33,21,0.75,0.563909774436,0.812030075188,124,74,0.608108108108
pSERS_Metrohm_silver,C-EXTRA-TREES,blank_specificity,39,9,8,30,0,0.888888888889,0.205128205128,0.974358974359,39,9,0.888888888889
pSERS_Metrohm_silver,C-LOGREG-EN,blank_specificity,39,9,8,30,0,0.888888888889,0.205128205128,0.974358974359,39,9,0.888888888889
pSERS_Metrohm_silver,C-PCA-LDA,blank_specificity,39,9,8,30,0,0.888888888889,0.205128205128,0.974358974359,39,9,0.888888888889
pSERS_Metrohm_silver,C-PLS-DA,blank_specificity,39,9,8,30,0,0.888888888889,0.205128205128,0.974358974359,39,9,0.777777777778
pSERS_Metrohm_silver,C-RANDOM-FOREST,blank_specificity,39,9,8,30,0,0.888888888889,0.205128205128,0.974358974359,39,9,0.888888888889
pSERS_Metrohm_silver,C-RBF-SVM,blank_specificity,39,9,8,30,0,0.888888888889,0.205128205128,0.974358974359,39,9,0.888888888889
pSERS_Metrohm_silver,C-SELECTED,blank_specificity,39,9,8,30,0,0.888888888889,0.205128205128,0.974358974359,39,9,0.777777777778
