experiment_id,epoch,run_count,training_balanced_accuracy_mean,training_balanced_accuracy_q25,training_balanced_accuracy_q75,validation_balanced_accuracy_mean,validation_balanced_accuracy_q25,validation_balanced_accuracy_q75,fits,selected_epoch_median,selected_epoch_q25,selected_epoch_q75,selected_epoch_minimum,selected_epoch_maximum,figure_id,scope,research_question_id,population_id,population_spectra,population_physical_masters,preprocessing_policy_id,representation_id,information_regime
EXP-N00-DEV,13,540,0.822114591842,0.766653007247,0.887010000419,0.683351267314,0.606513047138,0.756921101774,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,14,540,0.829092375825,0.771251348137,0.89466765873,0.690895692806,0.613230519481,0.769243338361,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,15,540,0.83906042071,0.777749706686,0.908444727195,0.693716842111,0.619005994006,0.780303030303,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,16,540,0.847449583382,0.787229835937,0.915834980237,0.697351484439,0.617948717949,0.777658942365,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,17,540,0.854330349449,0.792931517431,0.92220642245,0.701709498733,0.626333628058,0.779635934241,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,18,540,0.86146557502,0.799311667638,0.930817872121,0.704175189624,0.62543044717,0.796540528437,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,19,540,0.867230097162,0.804395558685,0.937168413866,0.703881197703,0.626803751804,0.787145748988,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,20,540,0.872853506796,0.815315998151,0.945470837406,0.708063462927,0.628571428571,0.789581491306,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,21,540,0.879445443864,0.822906061038,0.947179487179,0.708581812802,0.632485569986,0.799233582322,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,22,540,0.883740386166,0.825238377953,0.953333333333,0.712495749339,0.632230616606,0.800053418803,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,23,540,0.888175392524,0.834216934827,0.955430242272,0.716748050149,0.637229226264,0.80754917597,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,24,540,0.892124157117,0.840282682514,0.957051282051,0.714520826352,0.632485569986,0.798894161394,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,25,540,0.897338652792,0.850158235534,0.961495726496,0.716334860379,0.630555555556,0.800865800866,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,26,540,0.901403695505,0.849713916574,0.96481990232,0.715421934946,0.636562049062,0.799906629318,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,27,540,0.904802146864,0.851810668061,0.965901825157,0.719863940831,0.644606782107,0.806181270836,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,28,540,0.909436839052,0.858898035594,0.971217877867,0.720218445299,0.639729551494,0.813131313131,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,29,540,0.912524415417,0.864869196119,0.972942491364,0.721703332604,0.635732152837,0.811458333333,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,30,540,0.916594442946,0.863225167765,0.975140291807,0.726692922353,0.640246212121,0.824708624709,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
EXP-N00-DEV,31,475,0.925140572839,0.885319248317,0.978756768093,0.747713619078,0.677027796765,0.828243978244,540,32,17,47,1,108,F20,S,RQ-P01,primary_598,598,69,PP-U-MIN,R_MIN_400_1800,source_only
