k,seed,space,held_out,prototype_mode,row_index,true_label,pred_label,correct,distance_to_4np,distance_to_benzenethiol,distance_to_pyridine
5,42,derivative_input,Ag,row_mean,150,4np,benzenethiol,False,1.1503325700759888,1.0775434970855713,1.2783886194229126
5,42,derivative_input,Ag,row_mean,151,4np,4np,True,1.1088593006134033,1.2652912139892578,1.2463902235031128
5,42,derivative_input,Ag,row_mean,152,4np,benzenethiol,False,1.11260986328125,1.001643180847168,1.1791024208068848
5,42,derivative_input,Ag,row_mean,153,4np,4np,True,1.1337518692016602,1.2331112623214722,1.2867110967636108
5,42,derivative_input,Ag,row_mean,154,4np,4np,True,1.0899473428726196,1.0949543714523315,1.2601741552352905
5,42,derivative_input,Ag,row_mean,155,4np,benzenethiol,False,1.1917940378189087,0.9785895943641663,1.2128536701202393
5,42,derivative_input,Ag,row_mean,156,4np,4np,True,1.1294995546340942,1.2983131408691406,1.2389650344848633
5,42,derivative_input,Ag,row_mean,157,4np,4np,True,1.0615118741989136,1.0729715824127197,1.2148128747940063
5,42,derivative_input,Ag,row_mean,158,4np,4np,True,1.1558663845062256,1.2077982425689697,1.2756811380386353
5,42,derivative_input,Ag,row_mean,159,4np,4np,True,1.0918792486190796,1.2857953310012817,1.226685881614685
5,42,derivative_input,Ag,row_mean,160,4np,4np,True,1.0673348903656006,1.1714131832122803,1.2038512229919434
5,42,derivative_input,Ag,row_mean,161,4np,4np,True,1.070273518562317,1.1588618755340576,1.206770420074463
5,42,derivative_input,Ag,row_mean,162,4np,benzenethiol,False,1.0734965801239014,1.0420265197753906,1.1876012086868286
5,42,derivative_input,Ag,row_mean,163,4np,4np,True,1.0039420127868652,1.0775659084320068,1.2000246047973633
5,42,derivative_input,Ag,row_mean,164,4np,4np,True,1.0230791568756104,1.0362223386764526,1.1924635171890259
5,42,derivative_input,Ag,row_mean,165,4np,4np,True,1.0700609683990479,1.2988536357879639,1.1860909461975098
5,42,derivative_input,Ag,row_mean,166,4np,4np,True,1.0772439241409302,1.2667298316955566,1.2321999073028564
5,42,derivative_input,Ag,row_mean,167,4np,benzenethiol,False,1.1823111772537231,1.1015675067901611,1.2383471727371216
5,42,derivative_input,Ag,row_mean,168,4np,4np,True,1.174930453300476,1.2703330516815186,1.1963990926742554
5,42,derivative_input,Ag,row_mean,169,4np,4np,True,1.026463508605957,1.238694667816162,1.1835646629333496
5,42,derivative_input,Ag,row_mean,170,4np,4np,True,1.0939018726348877,1.1303218603134155,1.1827201843261719
5,42,derivative_input,Ag,row_mean,171,4np,4np,True,1.0137430429458618,1.272068738937378,1.2385578155517578
5,42,derivative_input,Ag,row_mean,172,4np,4np,True,1.0358854532241821,1.259353756904602,1.1948881149291992
5,42,derivative_input,Ag,row_mean,173,4np,benzenethiol,False,1.2192548513412476,1.1771814823150635,1.213808536529541
5,42,derivative_input,Ag,row_mean,174,4np,4np,True,1.1032673120498657,1.3036117553710938,1.2366431951522827
5,42,derivative_input,Ag,row_mean,175,pyridine,pyridine,True,1.1651033163070679,1.263569951057434,0.6741141080856323
5,42,derivative_input,Ag,row_mean,176,pyridine,pyridine,True,1.178806185722351,1.1414238214492798,0.8894593119621277
5,42,derivative_input,Ag,row_mean,177,pyridine,pyridine,True,1.18657386302948,1.2966243028640747,0.6837018132209778
5,42,derivative_input,Ag,row_mean,178,pyridine,pyridine,True,1.177535057067871,1.3008265495300293,0.6995007395744324
5,42,derivative_input,Ag,row_mean,179,pyridine,pyridine,True,1.169009804725647,1.269474744796753,0.8680742383003235
