k,seed,space,held_out,prototype_mode,true_label,n,accuracy,mean_own_distance,mean_nearest_wrong_distance,mean_margin_wrong_minus_own,dominant_wrong_neighbor,dominant_prediction
5,42,derivative_input,Ag,row_mean,4np,25,0.76,1.0984495878219604,1.149686336517334,0.05123665928840637,benzenethiol,4np
5,42,derivative_input,Ag,row_mean,benzenethiol,25,1.0,0.8962036371231079,1.2091442346572876,0.31294068694114685,4np,benzenethiol
5,42,derivative_input,Ag,row_mean,pyridine,25,1.0,0.7592571377754211,1.1881077289581299,0.42885062098503113,4np,pyridine
5,42,siamese_embedding,Ag,row_mean,4np,25,0.92,0.19709426164627075,0.3459249436855316,0.14883065223693848,pyridine,4np
5,42,siamese_embedding,Ag,row_mean,benzenethiol,25,0.64,0.25470873713493347,0.367929607629776,0.11322089284658432,4np,benzenethiol
5,42,siamese_embedding,Ag,row_mean,pyridine,25,1.0,0.14733371138572693,0.3190014660358429,0.17166775465011597,4np,pyridine
5,42,derivative_input,Au,row_mean,benzenethiol,25,1.0,0.5857886672019958,1.0468087196350098,0.4610200822353363,4np,benzenethiol
5,42,derivative_input,Au,row_mean,pyridine,25,1.0,0.6560777425765991,1.0842477083206177,0.42816993594169617,4np,pyridine
5,42,siamese_embedding,Au,row_mean,benzenethiol,25,0.96,0.18413682281970978,0.687848687171936,0.5037117600440979,4np,benzenethiol
5,42,siamese_embedding,Au,row_mean,pyridine,25,1.0,0.06348324567079544,0.9570494890213013,0.8935661911964417,benzenethiol,pyridine
5,42,derivative_input,PICO,row_mean,4np,25,1.0,1.0623695850372314,1.240566611289978,0.17819690704345703,pyridine,4np
5,42,derivative_input,PICO,row_mean,benzenethiol,25,0.96,1.0484920740127563,1.1875278949737549,0.1390358954668045,pyridine,benzenethiol
5,42,derivative_input,PICO,row_mean,pyridine,25,1.0,0.8107511401176453,1.2622458934783936,0.4514947235584259,4np,pyridine
5,42,siamese_embedding,PICO,row_mean,4np,25,1.0,0.18332143127918243,0.8608507513999939,0.6775292158126831,benzenethiol,4np
5,42,siamese_embedding,PICO,row_mean,benzenethiol,25,0.96,0.4557524025440216,0.7055157423019409,0.24976329505443573,4np,benzenethiol
5,42,siamese_embedding,PICO,row_mean,pyridine,25,1.0,0.14468073844909668,1.197453498840332,1.0527727603912354,4np,pyridine
5,42,derivative_input,pSERS,row_mean,4np,25,1.0,0.9040816426277161,1.1041574478149414,0.2000758796930313,benzenethiol,4np
5,42,derivative_input,pSERS,row_mean,benzenethiol,25,1.0,0.5723169445991516,1.2338120937347412,0.6614952087402344,4np,benzenethiol
5,42,derivative_input,pSERS,row_mean,pyridine,25,1.0,0.8273024559020996,1.1547960042953491,0.3274935781955719,4np,pyridine
5,42,siamese_embedding,pSERS,row_mean,4np,25,0.96,0.11623262614011765,0.4153679311275482,0.29913532733917236,pyridine,4np
5,42,siamese_embedding,pSERS,row_mean,benzenethiol,25,1.0,0.08668839186429977,0.7218202948570251,0.6351318955421448,pyridine,benzenethiol
5,42,siamese_embedding,pSERS,row_mean,pyridine,25,1.0,0.10652362555265427,0.5266844630241394,0.42016085982322693,4np,pyridine
