domain_id,policy_id,procedure_id,stage,status,reason_code,count,record_type
P13-DOM-006,PP-U-ARPLS,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=40:maximum=36,1,fit
P13-DOM-006,PP-U-ARPLS,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=40:maximum=39,1,fit
P13-DOM-006,PP-U-ARPLS,C-PCA-LDA,outer_final,excluded_by_protocol,calibration_terminal_failure,2,fit
P13-DOM-006,PP-U-MIN,C-LOGREG-EN,calibration_crossfit,convergence_failure,estimator_emitted_convergence_warning,1,fit
P13-DOM-006,PP-U-MIN,C-LOGREG-EN,outer_final,excluded_by_protocol,calibration_terminal_failure,1,fit
P13-DOM-006,PP-U-MIN,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=40:maximum=36,1,fit
P13-DOM-006,PP-U-MIN,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=40:maximum=39,1,fit
P13-DOM-006,PP-U-MIN,C-PCA-LDA,outer_final,excluded_by_protocol,calibration_terminal_failure,2,fit
P13-DOM-006,PP-U-SG,C-LOGREG-EN,calibration_crossfit,convergence_failure,estimator_emitted_convergence_warning,1,fit
P13-DOM-006,PP-U-SG,C-LOGREG-EN,outer_final,excluded_by_protocol,calibration_terminal_failure,1,fit
P13-DOM-006,PP-U-SG,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=40:maximum=36,1,fit
P13-DOM-006,PP-U-SG,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=40:maximum=39,1,fit
P13-DOM-006,PP-U-SG,C-PCA-LDA,outer_final,excluded_by_protocol,calibration_terminal_failure,2,fit
P13-DOM-007,PP-U-ARPLS,C-LOGREG-EN,calibration_crossfit,convergence_failure,estimator_emitted_convergence_warning,6,fit
P13-DOM-007,PP-U-ARPLS,C-LOGREG-EN,outer_final,convergence_failure,estimator_emitted_convergence_warning,1,fit
P13-DOM-007,PP-U-ARPLS,C-LOGREG-EN,outer_final,excluded_by_protocol,calibration_terminal_failure,3,fit
P13-DOM-007,PP-U-ARPLS,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=40:maximum=37,1,fit
P13-DOM-007,PP-U-ARPLS,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=40:maximum=39,1,fit
P13-DOM-007,PP-U-ARPLS,C-PCA-LDA,outer_final,excluded_by_protocol,calibration_terminal_failure,2,fit
P13-DOM-007,PP-U-ARPLS,C-SELECTED,calibration_crossfit,convergence_failure,estimator_emitted_convergence_warning,2,fit
P13-DOM-007,PP-U-ARPLS,C-SELECTED,outer_final,excluded_by_protocol,calibration_terminal_failure,1,fit
P13-DOM-007,PP-U-MIN,C-LOGREG-EN,calibration_crossfit,convergence_failure,estimator_emitted_convergence_warning,2,fit
P13-DOM-007,PP-U-MIN,C-LOGREG-EN,outer_final,excluded_by_protocol,calibration_terminal_failure,1,fit
P13-DOM-007,PP-U-MIN,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=40:maximum=37,1,fit
P13-DOM-007,PP-U-MIN,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=40:maximum=39,1,fit
P13-DOM-007,PP-U-MIN,C-PCA-LDA,outer_final,excluded_by_protocol,calibration_terminal_failure,2,fit
P13-DOM-007,PP-U-MIN,C-SELECTED,calibration_crossfit,convergence_failure,estimator_emitted_convergence_warning,2,fit
P13-DOM-007,PP-U-MIN,C-SELECTED,outer_final,excluded_by_protocol,calibration_terminal_failure,1,fit
P13-DOM-007,PP-U-SG,C-LOGREG-EN,calibration_crossfit,convergence_failure,estimator_emitted_convergence_warning,1,fit
P13-DOM-007,PP-U-SG,C-LOGREG-EN,outer_final,excluded_by_protocol,calibration_terminal_failure,1,fit
P13-DOM-007,PP-U-SG,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=40:maximum=37,1,fit
P13-DOM-007,PP-U-SG,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=40:maximum=39,1,fit
P13-DOM-007,PP-U-SG,C-PCA-LDA,outer_final,excluded_by_protocol,calibration_terminal_failure,2,fit
P13-DOM-007,PP-U-SG,C-SELECTED,calibration_crossfit,convergence_failure,estimator_emitted_convergence_warning,1,fit
P13-DOM-007,PP-U-SG,C-SELECTED,outer_final,excluded_by_protocol,calibration_terminal_failure,1,fit
P13-DOM-009,PP-U-ARPLS,C-LOGREG-EN,calibration_crossfit,convergence_failure,estimator_emitted_convergence_warning,2,fit
P13-DOM-009,PP-U-ARPLS,C-LOGREG-EN,outer_final,convergence_failure,estimator_emitted_convergence_warning,1,fit
P13-DOM-009,PP-U-ARPLS,C-LOGREG-EN,outer_final,excluded_by_protocol,calibration_terminal_failure,1,fit
P13-DOM-009,PP-U-ARPLS,C-SELECTED,calibration_crossfit,convergence_failure,estimator_emitted_convergence_warning,2,fit
P13-DOM-009,PP-U-ARPLS,C-SELECTED,outer_final,excluded_by_protocol,calibration_terminal_failure,1,fit
P13-DOM-009,PP-U-MIN,C-LOGREG-EN,calibration_crossfit,convergence_failure,estimator_emitted_convergence_warning,3,fit
P13-DOM-009,PP-U-MIN,C-LOGREG-EN,outer_final,convergence_failure,estimator_emitted_convergence_warning,1,fit
P13-DOM-009,PP-U-MIN,C-LOGREG-EN,outer_final,excluded_by_protocol,calibration_terminal_failure,2,fit
P13-DOM-009,PP-U-MIN,C-SELECTED,calibration_crossfit,convergence_failure,estimator_emitted_convergence_warning,2,fit
P13-DOM-009,PP-U-MIN,C-SELECTED,outer_final,excluded_by_protocol,calibration_terminal_failure,1,fit
P13-DOM-014,PP-U-ARPLS,C-LOGREG-EN,calibration_crossfit,convergence_failure,estimator_emitted_convergence_warning,15,fit
P13-DOM-014,PP-U-ARPLS,C-LOGREG-EN,outer_final,convergence_failure,estimator_emitted_convergence_warning,1,fit
P13-DOM-014,PP-U-ARPLS,C-LOGREG-EN,outer_final,excluded_by_protocol,calibration_terminal_failure,10,fit
P13-DOM-014,PP-U-ARPLS,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=11,1,fit
P13-DOM-014,PP-U-ARPLS,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=12,1,fit
P13-DOM-014,PP-U-ARPLS,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=13,3,fit
P13-DOM-014,PP-U-ARPLS,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=14,5,fit
P13-DOM-014,PP-U-ARPLS,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=15,3,fit
P13-DOM-014,PP-U-ARPLS,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=16,10,fit
P13-DOM-014,PP-U-ARPLS,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=17,6,fit
P13-DOM-014,PP-U-ARPLS,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=18,5,fit
P13-DOM-014,PP-U-ARPLS,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=19,7,fit
P13-DOM-014,PP-U-ARPLS,C-PCA-LDA,outer_final,excluded_by_protocol,calibration_terminal_failure,17,fit
P13-DOM-014,PP-U-ARPLS,C-SELECTED,calibration_crossfit,convergence_failure,estimator_emitted_convergence_warning,1,fit
P13-DOM-014,PP-U-ARPLS,C-SELECTED,outer_final,excluded_by_protocol,calibration_terminal_failure,1,fit
P13-DOM-014,PP-U-MIN,C-LOGREG-EN,calibration_crossfit,convergence_failure,estimator_emitted_convergence_warning,3,fit
P13-DOM-014,PP-U-MIN,C-LOGREG-EN,outer_final,excluded_by_protocol,calibration_terminal_failure,3,fit
P13-DOM-014,PP-U-MIN,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=11,1,fit
P13-DOM-014,PP-U-MIN,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=12,1,fit
P13-DOM-014,PP-U-MIN,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=13,3,fit
P13-DOM-014,PP-U-MIN,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=14,5,fit
P13-DOM-014,PP-U-MIN,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=15,3,fit
P13-DOM-014,PP-U-MIN,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=16,10,fit
P13-DOM-014,PP-U-MIN,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=17,6,fit
P13-DOM-014,PP-U-MIN,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=18,5,fit
P13-DOM-014,PP-U-MIN,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=19,7,fit
P13-DOM-014,PP-U-MIN,C-PCA-LDA,outer_final,excluded_by_protocol,calibration_terminal_failure,17,fit
P13-DOM-014,PP-U-MIN,C-SELECTED,calibration_crossfit,convergence_failure,estimator_emitted_convergence_warning,1,fit
P13-DOM-014,PP-U-MIN,C-SELECTED,outer_final,excluded_by_protocol,calibration_terminal_failure,1,fit
P13-DOM-014,PP-U-SG,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=11,1,fit
P13-DOM-014,PP-U-SG,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=12,1,fit
P13-DOM-014,PP-U-SG,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=13,3,fit
P13-DOM-014,PP-U-SG,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=14,5,fit
P13-DOM-014,PP-U-SG,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=15,3,fit
P13-DOM-014,PP-U-SG,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=16,10,fit
P13-DOM-014,PP-U-SG,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=17,6,fit
P13-DOM-014,PP-U-SG,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=18,5,fit
P13-DOM-014,PP-U-SG,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=20:maximum=19,7,fit
P13-DOM-014,PP-U-SG,C-PCA-LDA,outer_final,excluded_by_protocol,calibration_terminal_failure,17,fit
P13-DOM-015,PP-U-ARPLS,C-LOGREG-EN,calibration_crossfit,convergence_failure,estimator_emitted_convergence_warning,3,fit
P13-DOM-015,PP-U-ARPLS,C-LOGREG-EN,outer_final,excluded_by_protocol,calibration_terminal_failure,3,fit
P13-DOM-015,PP-U-ARPLS,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=10:maximum=6,1,fit
P13-DOM-015,PP-U-ARPLS,C-PCA-LDA,calibration_crossfit,rank_failure,pca_components_exceed_rank:requested=10:maximum=7,1,fit
