domain_id,station,substrate_family,held_instrument,target_analyte,support_tier,held_recall,held_recall_lcb95,held_recall_ucb95,class_source_minus_held_recall,class_loss_lcb95,class_loss_ucb95,iut_p_value,holm_adjusted_iut_p_value,completion_state,held_masters,matched_masters,held_interval_method,class_loss_interval_method,holm_positive_claim
P13-DOM-031,surfaces,pSERS_Metrohm_silver,Mira-2,acetaminophen,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-031,surfaces,pSERS_Metrohm_silver,Mira-2,benzyl_fentanyl,unsupported_by_design,,,,,,,,,unsupported_by_design,,,,,False
P13-DOM-032,surfaces,pSERS_Metrohm_silver,Pendar-2,4_ANPP,confirmatory,,,,,,,,1,unavailable_terminal_failure,,,,,False
P13-DOM-032,surfaces,pSERS_Metrohm_silver,Pendar-2,acetaminophen,confirmatory,,,,,,,,1,unavailable_terminal_failure,,,,,False
P13-DOM-032,surfaces,pSERS_Metrohm_silver,Pendar-2,benzyl_fentanyl,confirmatory,,,,,,,,1,unavailable_terminal_failure,,,,,False
P13-DOM-033,surfaces,pSERS_Metrohm_silver,Pendar-3,4_ANPP,confirmatory,,,,,,,,1,unavailable_terminal_failure,,,,,False
P13-DOM-033,surfaces,pSERS_Metrohm_silver,Pendar-3,acetaminophen,confirmatory,,,,,,,,1,unavailable_terminal_failure,,,,,False
P13-DOM-033,surfaces,pSERS_Metrohm_silver,Pendar-3,benzyl_fentanyl,confirmatory,,,,,,,,1,unavailable_terminal_failure,,,,,False
P13-DOM-034,surfaces,pSERS_Metrohm_silver,RMX-2,4_ANPP,confirmatory,,,,,,,,1,unavailable_terminal_failure,,,,,False
P13-DOM-034,surfaces,pSERS_Metrohm_silver,RMX-2,acetaminophen,confirmatory,,,,,,,,1,unavailable_terminal_failure,,,,,False
P13-DOM-034,surfaces,pSERS_Metrohm_silver,RMX-2,benzyl_fentanyl,confirmatory,,,,,,,,1,unavailable_terminal_failure,,,,,False
