domain_id,station,substrate_family,held_instrument,support_tier,policy_id_min,procedure_id,candidate_ids_json_min,model_ids_json_min,endpoint_status_min,endpoint_reason_min,held_masters_min,held_balanced_accuracy_min,held_macro_f1_min,held_negative_log_likelihood_min,held_brier_score_min,held_ece_min,held_per_class_recall_json_min,matched_masters_min,matched_source_balanced_accuracy_min,matched_held_balanced_accuracy_min,source_minus_held_balanced_accuracy_min,held_lcb95_min,held_ucb95_min,loss_lcb95_min,loss_ucb95_min,bounded_state_min,policy_id_sensitivity,candidate_ids_json_sensitivity,model_ids_json_sensitivity,endpoint_status_sensitivity,endpoint_reason_sensitivity,held_masters_sensitivity,held_balanced_accuracy_sensitivity,held_macro_f1_sensitivity,held_negative_log_likelihood_sensitivity,held_brier_score_sensitivity,held_ece_sensitivity,held_per_class_recall_json_sensitivity,matched_masters_sensitivity,matched_source_balanced_accuracy_sensitivity,matched_held_balanced_accuracy_sensitivity,source_minus_held_balanced_accuracy_sensitivity,held_lcb95_sensitivity,held_ucb95_sensitivity,loss_lcb95_sensitivity,loss_ucb95_sensitivity,bounded_state_sensitivity,sensitivity_policy_id,delta_held_balanced_accuracy,delta_source_minus_held_balanced_accuracy,delta_held_macro_f1
P13-DOM-005,cwa,H_SERS_H_Kit,Agilent-3,exploratory_low_support,PP-U-MIN,C-EXTRA-TREES,"[""C-EXTRA-TREES-000""]","[""C-EXTRA-TREES""]",complete,,8,0.722222222222,0.738888888889,0.799561120797,0.457403291863,0.4505025849,"{""4_nitrophenol"":0.6666666666666666,""ethanol"":1.0,""ethyl_paraoxon"":0.5}",8,0.833333333333,0.722222222222,0.111111111111,0.333333333333,0.888888888889,-0.222222222222,0.666666666667,inconclusive,PP-U-SG,"[""C-EXTRA-TREES-000""]","[""C-EXTRA-TREES""]",complete,,8,0.833333333333,0.84126984127,0.802884974683,0.459270808748,0.490820971158,"{""4_nitrophenol"":1.0,""ethanol"":1.0,""ethyl_paraoxon"":0.5}",8,0.833333333333,0.833333333333,0,0.666666666667,0.833333333333,-0.333333333333,0,supports_portability,PP-U-SG,0.111111111111,-0.111111111111,0.102380952381
P13-DOM-005,cwa,H_SERS_H_Kit,Agilent-3,exploratory_low_support,PP-U-MIN,C-LOGREG-EN,"[""C-LOGREG-EN-000""]","[""C-LOGREG-EN""]",complete,,8,0.611111111111,0.583333333333,0.716318750902,0.413813991909,0.379481014851,"{""4_nitrophenol"":1.0,""ethanol"":0.3333333333333333,""ethyl_paraoxon"":0.5}",8,0.833333333333,0.611111111111,0.222222222222,0.333333333333,0.833333333333,0.111111111111,0.333333333333,inferior_portability,PP-U-SG,"[""C-LOGREG-EN-000""]","[""C-LOGREG-EN""]",complete,,8,0.611111111111,0.583333333333,0.705022160062,0.402848686128,0.375343905555,"{""4_nitrophenol"":1.0,""ethanol"":0.3333333333333333,""ethyl_paraoxon"":0.5}",8,0.833333333333,0.611111111111,0.222222222222,0.333333333333,0.833333333333,0.111111111111,0.333333333333,inferior_portability,PP-U-SG,0,0,0
P13-DOM-005,cwa,H_SERS_H_Kit,Agilent-3,exploratory_low_support,PP-U-MIN,C-PCA-LDA,"[""C-PCA-LDA-000""]","[""C-PCA-LDA""]",complete,,8,0.666666666667,0.62380952381,0.790869180663,0.464409718073,0.419113430894,"{""4_nitrophenol"":0.6666666666666666,""ethanol"":0.3333333333333333,""ethyl_paraoxon"":1.0}",8,0.666666666667,0.666666666667,0,0.333333333333,0.777777777778,-0.333333333333,0.111111111111,inconclusive,PP-U-SG,"[""C-PCA-LDA-000""]","[""C-PCA-LDA""]",complete,,8,0.666666666667,0.62380952381,0.793752431854,0.465097654083,0.421097752822,"{""4_nitrophenol"":0.6666666666666666,""ethanol"":0.3333333333333333,""ethyl_paraoxon"":1.0}",8,0.666666666667,0.666666666667,0,0.333333333333,0.777777777778,-0.333333333333,0.111111111111,inconclusive,PP-U-SG,0,0,0
P13-DOM-005,cwa,H_SERS_H_Kit,Agilent-3,exploratory_low_support,PP-U-MIN,C-PLS-DA,"[""C-PLS-DA-000""]","[""C-PLS-DA""]",complete,,8,0.555555555556,0.412698412698,0.921325933657,0.526473367942,0.414389705951,"{""4_nitrophenol"":0.6666666666666666,""ethanol"":0.0,""ethyl_paraoxon"":1.0}",8,0.722222222222,0.555555555556,0.166666666667,0.333333333333,0.666666666667,0.166666666667,0.333333333333,inferior_portability,PP-U-SG,"[""C-PLS-DA-000""]","[""C-PLS-DA""]",complete,,8,0.555555555556,0.412698412698,0.939157768333,0.53261133445,0.413498606168,"{""4_nitrophenol"":0.6666666666666666,""ethanol"":0.0,""ethyl_paraoxon"":1.0}",8,0.722222222222,0.555555555556,0.166666666667,0.333333333333,0.666666666667,0.166666666667,0.333333333333,inferior_portability,PP-U-SG,0,0,0
P13-DOM-005,cwa,H_SERS_H_Kit,Agilent-3,exploratory_low_support,PP-U-MIN,C-RANDOM-FOREST,"[""C-RANDOM-FOREST-000""]","[""C-RANDOM-FOREST""]",complete,,8,0.888888888889,0.866666666667,0.804138869966,0.460852747647,0.494671842953,"{""4_nitrophenol"":0.6666666666666666,""ethanol"":1.0,""ethyl_paraoxon"":1.0}",8,1,0.888888888889,0.111111111111,0.666666666667,0.888888888889,0,0.333333333333,inconclusive,PP-U-SG,"[""C-RANDOM-FOREST-000""]","[""C-RANDOM-FOREST""]",complete,,8,0.777777777778,0.755555555556,0.803952021343,0.461507220652,0.4574713159,"{""4_nitrophenol"":0.6666666666666666,""ethanol"":0.6666666666666666,""ethyl_paraoxon"":1.0}",8,1,0.777777777778,0.222222222222,0.333333333333,0.888888888889,0.111111111111,0.666666666667,inferior_portability,PP-U-SG,-0.111111111111,0.111111111111,-0.111111111111
P13-DOM-005,cwa,H_SERS_H_Kit,Agilent-3,exploratory_low_support,PP-U-MIN,C-RBF-SVM,"[""C-RBF-SVM-000""]","[""C-RBF-SVM""]",complete,,8,0.277777777778,0.216666666667,1.10785254657,0.673117584677,0.427528678181,"{""4_nitrophenol"":0.3333333333333333,""ethanol"":0.0,""ethyl_paraoxon"":0.5}",8,0.277777777778,0.277777777778,0,0,0.5,0,0,inferior_portability,PP-U-SG,"[""C-RBF-SVM-000""]","[""C-RBF-SVM""]",complete,,8,0.277777777778,0.216666666667,1.10730193915,0.672754245388,0.427528111317,"{""4_nitrophenol"":0.3333333333333333,""ethanol"":0.0,""ethyl_paraoxon"":0.5}",8,0.277777777778,0.277777777778,0,0,0.5,0,0,inferior_portability,PP-U-SG,0,0,0
P13-DOM-006,cwa,H_SERS_H_Kit,Mira-2,confirmatory,PP-U-MIN,C-EXTRA-TREES,"[""C-EXTRA-TREES-000"",""C-EXTRA-TREES-002"",""C-EXTRA-TREES-003""]","[""C-EXTRA-TREES""]",complete,,24,0.915343915344,0.913165266106,0.765420739704,0.442163156358,0.440898098176,"{""4_nitrophenol"":1.0,""ethanol"":0.8888888888888888,""ethyl_paraoxon"":0.8571428571428571}",24,0.720238095238,0.915343915344,-0.195105820106,0.689572898914,0.962962962963,-0.369047619048,-0.047619047619,supports_portability,PP-U-SG,"[""C-EXTRA-TREES-000"",""C-EXTRA-TREES-002"",""C-EXTRA-TREES-003""]","[""C-EXTRA-TREES""]",complete,,24,0.915343915344,0.913165266106,0.785653790398,0.456094696526,0.437288272913,"{""4_nitrophenol"":1.0,""ethanol"":0.8888888888888888,""ethyl_paraoxon"":0.8571428571428571}",24,0.767857142857,0.915343915344,-0.147486772487,0.708994708995,1,-0.327380952381,-0.0152116402116,supports_portability,PP-U-SG,0,0.047619047619,0
P13-DOM-006,cwa,H_SERS_H_Kit,Mira-2,confirmatory,PP-U-MIN,C-PLS-DA,"[""C-PLS-DA-001"",""C-PLS-DA-002"",""C-PLS-DA-003""]","[""C-PLS-DA""]",complete,,24,0.526455026455,0.493006993007,0.89835073183,0.556773071725,0.246703964363,"{""4_nitrophenol"":0.5,""ethanol"":0.2222222222222222,""ethyl_paraoxon"":0.8571428571428571}",24,0.736772486772,0.526455026455,0.210317460317,0.347883597884,0.685185185185,0.0304232804233,0.384259259259,inconclusive,PP-U-SG,"[""C-PLS-DA-001"",""C-PLS-DA-002"",""C-PLS-DA-003""]","[""C-PLS-DA""]",complete,,24,0.525132275132,0.478787878788,0.893586259453,0.551982263306,0.195250119201,"{""4_nitrophenol"":0.75,""ethanol"":0.1111111111111111,""ethyl_paraoxon"":0.7142857142857143}",24,0.778439153439,0.525132275132,0.253306878307,0.315476190476,0.657407407407,0.0529100529101,0.443783068783,inconclusive,PP-U-SG,-0.00132275132275,0.0429894179894,-0.0142191142191
P13-DOM-006,cwa,H_SERS_H_Kit,Mira-2,confirmatory,PP-U-MIN,C-RANDOM-FOREST,"[""C-RANDOM-FOREST-001"",""C-RANDOM-FOREST-003""]","[""C-RANDOM-FOREST""]",complete,,24,0.915343915344,0.913165266106,0.763155242839,0.442903620287,0.441547512914,"{""4_nitrophenol"":1.0,""ethanol"":0.8888888888888888,""ethyl_paraoxon"":0.8571428571428571}",24,0.720238095238,0.915343915344,-0.195105820106,0.708994708995,0.962962962963,-0.369047619048,-0.0522486772487,supports_portability,PP-U-SG,"[""C-RANDOM-FOREST-001"",""C-RANDOM-FOREST-003""]","[""C-RANDOM-FOREST""]",complete,,24,0.867724867725,0.866432042903,0.790340063528,0.462918988288,0.420150744361,"{""4_nitrophenol"":1.0,""ethanol"":0.8888888888888888,""ethyl_paraoxon"":0.7142857142857143}",24,0.863095238095,0.867724867725,-0.00462962962963,0.671957671958,0.952380952381,-0.184523809524,0.138227513228,inconclusive,PP-U-SG,-0.047619047619,0.190476190476,-0.0467332232038
P13-DOM-006,cwa,H_SERS_H_Kit,Mira-2,confirmatory,PP-U-MIN,C-RBF-SVM,"[""C-RBF-SVM-020"",""C-RBF-SVM-026"",""C-RBF-SVM-030""]","[""C-RBF-SVM""]",complete,,24,0.662698412698,0.667669172932,0.859659808155,0.510874384004,0.290000659085,"{""4_nitrophenol"":0.75,""ethanol"":0.6666666666666666,""ethyl_paraoxon"":0.5714285714285714}",24,0.767857142857,0.662698412698,0.105158730159,0.45171957672,0.832010582011,-0.0853174603175,0.316137566138,inconclusive,PP-U-SG,"[""C-RBF-SVM-020"",""C-RBF-SVM-026"",""C-RBF-SVM-030""]","[""C-RBF-SVM""]",complete,,24,0.662698412698,0.667669172932,0.845745614246,0.502848634819,0.284021508675,"{""4_nitrophenol"":0.75,""ethanol"":0.6666666666666666,""ethyl_paraoxon"":0.5714285714285714}",24,0.767857142857,0.662698412698,0.105158730159,0.45171957672,0.830687830688,-0.0853174603175,0.316137566138,inconclusive,PP-U-SG,0,0,0
