domain_id,station,substrate_family,held_instrument,support_tier,policy_id,procedure_id,candidate_ids_json,model_ids_json,metric_id,metric_name,estimate,lower_95,upper_95,interval_method,bootstrap_resamples,one_sided_threshold,opposite_tail_probability
P13-DOM-005,cwa,H_SERS_H_Kit,Agilent-3,exploratory_low_support,PP-U-ARPLS,C-EXTRA-TREES,"[""C-EXTRA-TREES-000""]","[""C-EXTRA-TREES""]",P13-M01,held_balanced_accuracy,0.722222222222,0.333333333333,0.888888888889,BCa,10000,0.6,0.1928
P13-DOM-005,cwa,H_SERS_H_Kit,Agilent-3,exploratory_low_support,PP-U-ARPLS,C-EXTRA-TREES,"[""C-EXTRA-TREES-000""]","[""C-EXTRA-TREES""]",P13-M02,matched_source_minus_held_balanced_accuracy,0.277777777778,0.111111111111,0.666666666667,BCa,10000,0.1,0.9257
P13-DOM-005,cwa,H_SERS_H_Kit,Agilent-3,exploratory_low_support,PP-U-ARPLS,C-LOGREG-EN,"[""C-LOGREG-EN-000""]","[""C-LOGREG-EN""]",P13-M01,held_balanced_accuracy,0.833333333333,0.666666666667,0.833333333333,BCa,10000,0.6,0
P13-DOM-005,cwa,H_SERS_H_Kit,Agilent-3,exploratory_low_support,PP-U-ARPLS,C-LOGREG-EN,"[""C-LOGREG-EN-000""]","[""C-LOGREG-EN""]",P13-M02,matched_source_minus_held_balanced_accuracy,0.166666666667,0,0.166666666667,BCa,10000,0.1,0.7452
P13-DOM-005,cwa,H_SERS_H_Kit,Agilent-3,exploratory_low_support,PP-U-ARPLS,C-PCA-LDA,"[""C-PCA-LDA-000""]","[""C-PCA-LDA""]",P13-M01,held_balanced_accuracy,0.722222222222,0.333333333333,0.888888888889,BCa,10000,0.6,0.1928
P13-DOM-005,cwa,H_SERS_H_Kit,Agilent-3,exploratory_low_support,PP-U-ARPLS,C-PCA-LDA,"[""C-PCA-LDA-000""]","[""C-PCA-LDA""]",P13-M02,matched_source_minus_held_balanced_accuracy,0.111111111111,-0.222222222222,0.666666666667,BCa,10000,0.1,0.5981
P13-DOM-005,cwa,H_SERS_H_Kit,Agilent-3,exploratory_low_support,PP-U-ARPLS,C-PLS-DA,"[""C-PLS-DA-000""]","[""C-PLS-DA""]",P13-M01,held_balanced_accuracy,0.611111111111,0.222222222222,0.888888888889,BCa,10000,0.6,0.4165
P13-DOM-005,cwa,H_SERS_H_Kit,Agilent-3,exploratory_low_support,PP-U-ARPLS,C-PLS-DA,"[""C-PLS-DA-000""]","[""C-PLS-DA""]",P13-M02,matched_source_minus_held_balanced_accuracy,-0.0555555555556,-0.333333333333,0.166666666667,BCa,10000,0.1,0.1985
P13-DOM-005,cwa,H_SERS_H_Kit,Agilent-3,exploratory_low_support,PP-U-ARPLS,C-RANDOM-FOREST,"[""C-RANDOM-FOREST-000""]","[""C-RANDOM-FOREST""]",P13-M01,held_balanced_accuracy,0.833333333333,0.666666666667,0.833333333333,BCa,10000,0.6,0
P13-DOM-005,cwa,H_SERS_H_Kit,Agilent-3,exploratory_low_support,PP-U-ARPLS,C-RANDOM-FOREST,"[""C-RANDOM-FOREST-000""]","[""C-RANDOM-FOREST""]",P13-M02,matched_source_minus_held_balanced_accuracy,0.0555555555556,-0.333333333333,0.222222222222,BCa,10000,0.1,0.3881
