x1,x2,label,substrate
-0.28358772,0.27688903,benzenethiol,PICO
-0.10098947,0.326689,benzenethiol,PICO
-0.19845228,0.31252667,benzenethiol,PICO
-0.14468582,0.31997785,benzenethiol,PICO
0.5988254,-0.060771875,pyridine,PICO
0.60592353,-0.0744479,pyridine,PICO
0.5912233,-0.047625706,pyridine,PICO
0.58661455,-0.039868716,pyridine,PICO
0.6038552,-0.071518146,pyridine,PICO
0.6002258,-0.06326923,pyridine,PICO
0.5892017,-0.044919837,pyridine,PICO
0.5861846,-0.04171725,pyridine,PICO
0.6076124,-0.077705726,pyridine,PICO
0.58434457,-0.036917992,pyridine,PICO
0.6060732,-0.07263837,pyridine,PICO
0.597684,-0.05839733,pyridine,PICO
0.59591466,-0.05757028,pyridine,PICO
0.5940146,-0.05267601,pyridine,PICO
0.5941945,-0.05449953,pyridine,PICO
0.5976316,-0.061009295,pyridine,PICO
0.5953441,-0.054864824,pyridine,PICO
0.60021764,-0.06402412,pyridine,PICO
0.5986565,-0.062193397,pyridine,PICO
0.59353626,-0.0520447,pyridine,PICO
0.591862,-0.048638,pyridine,PICO
0.6044697,-0.07230921,pyridine,PICO
0.5973194,-0.05836225,pyridine,PICO
0.5729061,-0.018091338,pyridine,PICO
0.59529746,-0.05548517,pyridine,PICO
-0.4824823,-0.34520397,4np,AgNP
-0.51236063,-0.14227074,4np,AgNP
-0.36749086,-0.39274186,4np,AgNP
-0.5303024,-0.2830174,4np,AgNP
-0.46821314,-0.17963865,4np,AgNP
-0.3805448,-0.23563975,4np,AgNP
-0.4807304,-0.18987876,4np,AgNP
-0.408547,-0.50488114,4np,AgNP
-0.40110326,-0.3351107,4np,AgNP
-0.4889777,-0.24805859,4np,AgNP
-0.4237707,-0.3845361,4np,AgNP
-0.41847286,-0.25574884,4np,AgNP
-0.23698741,-0.45386672,4np,AgNP
-0.37909883,-0.496286,4np,AgNP
-0.4119032,-0.2418204,4np,AgNP
-0.39079985,-0.16678284,4np,AgNP
-0.3871708,-0.4830747,4np,AgNP
-0.39535663,-0.3108909,4np,AgNP
-0.48707333,-0.17677742,4np,AgNP
-0.4138416,-0.24378537,4np,AgNP
-0.45358324,-0.45914775,4np,AgNP
-0.4708125,-0.2678113,4np,AgNP
-0.3583565,-0.43795618,4np,AgNP
-0.29137513,-0.3337345,4np,AgNP
-0.47226965,-0.21317562,4np,AgNP
0.5758936,-0.06860752,pyridine,AgNP
0.34976253,-0.14406814,pyridine,AgNP
0.5797075,-0.05095426,pyridine,AgNP
0.62332493,-0.1325077,pyridine,AgNP
0.47088403,-0.104737684,pyridine,AgNP
0.59776103,-0.088375024,pyridine,AgNP
0.6042844,-0.10811899,pyridine,AgNP
0.65545315,-0.18732016,pyridine,AgNP
0.54425234,0.006606343,pyridine,AgNP
0.41672727,-0.08160811,pyridine,AgNP
0.5490733,-0.016999325,pyridine,AgNP
0.5822506,-0.059221596,pyridine,AgNP
0.6103198,-0.102951705,pyridine,AgNP
0.61211556,-0.1125372,pyridine,AgNP
0.5953999,-0.10081472,pyridine,AgNP
0.47952956,-0.041794173,pyridine,AgNP
0.568463,-0.040676855,pyridine,AgNP
0.37948486,-0.023383306,pyridine,AgNP
0.51834077,-0.12264743,pyridine,AgNP
0.6461811,-0.16339788,pyridine,AgNP
0.4922821,-0.2053148,pyridine,AgNP
0.5715272,-0.04631293,pyridine,AgNP
0.5976449,-0.08665307,pyridine,AgNP
