role_label,recipe_id,seed_index,epoch,chemical_ce,gradient_norm_mean
cwa_dense,D0-M,1,1,1.0626162886619568,0.809828468224193
cwa_dense,D0-M,1,2,0.9486355185508728,1.3370225409370384
cwa_dense,D0-M,1,3,0.898123487830162,1.4034348645610302
cwa_dense,D0-M,1,4,0.7551548331975937,1.7639478842732819
cwa_dense,D0-M,1,5,0.7514861822128296,1.9562985210293293
cwa_dense,D0-M,1,6,0.6243677884340286,2.1271648297242796
cwa_dense,D0-M,1,7,0.6260298043489456,2.329195549212295
cwa_dense,D0-M,1,8,0.6080757826566696,2.534861545137864
cwa_dense,D0-M,2,1,1.0634686350822449,0.8763053544700972
cwa_dense,D0-M,2,2,0.9686253368854523,1.1083818717202407
cwa_dense,D0-M,2,3,0.8682491332292557,1.342603580671959
cwa_dense,D0-M,2,4,0.7138867825269699,1.678075148361974
cwa_dense,D0-M,2,5,0.7151909023523331,1.882578006275332
cwa_dense,D0-M,2,6,0.6666939109563828,1.892484124576364
cwa_dense,D0-M,2,7,0.6813598871231079,2.17965021984668
cwa_dense,D0-M,2,8,0.5547143742442131,2.069145868325421
cwa_dense,D1,1,1,1.0883093476295471,2.5647732415147084
cwa_dense,D1,1,2,1.0605588257312775,2.1144955315765213
cwa_dense,D1,1,3,1.0413568317890167,1.9229430206782445
cwa_dense,D1,1,4,1.0118670016527176,1.8995196120943074
cwa_dense,D1,1,5,0.9654053002595901,2.433155059703353
cwa_dense,D1,1,6,0.8852019309997559,2.1540209758295674
cwa_dense,D1,1,7,0.855818971991539,1.9701145115637173
cwa_dense,D1,1,8,0.7860266864299774,2.351275200805063
cwa_dense,D1,2,1,1.090491771697998,2.913119685977418
cwa_dense,D1,2,2,1.067659080028534,2.373462512792231
cwa_dense,D1,2,3,1.053380697965622,2.1527436279654064
cwa_dense,D1,2,4,1.0313538908958435,2.179990992164883
cwa_dense,D1,2,5,1.001811146736145,1.9816363514708026
cwa_dense,D1,2,6,0.9727745354175568,2.164785658847465
cwa_dense,D1,2,7,0.9486496299505234,2.0453267599355023
cwa_dense,D1,2,8,0.8959692269563675,1.8246179884074067
cwa_dense,D2,1,1,1.067740023136139,0.9503787420695835
cwa_dense,D2,1,2,0.9878861457109451,1.29886988794762
cwa_dense,D2,1,3,0.9415756911039352,1.541330280807193
cwa_dense,D2,1,4,0.818156972527504,1.645874279022103
cwa_dense,D2,1,5,0.8004991412162781,1.7848021850017004
cwa_dense,D2,1,6,0.6763543337583542,1.8607065765927666
cwa_dense,D2,1,7,0.666881337761879,2.1785673506952796
cwa_dense,D2,1,8,0.6341621726751328,2.2969764956964283
cwa_dense,D2,2,1,1.0856600403785706,0.9974428589357596
cwa_dense,D2,2,2,1.0066143870353699,1.082328747204054
cwa_dense,D2,2,3,0.9119860231876373,1.2931552755324833
cwa_dense,D2,2,4,0.7793559283018112,1.7006069733705056
cwa_dense,D2,2,5,0.7423762828111649,1.8211836262558356
cwa_dense,D2,2,6,0.692790225148201,1.9818755709123244
cwa_dense,D2,2,7,0.7234261333942413,2.1677664225930426
cwa_dense,D2,2,8,0.6085788011550903,1.9824448512971493
cwa_dense,D3,1,1,1.0872949063777924,2.687839631690669
cwa_dense,D3,1,2,1.0598500669002533,1.9316482923906
cwa_dense,D3,1,3,1.0299900770187378,1.816208115497936
cwa_dense,D3,1,4,0.992442712187767,1.9389441256838562
cwa_dense,D3,1,5,0.9504219740629196,2.2765237323556557
cwa_dense,D3,1,6,0.8659190386533737,2.2559440428813327
cwa_dense,D3,1,7,0.8371791690587997,2.03028058938712
cwa_dense,D3,1,8,0.7422313094139099,2.3844788366873098
cwa_dense,D3,2,1,1.0935605764389038,3.0023594354102094
cwa_dense,D3,2,2,1.0763550996780396,2.235256972074382
cwa_dense,D3,2,3,1.057628333568573,2.167537181364774
cwa_dense,D3,2,4,1.0380687713623047,2.1020861570919833
cwa_dense,D3,2,5,1.0119019895792007,1.7748784742024197
cwa_dense,D3,2,6,0.9866657257080078,1.8435520759813746
cwa_dense,D3,2,7,0.9709006547927856,1.9064817359273538
cwa_dense,D3,2,8,0.9377251863479614,1.6679561812240014
pills_dense,D0-M,1,1,1.0929531157016754,0.8517142722854815
pills_dense,D0-M,1,2,1.0104851126670837,0.9852001576062251
pills_dense,D0-M,1,3,0.9031636565923691,1.3321173194378384
pills_dense,D0-M,1,4,0.8626567870378494,1.916692812137839
pills_dense,D0-M,1,5,0.683737576007843,2.1473860189455816
pills_dense,D0-M,1,6,0.6070056259632111,2.448247731900185
pills_dense,D0-M,1,7,0.5386562421917915,2.568759832477557
pills_dense,D0-M,1,8,0.4017588123679161,2.0982147898331056
pills_dense,D0-M,2,1,1.0513689517974854,1.0453733993515673
pills_dense,D0-M,2,2,0.901157021522522,1.4325442810374311
pills_dense,D0-M,2,3,0.8074334412813187,1.8535017895937331
pills_dense,D0-M,2,4,0.6785662323236465,1.7943058989200484
pills_dense,D0-M,2,5,0.5177568048238754,2.0569362179373076
pills_dense,D0-M,2,6,0.5444359630346298,3.2389880040202144
pills_dense,D0-M,2,7,0.4728802740573883,2.86138925089186
pills_dense,D0-M,2,8,0.5570321530103683,3.372701877934112
pills_dense,D1,1,1,1.109565794467926,3.1229452341406745
pills_dense,D1,1,2,1.0766449570655823,2.5775343670202018
pills_dense,D1,1,3,1.05343297123909,2.7020313367760416
pills_dense,D1,1,4,1.0352360308170319,4.033079151875923
pills_dense,D1,1,5,1.0038649588823318,2.6945501965173957
pills_dense,D1,1,6,0.9679561108350754,2.881426947184151
pills_dense,D1,1,7,0.9444308578968048,2.9740788121313773
