label,substrate,n,raman_shift_cm-1,mean_raw_intensity,display_minmax_intensity
4np,Ag,25,330.9061584,654.126678552,0.29872680984658667
4np,Ag,25,333.1221896,654.335002888,0.29918321285364646
4np,Ag,25,335.3382209,649.7925714039999,0.28923152200240787
4np,Ag,25,337.5542522,649.285071924,0.28811967739893674
4np,Ag,25,339.7702835,650.084823808,0.2898717970589244
4np,Ag,25,341.9863148,652.20814528,0.2945236314215494
4np,Ag,25,344.202346,656.014330608,0.3028623328065223
4np,Ag,25,346.4183773,659.993674588,0.3115803951964968
4np,Ag,25,348.6344086,661.308619052,0.314461213726918
4np,Ag,25,350.8504399,663.227728264,0.3186656539380381
4np,Ag,25,353.0664712,662.788874568,0.3177042005122905
4np,Ag,25,355.2825024,662.043448028,0.31607109839407066
4np,Ag,25,357.4985337,660.72817786,0.31318956630186484
4np,Ag,25,359.714565,661.4679913479999,0.31481037118270566
4np,Ag,25,361.9305963,664.2228816600001,0.3208458649068631
4np,Ag,25,364.1466276,665.1350836639999,0.3228443435563842
4np,Ag,25,366.3626588,666.530250528,0.325900915651159
4np,Ag,25,368.5786901,664.257103424,0.3209208389415647
4np,Ag,25,370.7947214,665.4588092199999,0.32355357090858644
4np,Ag,25,373.0107527,668.1835795000001,0.3295230767916616
4np,Ag,25,375.226784,675.740488568,0.34607897270347676
4np,Ag,25,377.4428152,687.4355872160002,0.3717009345601575
4np,Ag,25,379.6588465,697.6533449760001,0.39408629508315657
4np,Ag,25,381.8748778,699.4388915959998,0.3979981224877747
4np,Ag,25,384.0909091,690.042952532,0.3774132262375264
4np,Ag,25,386.3069404,678.1994944959999,0.3514662343238256
4np,Ag,25,388.5229717,669.773064832,0.333005367431016
4np,Ag,25,390.7390029,662.067154248,0.3161230346695043
4np,Ag,25,392.9550342,656.8913316759999,0.30478369222287954
4np,Ag,25,395.1710655,654.4840247640001,0.2995096943086224
4np,Ag,25,397.3870968,654.1417808719999,0.29875989644795964
4np,Ag,25,399.6031281,655.760085332,0.3023053248701226
4np,Ag,25,401.8191593,657.4995494320001,0.30611619335124385
4np,Ag,25,404.0351906,659.4094579639999,0.310300476445343
4np,Ag,25,406.2512219,661.49663346,0.31487312115371896
4np,Ag,25,408.4672532,662.605451156,0.317302351172893
4np,Ag,25,410.6832845,665.6896489119999,0.3240593012116347
4np,Ag,25,412.8993157,668.7059642400001,0.3306675324551528
4np,Ag,25,415.115347,669.5947654639999,0.3326147439960652
4np,Ag,25,417.3313783,669.78612904,0.33303398887741303
4np,Ag,25,419.5474096,668.056692188,0.32924508838249866
4np,Ag,25,421.7634409,669.7611368199999,0.33297923519582145
4np,Ag,25,423.9794721,669.6191245279999,0.332668110541099
4np,Ag,25,426.1955034,671.0251648519999,0.3357485045279118
4np,Ag,25,428.4115347,673.7465943920001,0.3417106914207478
4np,Ag,25,430.627566,676.2054621880001,0.3470976504174985
4np,Ag,25,432.8435973,678.7286403640001,0.352625502462948
4np,Ag,25,435.0596285,683.4132285640001,0.36288863437720353
4np,Ag,25,437.2756598,689.7319425680001,0.3767318565736618
4np,Ag,25,439.4916911,687.4765778119998,0.3717907379486365
4np,Ag,25,441.7077224,682.8417876960001,0.36163670512342616
4np,Ag,25,443.9237537,680.0613981879999,0.35554534701992874
4np,Ag,25,446.1397849,679.4433010759999,0.3541912019114481
4np,Ag,25,448.3558162,681.0443154680001,0.35769875075036633
4np,Ag,25,450.5718475,683.5432226600001,0.3631734292190047
4np,Ag,25,452.7878788,685.0686631519999,0.36651540856240583
4np,Ag,25,455.0039101,685.7989812559999,0.3681154106801419
4np,Ag,25,457.2199413,690.5085928479999,0.37843336456851207
4np,Ag,25,459.4359726,691.2546066720001,0.38006775332557985
4np,Ag,25,461.6520039,686.887347264,0.37049983454713126
4np,Ag,25,463.8680352,678.5189786,0.3521661693797736
4np,Ag,25,466.0840665,673.162423688,0.3404308732724638
4np,Ag,25,468.3000978,671.50438834,0.3367984012667019
4np,Ag,25,470.516129,670.5338552,0.3346721290699319
4np,Ag,25,472.7321603,669.160244144,0.3316627820655127
4np,Ag,25,474.9481916,669.9031125280001,0.3332902797012542
4np,Ag,25,477.1642229,672.6362473199999,0.3392781108002046
4np,Ag,25,479.3802542,671.3847124920001,0.33653621194236094
4np,Ag,25,481.5962854,675.452611816,0.3454482839524731
4np,Ag,25,483.8123167,674.72672852,0.3438579977409334
4np,Ag,25,486.028348,674.7597511879999,0.34393034476128476
4np,Ag,25,488.2443793,675.52404224,0.3456047758004019
4np,Ag,25,490.4604106,675.513265296,0.3455811653584202
4np,Ag,25,492.6764418,676.992807608,0.3488225896357513
4np,Ag,25,494.8924731,676.233018972,0.3471580226204007
4np,Ag,25,497.1085044,676.6202337880001,0.34800634408775255
4np,Ag,25,499.3245357,675.412761304,0.34536097829313983
4np,Ag,25,501.540567,674.5071386239999,0.3433769138177645
4np,Ag,25,503.7565982,675.07773242,0.34462698728159724
4np,Ag,25,505.9726295,674.024861148,0.3423203263133471
4np,Ag,25,508.1886608,673.044863472,0.34017331893616665
4np,Ag,25,510.4046921,673.6988996839999,0.34160620046894585
4np,Ag,25,512.6207234,673.404485052,0.34096118834051553
4np,Ag,25,514.8367546,674.102951312,0.34249140851313087
