label,substrate,n,raman_shift_cm-1,mean_model_input,display_maxabs_intensity
4np,Ag,25,330.9061584,-0.013484986606054008,-0.10171648735601392
4np,Ag,25,333.1221896,-0.0046576129645109175,-0.03513210980878477
4np,Ag,25,335.3382209,0.0029697392985690383,0.022400574701197107
4np,Ag,25,337.5542522,0.009397069760598242,0.07088156298637734
4np,Ag,25,339.7702835,0.014624378592707217,0.11031085633758372
4np,Ag,25,341.9863148,0.018651665952056647,0.14068845594027035
4np,Ag,25,344.202346,0.02147893190383911,0.16201436228618118
4np,Ag,25,346.4183773,0.023106175712309777,0.17428856982563476
4np,Ag,25,348.6344086,0.023533398141153156,0.1775110843190599
4np,Ag,25,350.8504399,0.020615848321467636,0.1555041718901404
4np,Ag,25,353.0664712,0.01332762927748263,0.10052954997227036
4np,Ag,25,355.2825024,0.006311892874655314,0.047610249126177014
4np,Ag,25,357.4985337,-0.0008935124706476926,-0.006739713770444126
4np,Ag,25,359.714565,-0.00580927876275382,-0.043819059453416756
4np,Ag,25,361.9305963,-0.004030238923151046,-0.030399863080647595
4np,Ag,25,364.1466276,0.0073343670880422,0.05532271399070467
4np,Ag,25,366.3626588,0.027702350430190564,0.20895725443281615
4np,Ag,25,368.5786901,0.050255527067929504,0.3790745836766309
4np,Ag,25,370.7947214,0.06589672014117241,0.49705521383559814
4np,Ag,25,373.0107527,0.07024679472669959,0.5298675791350821
4np,Ag,25,375.226784,0.06157578876242042,0.4644626740880454
4np,Ag,25,377.4428152,0.04293708827346563,0.32387201589887354
4np,Ag,25,379.6588465,0.017170401450712233,0.12951536201563352
4np,Ag,25,381.8748778,-0.01499277564464137,-0.1130896543571702
4np,Ag,25,384.0909091,-0.04773370848968625,-0.3600526495048252
4np,Ag,25,386.3069404,-0.0754681028611958,-0.5692516095653315
4np,Ag,25,388.5229717,-0.09052078606560826,-0.682793143240146
4np,Ag,25,390.7390029,-0.08973772942088544,-0.6768865914853053
4np,Ag,25,392.9550342,-0.07355771714821457,-0.5548416787366033
4np,Ag,25,395.1710655,-0.04649437153711915,-0.3507044013271786
4np,Ag,25,397.3870968,-0.016995015817228704,-0.12819243815283599
4np,Ag,25,399.6031281,0.005252489322156179,0.0396192283561366
4np,Ag,25,401.8191593,0.018304526132997125,0.13807000001979622
4np,Ag,25,404.0351906,0.023656043332302944,0.17843619002359673
4np,Ag,25,406.2512219,0.024397393660619854,0.1840281534047669
4np,Ag,25,408.4672532,0.02182803092058748,0.16464759632344309
4np,Ag,25,410.6832845,0.017818129789084196,0.13440114004900325
4np,Ag,25,412.8993157,0.014094936364563182,0.10631730370916838
4np,Ag,25,415.115347,0.012381331748329102,0.09339168150631584
4np,Ag,25,417.3313783,0.013234266398940235,0.09982531908704907
4np,Ag,25,419.5474096,0.015400855812476948,0.11616777986403964
4np,Ag,25,421.7634409,0.023250022585270928,0.17537359861077173
4np,Ag,25,423.9794721,0.03489547536708414,0.2632145869069389
4np,Ag,25,426.1955034,0.043452437170999475,0.32775926333569366
4np,Ag,25,428.4115347,0.047745468913119565,0.3601413577102096
4np,Ag,25,430.627566,0.045122568309307096,0.3403569675659882
4np,Ag,25,432.8435973,0.03593977796845138,0.27109170206107147
4np,Ag,25,435.0596285,0.023493758765980602,0.17721208676560818
4np,Ag,25,437.2756598,0.00808022396522574,0.060948670013781174
4np,Ag,25,439.4916911,-0.008189002190483734,-0.061769177982924944
4np,Ag,25,441.7077224,-0.01932491943007335,-0.14576676865089142
4np,Ag,25,443.9237537,-0.020986251812428237,-0.15829810436523853
4np,Ag,25,446.1397849,-0.013894686789717526,-0.10480683255017657
4np,Ag,25,448.3558162,-0.0036203101091086863,-0.027307793340534833
4np,Ag,25,450.5718475,0.00593955100979656,0.04480169560696053
4np,Ag,25,452.7878788,0.013212016567122191,0.09965748987053526
4np,Ag,25,455.0039101,0.01504154503942118,0.11345751912948328
4np,Ag,25,457.2199413,0.006771495349239558,0.05107700446383921
4np,Ag,25,459.4359726,-0.0066914253775030375,-0.05047304121896081
4np,Ag,25,461.6520039,-0.018829827643930912,-0.14203231945369196
4np,Ag,25,463.8680352,-0.03040100809186697,-0.2293130757577616
4np,Ag,25,466.0840665,-0.03591482492163777,-0.2709034826475223
4np,Ag,25,468.3000978,-0.03505635555833578,-0.264428097043607
4np,Ag,25,470.516129,-0.028244651835411787,-0.21304780310288818
4np,Ag,25,472.7321603,-0.015827403999865056,-0.1193852085924979
4np,Ag,25,474.9481916,-0.001036122918012552,-0.007815416267598324
4np,Ag,25,477.1642229,0.010025569000281393,0.07562229702150015
4np,Ag,25,479.3802542,0.013327670595608652,0.10052986163254604
4np,Ag,25,481.5962854,0.013158077237894758,0.09925062857659145
4np,Ag,25,483.8123167,0.011057462887838482,0.08340581395279079
4np,Ag,25,486.028348,0.008355121068889275,0.06302220323897871
4np,Ag,25,488.2443793,0.005681643057032488,0.04285631058117454
4np,Ag,25,490.4604106,0.0023228239407762884,0.01752092893411892
4np,Ag,25,492.6764418,-0.0016123488475568593,-0.012161855696050371
4np,Ag,25,494.8924731,-0.004880875872913748,-0.036816169234504044
4np,Ag,25,497.1085044,-0.007176787049975247,-0.05413409672189688
4np,Ag,25,499.3245357,-0.008352874636184424,-0.06300525852479438
4np,Ag,25,501.540567,-0.006556800247781211,-0.049457571518827466
4np,Ag,25,503.7565982,-0.001773548386991024,-0.013377774657904535
4np,Ag,25,505.9726295,0.004461042257025838,0.03364938813715238
4np,Ag,25,508.1886608,0.011665429812856018,0.08799167390564072
4np,Ag,25,510.4046921,0.018370942482724785,0.13857097477006206
4np,Ag,25,512.6207234,0.020092891771346332,0.15155954036234362
4np,Ag,25,514.8367546,0.017954272255301475,0.13542805493206211
4np,Ag,25,517.0527859,0.011180075072625187,0.08433067069220726
4np,Ag,25,519.2688172,-0.00040370402624830606,-0.0030451165196576893
4np,Ag,25,521.4848485,-0.010033821281976997,-0.0756845435131928
4np,Ag,25,523.7008798,-0.01982907352037728,-0.14956957429319437
4np,Ag,25,525.916911,-0.025960804549977182,-0.19582087286421193
4np,Ag,25,528.1329423,-0.027107509358320386,-0.2044704020440598
4np,Ag,25,530.3489736,-0.024181905065197497,-0.18240273517989425
4np,Ag,25,532.5650049,-0.017061554742977023,-0.12869433748705728
4np,Ag,25,534.7810362,-0.006396089657209813,-0.0482453406704487
4np,Ag,25,536.9970674,0.0009753065928816795,0.007356682184507989
4np,Ag,25,539.2130987,0.008511063299374655,0.06419846661830707
4np,Ag,25,541.42913,0.010782047535758465,0.08132837160924983
4np,Ag,25,543.6451613,0.01228494078386575,0.09266460994113765
4np,Ag,25,545.8611926,0.011982558016316034,0.09038375391579026
4np,Ag,25,548.0772239,0.011513027418404818,0.08684211130828061
4np,Ag,25,550.2932551,0.010634716844651847,0.08021706458189459
4np,Ag,25,552.5092864,0.011040539559908212,0.08327816225229386
4np,Ag,25,554.7253177,0.01468602237291634,0.11077583186728897
4np,Ag,25,556.941349,0.012999071762897075,0.09805125931805041
4np,Ag,25,559.1573803,0.012077227998524905,0.0910978442096597
4np,Ag,25,561.3734115,0.010653069884647266,0.08035550051922065
4np,Ag,25,563.5894428,0.009286901598097757,0.07005057079963055
4np,Ag,25,565.8054741,0.005429747819434851,0.0409562791240697
4np,Ag,25,568.0215054,0.0020808235416188837,0.015695533680853076
4np,Ag,25,570.2375367,-0.0008922455389983952,-0.006730157377037784
4np,Ag,25,572.4535679,-0.0033090529107721524,-0.024959997988268576
4np,Ag,25,574.6695992,-0.005987590757431462,-0.04516405669233958
4np,Ag,25,576.8856305,-0.004855242959060888,-0.03662282162252779
4np,Ag,25,579.1016618,-0.0038740768330171706,-0.02922194131248952
4np,Ag,25,581.3176931,-0.0032595697115175427,-0.02458674902938144
