,4NP on Ag,4NP on PICO,4NP on pSERS,Benzenethiol on Ag,Benzenethiol on Au,Benzenethiol on PICO,Benzenethiol on pSERS,DMF on Au,Pyridine on Ag,Pyridine on Au,Pyridine on PICO,Pyridine on pSERS
4NP on Ag,18,0,0,2,0,0,0,0,0,0,0,0
4NP on PICO,0,20,0,0,0,0,0,0,0,0,0,0
4NP on pSERS,0,0,20,0,0,0,0,0,0,0,0,0
Benzenethiol on Ag,0,0,0,20,0,0,0,0,0,0,0,0
Benzenethiol on Au,0,0,0,0,20,0,0,0,0,0,0,0
Benzenethiol on PICO,0,0,0,0,0,20,0,0,0,0,0,0
Benzenethiol on pSERS,0,0,0,0,0,0,20,0,0,0,0,0
DMF on Au,0,0,0,0,0,0,0,182,0,1,0,0
Pyridine on Ag,2,0,0,0,0,0,0,0,18,0,0,0
Pyridine on Au,0,0,0,0,0,0,0,0,0,20,0,0
Pyridine on PICO,0,0,0,0,0,0,0,0,0,0,20,0
Pyridine on pSERS,0,0,0,0,0,0,0,0,0,0,0,20
